SPECIES,SWORD,SHIELD,BRILLIANTDIAMOND,SHININGPEARL,LEGENDSARCEUS
Marowak,inf[$ISLEOFARMOR],inf[$ISLEOFARMOR],,,
Marowak_Alolan,inf[$CROWNTUNDRA],inf[$CROWNTUNDRA],,,
Hitmonlee,inf,inf,,,
Hitmonchan,inf,inf,,,
Lickitung,inf[$ISLEOFARMOR],inf[$ISLEOFARMOR],inf,inf,inf
Koffing,inf,inf,,,
Weezing,inf[$CROWNTUNDRA],inf[$CROWNTUNDRA],inf,inf,
Weezing_Galarian,inf,inf,,,
Rhyhorn,inf,inf,inf,inf,inf
Rhydon,inf,inf,inf,inf,inf
Chansey,inf[$ISLEOFARMOR],inf[$ISLEOFARMOR],inf,inf,inf
Tangela,inf[$ISLEOFARMOR],inf[$ISLEOFARMOR],inf,inf,inf
Kangaskhan,inf[$ISLEOFARMOR],inf[$ISLEOFARMOR],inf,inf,
Horsea,inf[$ISLEOFARMOR],inf[$ISLEOFARMOR],inf,inf,
Seadra,inf[$ISLEOFARMOR],inf[$ISLEOFARMOR],inf,inf,
Goldeen,inf,inf,inf,inf,
Seaking,inf,inf,inf,inf,
Staryu,inf[$ISLEOFARMOR],inf[$ISLEOFARMOR],inf,inf,
Starmie,inf[$ISLEOFARMOR],inf[$ISLEOFARMOR],,,
Mr. Mime,inf[$CROWNTUNDRA],inf[$CROWNTUNDRA],inf,inf,inf
Mr. Mime_Galarian,inf,inf,,,
Scyther,inf[$ISLEOFARMOR],inf[$ISLEOFARMOR],inf,,inf
Jynx,inf[$CROWNTUNDRA],inf[$CROWNTUNDRA],,,
Electabuzz,inf[$CROWNTUNDRA],inf[$CROWNTUNDRA],,,inf
Magmar,inf[$CROWNTUNDRA],inf[$CROWNTUNDRA],,,inf
Pinsir,inf[$ISLEOFARMOR],,,inf,
Tauros,inf[$ISLEOFARMOR],inf[$ISLEOFARMOR],inf,inf,
Magikarp,inf,inf,inf,inf,inf
Gyarados,inf,inf,inf,inf,inf
Lapras,inf,inf,inf,inf,
Lapras_GMAX,inf,inf,,,
Ditto,inf,inf,inf,inf,
Eevee,inf,inf,inf,inf,inf
Vaporeon,inf,inf,,,inf
Jolteon,inf,inf,,,inf
Flareon,inf,inf,,,inf
Porygon,inf[$CROWNTUNDRA],inf[$CROWNTUNDRA],inf,inf,inf
Omanyte,inf[$CROWNTUNDRA],,,,
Omastar,inf[$CROWNTUNDRA],,,,
Kabuto,,inf[$CROWNTUNDRA],,,
Kabutops,,inf[$CROWNTUNDRA],,,
Aerodactyl,inf[$CROWNTUNDRA],inf[$CROWNTUNDRA],,,
Snorlax,inf,inf,,,inf
Snorlax_GMAX,inf[$CROWNTUNDRA],inf[$CROWNTUNDRA],,,
Snorlax_GMAX,inf[$INTERNET],inf[$INTERNET],,,
Articuno,1[$CROWNTUNDRA],1[$CROWNTUNDRA],,1,
Articuno_Galarian,1[$CROWNTUNDRA],1[$CROWNTUNDRA],,,
Zapdos,1[$CROWNTUNDRA],1[$CROWNTUNDRA],,1,
Zapdos_Galarian,1[$CROWNTUNDRA],1[$CROWNTUNDRA],,,
Moltres,1[$CROWNTUNDRA],1[$CROWNTUNDRA],,1,
Moltres_Galarian,1[$CROWNTUNDRA],1[$CROWNTUNDRA],,,
Dratini,inf[$CROWNTUNDRA],inf[$CROWNTUNDRA],inf,inf,
Dragonair,inf[$CROWNTUNDRA],inf[$CROWNTUNDRA],inf,inf,
Dragonite,inf[$CROWNTUNDRA],inf[$CROWNTUNDRA],,,
Mewtwo,1[$CROWNTUNDRA],1[$CROWNTUNDRA],1,1,
Chikorita,,,inf,inf,
Cyndaquil,,,inf,inf,inf
Quilava,,,,,inf
Typhlosion_Hisuian,,,,,inf
Totodile,,,inf,inf,
Sentret,,,inf,inf,
Furret,,,inf,inf,
Hoothoot,inf,inf,inf,inf,
Noctowl,inf,inf,inf,inf,
Ledian,,,inf,inf,
Ariados,,,inf,inf,
Crobat,inf[$CROWNTUNDRA],inf[$CROWNTUNDRA],,,inf
Chinchou,inf,inf,inf,inf,
Lanturn,inf,inf,inf,inf,
Pichu,inf,inf,inf,inf,inf
Cleffa,inf,inf,inf,inf,inf
Igglybuff,inf[$ISLEOFARMOR],inf[$ISLEOFARMOR],inf,inf,
Togepi,inf,inf,inf,inf,inf
Togetic,inf,inf,,,inf
Natu,inf,inf,inf,inf,
Xatu,inf,inf,,,
Mareep,,,inf,inf,
Flaaffy,,,inf,inf,
Bellossom,inf,inf,,,
Marill,inf[$ISLEOFARMOR],inf[$ISLEOFARMOR],inf,inf,
Azumarill,inf[$ISLEOFARMOR],inf[$ISLEOFARMOR],,,
Sudowoodo,inf,inf,,inf,inf
Politoed,inf[$ISLEOFARMOR],inf[$ISLEOFARMOR],,,
Hoppip,,,inf,inf,
Skiploom,,,inf,inf,
Aipom,,,inf,inf,inf
Sunkern,,,inf,inf,
Yanma,,,inf,inf,inf
Wooper,inf,inf,inf,inf,
Quagsire,inf,inf,inf,inf,
Espeon,inf,inf,,,inf
Umbreon,inf,inf,,,inf
Murkrow,,,inf,,inf
Slowking,inf[$CROWNTUNDRA],inf[$CROWNTUNDRA],,,
Misdreavus,,,,inf,inf
Unown_A,,,inf,inf,inf
Unown_B,,,inf,inf,inf
Unown_C,,,inf,inf,inf
Unown_D,,,inf,inf,inf
Unown_E,,,inf,inf,inf
Unown_F,,,inf,inf,inf
Unown_G,,,inf,inf,inf
Unown_H,,,inf,inf,inf
Unown_I,,,inf,inf,inf
Unown_J,,,inf,inf,inf
Unown_K,,,inf,inf,inf
Unown_L,,,inf,inf,inf
Unown_M,,,inf,inf,inf
Unown_N,,,inf,inf,inf
Unown_O,,,inf,inf,inf
Unown_P,,,inf,inf,inf
Unown_Q,,,inf,inf,inf
Unown_R,,,inf,inf,inf
Unown_S,,,inf,inf,inf
Unown_T,,,inf,inf,inf
Unown_U,,,inf,inf,inf
Unown_V,,,inf,inf,inf
Unown_W,,,inf,inf,inf
Unown_X,,,inf,inf,inf
Unown_Y,,,inf,inf,inf
Unown_Z,,,inf,inf,inf
Unown_!,,,inf,inf,inf
Unown_?,,,inf,inf,inf
Wobbuffet,inf,inf,inf,inf,
Girafarig,,,inf,inf,
Pineco,,,inf,inf,
Dunsparce,inf[$ISLEOFARMOR],inf[$ISLEOFARMOR],inf,inf,
Gligar,,,inf,,inf
Steelix,inf,inf,inf,inf,inf
Snubbull,,,inf,inf,
Qwilfish,inf,inf,inf,inf,
Qwilfish_Hisuian,,,,,inf
Scizor,inf[$ISLEOFARMOR],inf[$ISLEOFARMOR],,,inf
Shuckle,inf,inf,inf,inf,
Heracross,,inf[$ISLEOFARMOR],inf,inf,inf
Sneasel,inf,inf,inf,inf,inf
Sneasel_Hisuian,,,,,inf
Teddiursa,,,,inf,inf
Ursaring,,,,,inf
Slugma,,,inf,inf,
Magcargo,,,inf,inf,
Swinub,inf,inf,inf,inf,inf
Piloswine,inf,inf,,,inf
Corsola,,,inf,inf,
Corsola_Galarian,,inf,,,
Remoraid,inf,inf,inf,inf,inf
Octillery,inf,inf,inf,inf,inf
Delibird,inf,inf,inf,inf,
Mantine,inf,inf,,,inf
Skarmory,inf[$ISLEOFARMOR],inf[$ISLEOFARMOR],inf,inf,
Houndoom,,,inf,inf,
Kingdra,inf[$ISLEOFARMOR],inf[$ISLEOFARMOR],,,
Phanpy,,,inf,inf,
Porygon2,,,,,inf
Stantler,,,,inf,inf
Smeargle,,,inf,inf,
Tyrogue,inf,inf,inf,inf,
Hitmontop,inf,inf,,,
Smoochum,inf[$CROWNTUNDRA],inf[$CROWNTUNDRA],inf,inf,
Elekid,inf[$CROWNTUNDRA],inf[$CROWNTUNDRA],inf,,inf
Magby,inf[$CROWNTUNDRA],inf[$CROWNTUNDRA],,inf,inf
Miltank,inf[$ISLEOFARMOR],inf[$ISLEOFARMOR],inf,inf,
Blissey,inf[$ISLEOFARMOR],inf[$ISLEOFARMOR],,,inf
Raikou,1[$CROWNTUNDRA],1[$CROWNTUNDRA],1,,
Entei,1[$CROWNTUNDRA],1[$CROWNTUNDRA],1,,
Suicune,1[$CROWNTUNDRA],1[$CROWNTUNDRA],1,,
Larvitar,,inf,inf,,
Pupitar,,inf,inf,,
Tyranitar,,inf,,,
Lugia,,1[$CROWNTUNDRA],,1,
Ho-Oh,1[$CROWNTUNDRA],,1,,
Treecko,,,inf,inf,
Grovyle,inf[$CROWNTUNDRA],inf[$CROWNTUNDRA],,,
Sceptile,inf[$CROWNTUNDRA],inf[$CROWNTUNDRA],,,
Torchic,,,inf,inf,
Combusken,inf[$CROWNTUNDRA],inf[$CROWNTUNDRA],,,
Blaziken,inf[$CROWNTUNDRA],inf[$CROWNTUNDRA],,,
Mudkip,,,inf,inf,
Marshtomp,inf[$CROWNTUNDRA],inf[$CROWNTUNDRA],,,
Swampert,inf[$CROWNTUNDRA],inf[$CROWNTUNDRA],,,
Poochyena,,,inf,inf,
Mightyena,,,inf,inf,
Zigzagoon,,,inf,inf,
Zigzagoon_Galarian,inf,inf,,,
Linoone,inf[$CROWNTUNDRA],inf[$CROWNTUNDRA],,,
Linoone_Galarian,inf,inf,,,
Wurmple,,,inf,inf,inf
Silcoon,,,inf,,inf
Beautifly,,,inf,inf,inf
Cascoon,,,,inf,inf
Dustox,,,,inf,inf
Lotad,,inf,,inf,
Lombre,,inf,,inf,
Ludicolo,,inf,,,
Seedot,inf,,inf,,
Nuzleaf,inf,,inf,,
Shiftry,inf,,,,
Swellow,,,inf,inf,
Wingull,inf,inf,inf,inf,
Pelipper,inf,inf,inf,inf,
Ralts,inf,inf,inf,inf,inf
Kirlia,inf,inf,inf,inf,inf
Gardevoir,inf,inf,,,inf
Surskit,,,inf,inf,
Shroomish,,,inf,inf,
Slakoth,,,inf,inf,
Nincada,inf,inf,inf,inf,
Ninjask,inf,inf,,,
Shedinja,inf,inf,,,
Whismur,inf[$ISLEOFARMOR],inf[$ISLEOFARMOR],,,
Loudred,,,inf,inf,
Exploud,inf[$CROWNTUNDRA],inf[$CROWNTUNDRA],,,
Makuhita,,,inf,inf,
Azurill,inf[$ISLEOFARMOR],inf[$ISLEOFARMOR],inf,inf,
Nosepass,,,inf,inf,inf
Skitty,,,inf,inf,
Sableye,,inf,,inf,
Mawile,inf,,inf,,
Aron,inf[$CROWNTUNDRA],inf[$CROWNTUNDRA],inf,inf,
Lairon,inf[$CROWNTUNDRA],inf[$CROWNTUNDRA],inf,inf,
Aggron,inf[$CROWNTUNDRA],inf[$CROWNTUNDRA],,,
Meditite,,,inf,inf,
Medicham,,,inf,inf,
Electrike,inf,inf,inf,inf,
Manectric,inf,inf,,,
Plusle,,,inf,inf,
Minun,,,inf,inf,
Volbeat,,,inf,inf,
Illumise,,,inf,inf,
Roselia,inf,inf,inf,inf,inf
Gulpin,,,inf,inf,
Carvanha,inf[$ISLEOFARMOR],inf[$ISLEOFARMOR],inf,inf,
Sharpedo,inf[$ISLEOFARMOR],inf[$ISLEOFARMOR],inf,inf,
Wailmer,inf,inf,inf,inf,
Wailord,inf,inf,inf,inf,
Numel,,,inf,inf,
Camerupt,,,inf,inf,
Torkoal,inf,inf,inf,inf,
Spoink,,,inf,inf,
Spinda,,,inf,inf,
Trapinch,inf,inf,inf,inf,
Vibrava,inf,inf,inf,inf,
Flygon,inf,inf,,,
Cacnea,,,inf,inf,
Cacturne,,,inf,inf,
Swablu,inf[$CROWNTUNDRA],inf[$CROWNTUNDRA],inf,inf,
Altaria,inf[$CROWNTUNDRA],inf[$CROWNTUNDRA],,,
Zangoose,,,inf,,
Seviper,,,,inf,
Lunatone,,inf,,inf,
Solrock,inf,,inf,,
Barboach,inf,inf,inf,inf,inf
Whiscash,inf,inf,inf,inf,inf
Corphish,inf,inf,inf,inf,
Crawdaunt,inf,inf,inf,inf,
Baltoy,inf,inf,inf,inf,
Claydol,inf,inf,,,
Lileep,inf[$CROWNTUNDRA],inf[$CROWNTUNDRA],,,
Cradily,inf[$CROWNTUNDRA],inf[$CROWNTUNDRA],,,
Anorith,inf[$CROWNTUNDRA],inf[$CROWNTUNDRA],,,
Armaldo,inf[$CROWNTUNDRA],inf[$CROWNTUNDRA],,,
Feebas,inf,inf,inf,inf,
Milotic,inf,inf,,,
Castform,,,inf,inf,
Kecleon,,,inf,,
Banette,,,inf,inf,
Duskull,inf,inf,inf,inf,inf
Dusclops,inf,inf,inf,inf,inf
Tropius,,,inf,inf,
Chimecho,,,inf,inf,inf
Absol,inf[$CROWNTUNDRA],inf[$CROWNTUNDRA],inf,inf,
Wynaut,inf,inf,,,
Snorunt,inf,inf,inf,inf,inf
Glalie,inf,inf,inf,inf,inf
Spheal,inf[$CROWNTUNDRA],inf[$CROWNTUNDRA],,inf,inf
Sealeo,inf[$CROWNTUNDRA],inf[$CROWNTUNDRA],,inf,inf
Walrein,inf[$CROWNTUNDRA],inf[$CROWNTUNDRA],inf,inf,inf
Clamperl,,,inf,inf,
Relicanth,inf[$CROWNTUNDRA],inf[$CROWNTUNDRA],inf,inf,
Luvdisc,,,inf,inf,
Bagon,inf[$CROWNTUNDRA],,,inf,
Shelgon,inf[$CROWNTUNDRA],,,inf,
Salamence,inf[$CROWNTUNDRA],,,,
Beldum,inf[$CROWNTUNDRA],inf[$CROWNTUNDRA],inf,inf,
Metang,inf[$CROWNTUNDRA],inf[$CROWNTUNDRA],,,
Metagross,inf[$CROWNTUNDRA],inf[$CROWNTUNDRA],,,
Regirock,1[$CROWNTUNDRA],1[$CROWNTUNDRA],1,1,
Regice,1[$CROWNTUNDRA],1[$CROWNTUNDRA],1,1,
Registeel,1[$CROWNTUNDRA],1[$CROWNTUNDRA],1,1,
Latias,,1[$CROWNTUNDRA],1,1,
Latios,1[$CROWNTUNDRA],,1,1,
Kyogre,,1[$CROWNTUNDRA],1,1,
Groudon,1[$CROWNTUNDRA],,1,1,
Rayquaza,1[$CROWNTUNDRA],1[$CROWNTUNDRA],1,1,
Turtwig,,,inf,inf,inf
Grotle,,,,,inf
Torterra,,,,,inf
Chimchar,,,inf,inf,inf
Monferno,,,,,inf
Infernape,,,,,inf
Piplup,,,inf,inf,inf
Prinplup,,,,,inf
Empoleon,,,,,inf
Starly,,,inf,inf,inf
Staravia,,,inf,inf,inf
Staraptor,,,,,inf
Bidoof,,,inf,inf,inf
Bibarel,,,inf,inf,inf
Kricketot,,,inf,inf,inf
Kricketune,,,inf,inf,inf
Shinx,inf[$ISLEOFARMOR],inf[$ISLEOFARMOR],inf,inf,inf
Luxio,inf[$ISLEOFARMOR],inf[$ISLEOFARMOR],inf,inf,inf
Luxray,inf[$ISLEOFARMOR],inf[$ISLEOFARMOR],,,inf
Budew,inf,inf,inf,inf,inf
Roserade,inf,inf,,,inf
Cranidos,,,,,inf
Rampardos,,,,,inf
Shieldon,,,,,inf
Bastiodon,,,,,inf
Burmy_Plant Cloak,,,inf,inf,inf
Burmy_Sandy Cloak,,,,,inf
Burmy_Trash Cloak,,,,,inf
Wormadam_Plant Cloak,,,,,inf
Wormadam_Sandy Cloak,,,,,inf
Wormadam_Trash Cloak,,,,,inf
Mothim,,,,,inf
Combee,inf,inf,inf,inf,inf
Vespiquen,inf,inf,,,inf
Pachirisu,,,inf,inf,inf
Buizel,,,inf,inf,inf
Floatzel,,,inf,inf,inf
Cherubi,inf,inf,inf,inf,inf
Cherrim_Overcast,inf,inf,,,inf
Shellos_West Sea,,,inf,inf,inf
Shellos_East Sea,inf,inf,inf,inf,inf
Gastrodon_West Sea,,,inf,inf,inf
Gastrodon_East Sea,inf,inf,inf,inf,inf
Ambipom,,,,,inf
Drifloon,inf,inf,inf,inf,inf
Drifblim,inf,inf,,,inf
Buneary,inf[$ISLEOFARMOR],inf[$ISLEOFARMOR],inf,inf,inf
Lopunny,inf[$ISLEOFARMOR],inf[$ISLEOFARMOR],,,inf
Mismagius,,,,,inf
Honchkrow,,,,,inf
Glameow,,,,inf,inf
Purugly,,,,inf,inf
Chingling,,,inf,inf,inf
Stunky,inf,inf,inf,,inf
Skuntank,inf,inf,inf,,inf
Bronzor,inf,inf,inf,inf,inf
Bronzong,inf,inf,inf,inf,inf
Bonsly,inf,inf,inf,inf,inf
Mime Jr.,inf,inf,inf,inf,inf
Happiny,inf[$ISLEOFARMOR],inf[$ISLEOFARMOR],inf,inf,inf
Chatot,,,inf,inf,inf
Spiritomb,1[$INTERNET],1[$INTERNET],inf,inf,inf
Gible,,inf[$CROWNTUNDRA],inf,inf,inf
Gabite,,inf[$CROWNTUNDRA],inf,inf,inf
Garchomp,,inf[$CROWNTUNDRA],,,inf
Munchlax,inf,inf,inf,inf,inf
Riolu,inf,inf,inf,inf,inf
Lucario,inf,inf,,,inf
Hippopotas,inf,inf,inf,inf,inf
Hippowdon,inf,inf,inf,inf,inf
Skorupi,inf,inf,inf,inf,inf
Drapion,inf,inf,inf,inf,inf
Croagunk,,inf,inf,inf,inf
Toxicroak,,inf,inf,inf,inf
Carnivine,,,inf,inf,inf
Finneon,,,inf,inf,inf
Lumineon,,,inf,inf,inf
Mantyke,inf,inf,inf,inf,inf
Snover,inf,inf,inf,inf,inf
Abomasnow,inf,inf,inf,inf,inf
Weavile,inf,inf,,,inf
Magnezone,inf[$ISLEOFARMOR],inf[$ISLEOFARMOR],,,inf
Lickilicky,inf[$ISLEOFARMOR],inf[$ISLEOFARMOR],,,inf
Rhyperior,inf,inf,,,inf
Tangrowth,inf[$ISLEOFARMOR],inf[$ISLEOFARMOR],inf,inf,inf
Electivire,inf[$CROWNTUNDRA],inf[$CROWNTUNDRA],,,inf
Magmortar,inf[$CROWNTUNDRA],inf[$CROWNTUNDRA],,,inf
Togekiss,inf,inf,,,inf
Yanmega,,,,,inf
Leafeon,inf,inf,,,inf
Glaceon,inf,inf,,,inf
Gliscor,,,,,inf
Mamoswine,inf,inf,,,inf
Porygon-Z,,,,,inf
Gallade,inf,inf,,,inf
Probopass,,,,,inf
Dusknoir,inf,inf,,,inf
Froslass,inf,inf,,,inf
Rotom,inf,inf,1,1,inf
Rotom_Heat,inf,inf,,,
Rotom_Wash,inf,inf,,,
Rotom_Frost,inf,inf,,,
Rotom_Fan,inf,inf,,,
Rotom_Mow,inf,inf,,,
Uxie,1[$CROWNTUNDRA],1[$CROWNTUNDRA],1,1,1
Mesprit,1[$CROWNTUNDRA],1[$CROWNTUNDRA],1,1,1
Azelf,1[$CROWNTUNDRA],1[$CROWNTUNDRA],1,1,1
Dialga,1[$CROWNTUNDRA],,1,,1
Palkia,,1[$CROWNTUNDRA],,1,1
Heatran,1[$CROWNTUNDRA],1[$CROWNTUNDRA],1,1,1
Regigigas,"1[$CROWNTUNDRA,Regirock,Regice,Registeel,Regieleki,Regidrago]","1[$CROWNTUNDRA,Regirock,Regice,Registeel,Regieleki,Regidrago]",1,1,1
Giratina_Altered,1[$CROWNTUNDRA],1[$CROWNTUNDRA],1,1,1
Cresselia,1[$CROWNTUNDRA],1[$CROWNTUNDRA],1,1,1
Phione,,,,,inf
Manaphy,,,,,1
Darkrai,,,1[Member Card],1[Member Card],1[$BDSPSAVE]
Shaymin_Land,,,1[Oak's Letter],1[Oak's Letter],1[$SWSHSAVE]
Arceus,,,1[$LASAVE],1[$LASAVE],1
Oshawott,,,,,inf
Dewott,,,,,inf
Samurott_Hisuian,,,,,inf
Lillipup,inf[$ISLEOFARMOR],inf[$ISLEOFARMOR],,,
Herdier,inf[$ISLEOFARMOR],inf[$ISLEOFARMOR],,,
Stoutland,inf[$ISLEOFARMOR],inf[$ISLEOFARMOR],,,
Purrloin,inf,inf,,,
Liepard,inf,inf,,,
Munna,inf,inf,,,
Musharna,inf,inf,,,
Pidove,inf,inf,,,
Tranquill,inf,inf,,,
Unfezant,inf,inf,,,
Roggenrola,inf,inf,,,
Boldore,inf,inf,,,
Gigalith,inf,inf,,,
Woobat,inf,inf,,,
Swoobat,inf,inf,,,
Drilbur,inf,inf,,,
Excadrill,inf,inf,,,
Audino,inf[$CROWNTUNDRA],inf[$CROWNTUNDRA],,,
Timburr,inf,inf,,,
Gurdurr,inf,inf,,,
Conkeldurr,inf,inf,,,
Tympole,inf,inf,,,
Palpitoad,inf,inf,,,
Seismitoad,inf,inf,,,
Throh,,inf,,,
Sawk,inf,,,,
Venipede,inf[$ISLEOFARMOR],inf[$ISLEOFARMOR],,,
Whirlipede,inf[$ISLEOFARMOR],inf[$ISLEOFARMOR],,,
Scolipede,inf[$ISLEOFARMOR],inf[$ISLEOFARMOR],,,
Cottonee,inf,inf,,,
Whimsicott,inf,inf,,,
Petilil,inf[$ISLEOFARMOR],inf[$ISLEOFARMOR],,,inf
Lilligant,inf[$ISLEOFARMOR],inf[$ISLEOFARMOR],,,
Lilligant_Hisuian,,,,,inf
Basculin_Red-Striped,inf,inf[$CROWNTUNDRA],,,
Basculin_Blue-Striped,inf[$CROWNTUNDRA],inf,,,
Basculin_White-Striped,,,,,inf
Sandile,inf[$ISLEOFARMOR],inf[$ISLEOFARMOR],,,
Krokorok,inf[$ISLEOFARMOR],inf[$ISLEOFARMOR],,,
Krookodile,inf[$ISLEOFARMOR],inf[$ISLEOFARMOR],,,
Darumaka_Galarian,inf,,,,
Darumaka_Galarian_ZENMODE,inf[$CROWNTUNDRA],,,,
Darmanitan_Galarian,inf,,,,
Darmanitan_Galarian_ZENMODE,inf,,,,
Maractus,inf,inf,,,
Dwebble,inf,inf,,,
Crustle,inf,inf,,,
Scraggy,inf,,,,
Scrafty,inf,,,,
Sigilyph,inf,inf,,,
Yamask_Galarian,inf,inf,,,
Cofagrigus,inf[$CROWNTUNDRA],inf[$CROWNTUNDRA],,,
Tirtouga,inf[$CROWNTUNDRA],inf[$CROWNTUNDRA],,,
Carracosta,inf[$CROWNTUNDRA],inf[$CROWNTUNDRA],,,
Archen,inf[$CROWNTUNDRA],inf[$CROWNTUNDRA],,,
Trubbish,inf,inf,,,
Garbodor,inf,inf,,,
Garbodor_GMAX,inf,inf,,,
Zorua,inf[$ISLEOFARMOR],inf[$ISLEOFARMOR],,,
