GAME,PARENT,CHILD,ITEM
ALL,Gloom,Oddish,
ALL,Vileplume,Oddish,
"BRILLIANTDIAMOND,SHININGPEARL",Paras,Paras,
"BRILLIANTDIAMOND,SHININGPEARL",Parasect,Paras,
"BRILLIANTDIAMOND,SHININGPEARL",Venonat,Venonat,
"BRILLIANTDIAMOND,SHININGPEARL",Venomoth,Venonat,
ALL,Diglett,Diglett,
"SWORD,SHIELD",Diglett_Alolan,Diglett,
"SWORD,SHIELD",Diglett_Alolan,Diglett_Alolan,Everstone
ALL,Dugtrio,Diglett,
"SWORD,SHIELD",Dugtrio_Alolan,Diglett,
"SWORD,SHIELD",Dugtrio_Alolan,Diglett,Everstone
"BRILLIANTDIAMOND,SHININGPEARL",Meowth,Meowth,
"SWORD,SHIELD",Meowth,Meowth,Everstone
"SWORD,SHIELD",Meowth,Meowth_Galarian,
"SWORD,SHIELD",Meowth_Alolan,Meowth_Alolan,Everstone
"SWORD,SHIELD",Meowth_Alolan,Meowth_Galarian,
"SWORD,SHIELD",Meowth_Galarian,Meowth_Galarian,
"BRILLIANTDIAMOND,SHININGPEARL",Persian,Meowth,
"SWORD,SHIELD",Persian,Meowth,Everstone
"SWORD,SHIELD",Persian,Meowth_Galarian,
"SWORD,SHIELD",Persian_Alolan,Meowth_Alolan,Everstone
"SWORD,SHIELD",Persian_Alolan,Meowth_Galarian,
ALL,Psyduck,Psyduck,
ALL,Golduck,Psyduck,
"BRILLIANTDIAMOND,SHININGPEARL",Mankey,Mankey,
"BRILLIANTDIAMOND,SHININGPEARL",Primeape,Mankey,
ALL,Growlithe,Growlithe,
ALL,Arcanine,Growlithe,
ALL,Poliwag,Poliwag,
ALL,Poliwhirl,Poliwag,
ALL,Poliwrath,Poliwag,
ALL,Abra,Abra,
ALL,Kadabra,Abra,
ALL,Alakazam,Abra,
ALL,Machop,Machop,
ALL,Machoke,Machop,
ALL,Machamp,Machop,
"BRILLIANTDIAMOND,SHININGPEARL",Bellsprout,Bellsprout,
"BRILLIANTDIAMOND,SHININGPEARL",Weepinbell,Bellsprout,
"BRILLIANTDIAMOND,SHININGPEARL",Victreebel,Bellsprout,
ALL,Tentacool,Tentacool,
ALL,Tentacruel,Tentacool,
"BRILLIANTDIAMOND,SHININGPEARL",Geodude,Geodude,
NONE,Geodude_Alolan,Geodude,
NONE,Geodude_Alolan,Geodude_Alolan,Everstone
"BRILLIANTDIAMOND,SHININGPEARL",Geodude,Geodude,
NONE,Graveler_Alolan,Geodude,
NONE,Graveler_Alolan,Geodude_Alolan,Everstone
"BRILLIANTDIAMOND,SHININGPEARL",Golem,Geodude,
NONE,Golem_Alolan,Geodude,
NONE,Golem_Alolan,Geodude_Alolan,Everstone
"BRILLIANTDIAMOND,SHININGPEARL",Ponyta,Ponyta,
"SWORD,SHIELD",Ponyta,Ponyta,Everstone
"SWORD,SHIELD",Ponyta,Ponyta_Galarian,
"SWORD,SHIELD",Ponyta_Galarian,Ponyta_Galarian,
"BRILLIANTDIAMOND,SHININGPEARL",Rapidash,Ponyta,
"SWORD,SHIELD",Rapidash,Ponyta,Everstone
"SWORD,SHIELD",Rapidash,Ponyta_Galarian,
"SWORD,SHIELD",Rapidash_Galarian,Ponyta_Galarian,
"BRILLIANTDIAMOND,SHININGPEARL",Slowpoke,Slowpoke,
"SWORD,SHIELD",Slowpoke,Slowpoke,Everstone
"SWORD,SHIELD",Slowpoke,Slowpoke_Galarian,
"SWORD,SHIELD",Slowpoke_Galarian,Slowpoke_Galarian,
"BRILLIANTDIAMOND,SHININGPEARL",Slowbro,Slowpoke,
"SWORD,SHIELD",Slowbro,Slowpoke,Everstone
"SWORD,SHIELD",Slowbro,Slowpoke_Galarian,
"SWORD,SHIELD",Slowbro_Galarian,Slowpoke_Galarian,
ALL,Magnemite,Magnemite,
ALL,Magneton,Magnemite,
"BRILLIANTDIAMOND,SHININGPEARL",Farfetch'd,Farfetch'd,
"SWORD,SHIELD",Farfetch'd,Farfetch'd,Everstone
"SWORD,SHIELD",Farfetch'd,Farfetch'd_Galarian,
"SWORD,SHIELD",Farfetch'd_Galarian,Farfetch'd_Galarian,
"BRILLIANTDIAMOND,SHININGPEARL",Doduo,Doduo,
"BRILLIANTDIAMOND,SHININGPEARL",Dodrio,Doduo,
"BRILLIANTDIAMOND,SHININGPEARL",Seel,Seel,
"BRILLIANTDIAMOND,SHININGPEARL",Dewgong,Seel,
"BRILLIANTDIAMOND,SHININGPEARL",Grimer,Grimer,
NONE,Grimer_Alolan,Grimer,
NONE,Grimer_Alolan,Grimer_Alolan,Everstone
"BRILLIANTDIAMOND,SHININGPEARL",Muk,Grimer,
NONE,Muk_Alolan,Grimer,
NONE,Muk_Alolan,Grimer_Alolan,Everstone
ALL,Shellder,Shellder,
ALL,Cloyster,Shellder,
ALL,Gastly,Gastly,
ALL,Haunter,Gastly,
ALL,Gengar,Gastly,
ALL,Onix,Onix,
"BRILLIANTDIAMOND,SHININGPEARL",Drowzee,Drowzee,
"BRILLIANTDIAMOND,SHININGPEARL",Hypno,Drowzee,
ALL,Krabby,Krabby,
ALL,Kingler,Krabby,
"BRILLIANTDIAMOND,SHININGPEARL",Voltorb,Voltorb,
"BRILLIANTDIAMOND,SHININGPEARL",Electrode,Voltorb,
ALL,Exeggcute,Exeggcute,
ALL,Exeggutor,Exeggcute,
"SWORD,SHIELD",Exeggutor_Alolan,Exeggcute,
ALL,Cubone,Cubone,
ALL,Marowak,Cubone,
"SWORD,SHIELD",Marowak_Alolan,Cubone,
ALL,Hitmonlee,Tyrogue,
ALL,Hitmonchan,Tyrogue,
ALL,Lickitung,Lickitung,
ALL,Koffing,Koffing,
ALL,Weezing,Koffing,
"SWORD,SHIELD",Weezing_Galarian,Koffing,
ALL,Rhyhorn,Rhyhorn,
ALL,Rhydon,Rhyhorn,
ALL,Chansey,Chansey,
ALL,Chansey,Happiny,Luck Incense
ALL,Tangela,Tangela,
ALL,Kangaskhan,Kangaskhan,
ALL,Horsea,Horsea,
ALL,Seadra,Horsea,
ALL,Goldeen,Goldeen,
ALL,Seaking,Goldeen,
ALL,Staryu,Staryu,
ALL,Starmie,Staryu,
"BRILLIANTDIAMOND,SHININGPEARL",Mr. Mime,Mr. Mime,
"SWORD,SHIELD",Mr. Mime,Mr. Mime,Everstone
ALL,Mr. Mime,Mime Jr.,Odd Incense
"SWORD,SHIELD",Mr. Mime_Galarian,Mr. Mime_Galarian,
"SWORD,SHIELD",Mr. Mime_Galarian,Mime Jr.,Odd Incense
ALL,Scyther,Scyther,
ALL,Jynx,Smoochum,
ALL,Electabuzz,Elekid,
ALL,Magmar,Magby,
ALL,Pinsir,Pinsir,
ALL,Tauros,Tauros,
ALL,Magikarp,Magikarp
ALL,Gyarados,Magikarp,
ALL,Lapras,Lapras,
ALL,Eevee,Eevee,
ALL,Vaporeon,Eevee,
ALL,Jolteon,Eevee,
ALL,Flareon,Eevee,
ALL,Porygon,Porygon,
ALL,Omanyte,Omanyte,
ALL,Omastar,Omanyte,
ALL,Kabuto,Kabuto,
ALL,Kabutops,Kabuto,
ALL,Aerodactyl,Aerodactyl,
ALL,Snorlax,Snorlax,
ALL,Snorlax,Munchlax,Full Incense
ALL,Dratini,Dratini,
ALL,Dragonair,Dratini,
ALL,Dragonite,Dratini,
"BRILLIANTDIAMOND,SHININGPEARL",Chikorita,Chikorita,
"BRILLIANTDIAMOND,SHININGPEARL",Bayleef,Chikorita,
"BRILLIANTDIAMOND,SHININGPEARL",Meganium,Chikorita,
"BRILLIANTDIAMOND,SHININGPEARL",Cyndaquil,Cyndaquil,
"BRILLIANTDIAMOND,SHININGPEARL",Quilava,Cyndaquil,
"BRILLIANTDIAMOND,SHININGPEARL",Typhlosion,Cyndaquil,
"BRILLIANTDIAMOND,SHININGPEARL",Totodile,Totodile,
"BRILLIANTDIAMOND,SHININGPEARL",Croconaw,Totodile,
"BRILLIANTDIAMOND,SHININGPEARL",Feraligatr,Totodile,
"BRILLIANTDIAMOND,SHININGPEARL",Sentret,Sentret,
"BRILLIANTDIAMOND,SHININGPEARL",Furret,Sentret,
ALL,Hoothoot,Hoothoot,
ALL,Noctowl,Hoothoot,
"BRILLIANTDIAMOND,SHININGPEARL",Ledyba,Ledyba,
"BRILLIANTDIAMOND,SHININGPEARL",Ledian,Ledyba,
"BRILLIANTDIAMOND,SHININGPEARL",Spinarak,Spinarak,
"BRILLIANTDIAMOND,SHININGPEARL",Ariados,Spinarak,
ALL,Crobat,Zubat,
ALL,Chinchou,Chinchou,
ALL,Lanturn,Chinchou,
ALL,Togetic,Togepi,
ALL,Natu,Natu,
ALL,Xatu,Natu,
"BRILLIANTDIAMOND,SHININGPEARL",Mareep,Mareep,
"BRILLIANTDIAMOND,SHININGPEARL",Flaaffy,Mareep,
"BRILLIANTDIAMOND,SHININGPEARL",Ampharos,Mareep,
ALL,Bellossom,Oddish,
ALL,Marill,Marill,
ALL,Marill,Azurill,Sea Incense
ALL,Azumarill,Marill,
ALL,Azumarill,Azurill,Sea Incense
ALL,Sudowoodo,Sudowoodo,
ALL,Sudowoodo,Bonsly,Rock Incense
ALL,Politoed,Poliwag,
"BRILLIANTDIAMOND,SHININGPEARL",Hoppip,Hoppip,
"BRILLIANTDIAMOND,SHININGPEARL",Skiploom,Hoppip,
"BRILLIANTDIAMOND,SHININGPEARL",Jumpluff,Hoppip,
"BRILLIANTDIAMOND,SHININGPEARL",Aipom,Aipom,
"BRILLIANTDIAMOND,SHININGPEARL",Sunkern,Sunkern,
"BRILLIANTDIAMOND,SHININGPEARL",Sunflora,Sunkern,
"BRILLIANTDIAMOND,SHININGPEARL",Yanma,Yanma,
"BRILLIANTDIAMOND,SHININGPEARL",Wooper,Wooper,
"BRILLIANTDIAMOND,SHININGPEARL",Quagsire,Wooper,
ALL,Espeon,Eevee,
ALL,Umbreon,Eevee,
"BRILLIANTDIAMOND,SHININGPEARL",Murkrow,Murkrow,
"BRILLIANTDIAMOND,SHININGPEARL",Slowking,Slowpoke,
"SWORD,SHIELD",Slowking,Slowpoke,Everstone
"SWORD,SHIELD",Slowking,Slowpoke_Galarian,
"SWORD,SHIELD",Slowking_Galarian,Slowpoke_Galarian,
"BRILLIANTDIAMOND,SHININGPEARL",Misdreavus,Misdreavus,
ALL,Wobbuffet,Wobbuffet,
ALL,Wobbuffet,Wynaut,Lax Incense
"BRILLIANTDIAMOND,SHININGPEARL",Girafarig,Girafarig,
"BRILLIANTDIAMOND,SHININGPEARL",Pineco,Pineco,
"BRILLIANTDIAMOND,SHININGPEARL",Forretress,Pineco,
ALL,Dunsparce,Dunsparce,
"BRILLIANTDIAMOND,SHININGPEARL",Gligar,Gligar,
ALL,Steelix,Onix,
"BRILLIANTDIAMOND,SHININGPEARL",Snubbull,Snubbull,
"BRILLIANTDIAMOND,SHININGPEARL",Granbull,Snubbull,
ALL,Qwilfish,Qwilfish,
ALL,Scizor,Scyther,
ALL,Shuckle,Shuckle,
ALL,Heracross,Heracross,
ALL,Sneasel,Sneasel,
"BRILLIANTDIAMOND,SHININGPEARL",Teddiursa,Teddiursa,
"BRILLIANTDIAMOND,SHININGPEARL",Ursaring,Teddiursa,
"BRILLIANTDIAMOND,SHININGPEARL",Slugma,Slugma,
"BRILLIANTDIAMOND,SHININGPEARL",Magcargo,Slugma,
ALL,Swinub,Swinub,
ALL,Piloswine,Swinub,
"BRILLIANTDIAMOND,SHININGPEARL",Corsola,Corsola,
"SWORD,SHIELD",Corsola,Corsola,Everstone
"SWORD,SHIELD",Corsola,Corsola_Galarian,
"SWORD,SHIELD",Corsola_Galarian,Corsola_Galarian,
ALL,Remoraid,Remoraid,
ALL,Octillery,Remoraid,
ALL,Delibird,Delibird,
ALL,Mantine,Mantine,
ALL,Mantine,Mantyke,Wave Incense
ALL,Skarmory,Skarmory,
"BRILLIANTDIAMOND,SHININGPEARL",Houndour,Houndour,
"BRILLIANTDIAMOND,SHININGPEARL",Houndoom,Houndour,
ALL,Kingdra,Horsea,
"BRILLIANTDIAMOND,SHININGPEARL",Phanpy,Phanpy,
"BRILLIANTDIAMOND,SHININGPEARL",Donphan,Phanpy,
ALL,Porygon2,Porygon,
"BRILLIANTDIAMOND,SHININGPEARL",Stantler,Stantler,
"BRILLIANTDIAMOND,SHININGPEARL",Smeargle,Smeargle,
ALL,Hitmontop,Tyrogue,
ALL,Miltank,Miltank,
ALL,Blissey,Chansey,
ALL,Blissey,Happiny,Luck Incense
ALL,Larvitar,Larvitar,
ALL,Pupitar,Larvitar,
ALL,Tyranitar,Larvitar,
ALL,Treecko,Treecko,
ALL,Grovyle,Treecko,
ALL,Sceptile,Treecko,
ALL,Torchic,Torchic,
ALL,Combusken,Torchic,
ALL,Blaziken,Torchic,
ALL,Mudkip,Mudkip,
ALL,Marshtomp,Mudkip,
ALL,Swampert,Mudkip,
"BRILLIANTDIAMOND,SHININGPEARL",Poochyena,Poochyena,
"BRILLIANTDIAMOND,SHININGPEARL",Mightyena,Poochyena,
"BRILLIANTDIAMOND,SHININGPEARL",Zigzagoon,Zigzagoon,
"SWORD,SHIELD",Zigzagoon,Zigzagoon,Everstone
"SWORD,SHIELD",Zigzagoon,Zigzagoon_Galarian,
"SWORD,SHIELD",Zigzagoon_Galarian,Zigzagoon_Galarian,
"BRILLIANTDIAMOND,SHININGPEARL",Linoone,Zigzagoon,
"SWORD,SHIELD",Linoone,Zigzagoon,Everstone
"SWORD,SHIELD",Linoone,Zigzagoon_Galarian,
"SWORD,SHIELD",Linoone_Galarian,Zigzagoon_Galarian,
"BRILLIANTDIAMOND,SHININGPEARL",Wurmple,Wurmple,
"BRILLIANTDIAMOND,SHININGPEARL",Silcoon,Wurmple,
"BRILLIANTDIAMOND,SHININGPEARL",Beautifly,Wurmple,
"BRILLIANTDIAMOND,SHININGPEARL",Cascoon,Wurmple,
"BRILLIANTDIAMOND,SHININGPEARL",Dustox,Wurmple,
ALL,Lotad,Lotad,
ALL,Lombre,Lotad,
ALL,Ludicolo,Lotad,
ALL,Seedot,Seedot,
ALL,Nuzleaf,Seedot,
ALL,Shiftry,Seedot,
"BRILLIANTDIAMOND,SHININGPEARL",Taillow,Taillow,
"BRILLIANTDIAMOND,SHININGPEARL",Swellow,Taillow,
ALL,Wingull,Wingull,
ALL,Pelipper,Wingull,
ALL,Ralts,Ralts,
ALL,Kirlia,Ralts,
ALL,Gardevoir,Ralts,
"BRILLIANTDIAMOND,SHININGPEARL",Surskit,Surskit,
"BRILLIANTDIAMOND,SHININGPEARL",Masquerain,Surskit,
"BRILLIANTDIAMOND,SHININGPEARL",Shroomish,Shroomish,
"BRILLIANTDIAMOND,SHININGPEARL",Breloom,Shroomish,
"BRILLIANTDIAMOND,SHININGPEARL",Slakoth,Slakoth,
"BRILLIANTDIAMOND,SHININGPEARL",Vigoroth,Slakoth,
"BRILLIANTDIAMOND,SHININGPEARL",Slaking,Slakoth,
ALL,Nincada,Nincada,
ALL,Ninjask,Nincada,
ALL,Shedinja,Nincada,
ALL,Whismur,Whismur,
ALL,Loudred,Whismur,
ALL,Exploud,Whismur,
"BRILLIANTDIAMOND,SHININGPEARL",Makuhita,Makuhita,
"BRILLIANTDIAMOND,SHININGPEARL",Hariyama,Makuhita,
"BRILLIANTDIAMOND,SHININGPEARL",Nosepass,Nosepass,
"BRILLIANTDIAMOND,SHININGPEARL",Skitty,Skitty,
"BRILLIANTDIAMOND,SHININGPEARL",Delcatty,Skitty,
ALL,Sableye,Sableye,
ALL,Mawile,Mawile,
ALL,Aron,Aron,
ALL,Lairon,Aron,
ALL,Aggron,Aron,
"BRILLIANTDIAMOND,SHININGPEARL",Meditite,Meditite,
"BRILLIANTDIAMOND,SHININGPEARL",Medicham,Meditite,
ALL,Electrike,Electrike,
ALL,Manectric,Electrike,
"BRILLIANTDIAMOND,SHININGPEARL",Plusle,Plusle,
"BRILLIANTDIAMOND,SHININGPEARL",Minun,Minun,
"BRILLIANTDIAMOND,SHININGPEARL",Volbeat,Volbeat,
"BRILLIANTDIAMOND,SHININGPEARL",Volbeat,Illumise,
"BRILLIANTDIAMOND,SHININGPEARL",Illumise,Volbeat,
"BRILLIANTDIAMOND,SHININGPEARL",Illumise,Illumise,
ALL,Roselia,Roselia,
ALL,Roselia,Budew,Rose Incense
"BRILLIANTDIAMOND,SHININGPEARL",Gulpin,Gulpin,
"BRILLIANTDIAMOND,SHININGPEARL",Swalot,Gulpin,
ALL,Carvanha,Carvanha,
ALL,Sharpedo,Carvanha,
ALL,Wailmer,Wailmer,
ALL,Wailord,Wailmer,
"BRILLIANTDIAMOND,SHININGPEARL",Numel,Numel,
"BRILLIANTDIAMOND,SHININGPEARL",Camerupt,Numel,
ALL,Torkoal,Torkoal,
"BRILLIANTDIAMOND,SHININGPEARL",Spoink,Spoink,
"BRILLIANTDIAMOND,SHININGPEARL",Grumpig,Spoink,
"BRILLIANTDIAMOND,SHININGPEARL",Spinda,Spinda,
ALL,Trapinch,Trapinch,
ALL,Vibrava,Trapinch,
ALL,Flygon,Trapinch,
"BRILLIANTDIAMOND,SHININGPEARL",Cacnea,Cacnea,
"BRILLIANTDIAMOND,SHININGPEARL",Cacturne,Cacnea,
ALL,Swablu,Swablu,
ALL,Altaria,Swablu,
"BRILLIANTDIAMOND,SHININGPEARL",Zangoose,Zangoose,
"BRILLIANTDIAMOND,SHININGPEARL",Seviper,Seviper,
ALL,Lunatone,Lunatone,
ALL,Solrock,Solrock,
ALL,Barboach,Barboach,
ALL,Whiscash,Barboach,
ALL,Corphish,Corphish,
ALL,Crawdaunt,Corphish,
ALL,Baltoy,Baltoy,
ALL,Claydol,Baltoy,
ALL,Lileep,Lileep,
ALL,Cradily,Lileep,
ALL,Anorith,Anorith,
ALL,Armaldo,Anorith,
ALL,Feebas,Feebas,
ALL,Milotic,Feebas,
"BRILLIANTDIAMOND,SHININGPEARL",Castform,Castform,
"BRILLIANTDIAMOND,SHININGPEARL",Kecleon,Kecleon,
"BRILLIANTDIAMOND,SHININGPEARL",Shuppet,Shuppet,
"BRILLIANTDIAMOND,SHININGPEARL",Banette,Shuppet,
ALL,Duskull,Duskull,
ALL,Dusclops,Duskull,
"BRILLIANTDIAMOND,SHININGPEARL",Tropius,Tropius,
"BRILLIANTDIAMOND,SHININGPEARL",Chimecho,Chimecho,
"BRILLIANTDIAMOND,SHININGPEARL",Chimecho,Chingling,Pure Incense
ALL,Absol,Absol,
ALL,Snorunt,Snorunt,
ALL,Glalie,Snorunt,
ALL,Spheal,Spheal,
ALL,Sealeo,Spheal,
ALL,Walrein,Spheal,
"BRILLIANTDIAMOND,SHININGPEARL",Clamperl,Clamperl,
"BRILLIANTDIAMOND,SHININGPEARL",Huntail,Clamperl,
"BRILLIANTDIAMOND,SHININGPEARL",Gorebyss,Clamperl,
ALL,Relicanth,Relicanth,
"BRILLIANTDIAMOND,SHININGPEARL",Luvdisc,Luvdisc,
ALL,Bagon,Bagon,
ALL,Shelgon,Bagon,
ALL,Salamence,Bagon,
ALL,Beldum,Beldum,
ALL,Metang,Beldum,
ALL,Metagross,Beldum,
"BRILLIANTDIAMOND,SHININGPEARL",Turtwig,Turtwig,
"BRILLIANTDIAMOND,SHININGPEARL",Grotle,Turtwig,
"BRILLIANTDIAMOND,SHININGPEARL",Torterra,Turtwig,
"BRILLIANTDIAMOND,SHININGPEARL",Chimchar,Chimchar,
"BRILLIANTDIAMOND,SHININGPEARL",Monferno,Chimchar,
"BRILLIANTDIAMOND,SHININGPEARL",Infernape,Chimchar,
"BRILLIANTDIAMOND,SHININGPEARL",Piplup,Piplup,
"BRILLIANTDIAMOND,SHININGPEARL",Prinplup,Piplup,
"BRILLIANTDIAMOND,SHININGPEARL",Empoleon,Piplup,
"BRILLIANTDIAMOND,SHININGPEARL",Starly,Starly,
"BRILLIANTDIAMOND,SHININGPEARL",Staravia,Starly,
"BRILLIANTDIAMOND,SHININGPEARL",Staraptor,Starly,
"BRILLIANTDIAMOND,SHININGPEARL",Bidoof,Bidoof,
"BRILLIANTDIAMOND,SHININGPEARL",Bibarel,Bidoof,
"BRILLIANTDIAMOND,SHININGPEARL",Kricketot,Kricketot,
"BRILLIANTDIAMOND,SHININGPEARL",Kricketune,Kricketot,
ALL,Shinx,Shinx,
ALL,Luxio,Shinx,
ALL,Luxray,Shinx,
ALL,Roserade,Roselia,
ALL,Roserade,Budew,Rose Incense
"BRILLIANTDIAMOND,SHININGPEARL",Cranidos,Cranidos,
"BRILLIANTDIAMOND,SHININGPEARL",Rampardos,Cranidos,
"BRILLIANTDIAMOND,SHININGPEARL",Shieldon,Shieldon,
"BRILLIANTDIAMOND,SHININGPEARL",Bastiodon,Shieldon,
"BRILLIANTDIAMOND,SHININGPEARL",Burmy_Plant Cloak,Burmy_Plant Cloak,
"BRILLIANTDIAMOND,SHININGPEARL",Burmy_Sandy Cloak,Burmy_Sandy Cloak,
"BRILLIANTDIAMOND,SHININGPEARL",Burmy_Trash Cloak,Burmy_Trash Cloak,
"BRILLIANTDIAMOND,SHININGPEARL",Wormadam_Plant Cloak,Burmy_Plant Cloak,
"BRILLIANTDIAMOND,SHININGPEARL",Wormadam_Sandy Cloak,Burmy_Sandy Cloak,
"BRILLIANTDIAMOND,SHININGPEARL",Wormadam_Trash Cloak,Burmy_Trash Cloak,
"BRILLIANTDIAMOND,SHININGPEARL",Mothim,Burmy_Plant Cloak,
ALL,Combee,Combee,
ALL,Vespiquen,Combee,
"BRILLIANTDIAMOND,SHININGPEARL",Pachirisu,Pachirisu,
"BRILLIANTDIAMOND,SHININGPEARL",Buizel,Buizel,
"BRILLIANTDIAMOND,SHININGPEARL",Floatzel,Buizel,
ALL,Cherubi,Cherubi,
ALL,Cherrim_Overcast,Cherubi,
ALL,Shellos_West Sea,Shellos_West Sea,
ALL,Shellos_East Sea,Shellos_East Sea,
ALL,Gastrodon_West Sea,Shellos_West Sea,
ALL,Gastrodon_East Sea,Shellos_East Sea,
"BRILLIANTDIAMOND,SHININGPEARL",Ambipom,Aipom,
ALL,Drifloon,Drifloon,
ALL,Drifblim,Drifloon,
ALL,Buneary,Buneary,
ALL,Lopunny,Buneary,
"BRILLIANTDIAMOND,SHININGPEARL",Mismagius,Misdreavus,
"BRILLIANTDIAMOND,SHININGPEARL",Honchkrow,Murkrow,
"BRILLIANTDIAMOND,SHININGPEARL",Glameow,Glameow,
"BRILLIANTDIAMOND,SHININGPEARL",Purugly,Glameow,
ALL,Stunky,Stunky,
ALL,Skuntank,Stunky,
ALL,Bronzor,Bronzor,
ALL,Bronzong,Bronzor,
"BRILLIANTDIAMOND,SHININGPEARL",Chatot,Chatot,
ALL,Spiritomb,Spiritomb,
ALL,Gible,Gible,
ALL,Gabite,Gible,
ALL,Garchomp,Gible,
ALL,Lucario,Riolu,
ALL,Hippopotas,Hippopotas,
ALL,Hippowdon,Hippopotas,
ALL,Skorupi,Skorupi,
ALL,Drapion,Skorupi,
ALL,Croagunk,Croagunk,
ALL,Toxicroak,Croagunk,
"BRILLIANTDIAMOND,SHININGPEARL",Carnivine,Carnivine,
"BRILLIANTDIAMOND,SHININGPEARL",Finneon,Finneon,
"BRILLIANTDIAMOND,SHININGPEARL",Lumineon,Finneon,
ALL,Snover,Snover,
ALL,Abomasnow,Snover,
ALL,Weavile,Sneasel,
ALL,Magnezone,Magneton,
ALL,Lickilicky,Lickitung,
ALL,Rhyperior,Rhyhorn,
ALL,Tangrowth,Tangela,
ALL,Electivire,Elekid,
ALL,Magmortar,Magby,
ALL,Togekiss,Togepi,
"BRILLIANTDIAMOND,SHININGPEARL",Yanmega,Yanma,
ALL,Leafeon,Eevee,
ALL,Glaceon,Eevee,
"BRILLIANTDIAMOND,SHININGPEARL",Gliscor,Gligar,
ALL,Mamoswine,Swinub,
ALL,Porygon-Z,Porygon,
ALL,Gallade,Ralts,
"BRILLIANTDIAMOND,SHININGPEARL",Probopass,Nosepass,
ALL,Dusknoir,Duskull,
ALL,Froslass,Snorunt,
ALL,Rotom,Rotom,
ALL,Rotom_Heat,Rotom,
ALL,Rotom_Wash,Rotom,
ALL,Rotom_Frost,Rotom,
ALL,Rotom_Fan,Rotom,
ALL,Rotom_Mow,Rotom,
"BRILLIANTDIAMOND,SHININGPEARL",Phione,Phione,
"BRILLIANTDIAMOND,SHININGPEARL",Manaphy,Phione,
NONE,Snivy,Snivy,
NONE,Servine,Snivy,
NONE,Serperior,Snivy,
NONE,Tepig,Tepig,
NONE,Pignite,Tepig,
NONE,Emboar,Tepig,
NONE,Oshawott,Oshawott,
NONE,Dewott,Oshawott,
NONE,Samurott,Oshawott,
NONE,Patrat,Patrat,
NONE,Watchog,Patrat,
"SWORD,SHIELD",Lillipup,Lillipup,
"SWORD,SHIELD",Herdier,Lillipup,
"SWORD,SHIELD",Stoutland,Lillipup,
"SWORD,SHIELD",Purrloin,Purrloin,
