GAME,FROM,TO,ITEM,TRADE,OTHER_POKEMON,REQUIRED
"SWORD,SHIELD,BRILLIANTDIAMOND,SHININGPEARL",Goldeen,Seaking,,,,
"SWORD,SHIELD,BRILLIANTDIAMOND,SHININGPEARL",Staryu,Starmie,Water Stone,,,
ALL,Magikarp,Gyarados,,,,
"SWORD,SHIELD",Lapras,Lapras_GMAX,,,,$ISLEOFARMOR
"SWORD,SHIELD",Eevee,Eevee_GMAX,,,,$ISLEOFARMOR
ALL,Eevee,Vaporeon,Water Stone,,,
ALL,Eevee,Jolteon,Thunder Stone,,,
ALL,Eevee,Flareon,Fire Stone,,,
"SWORD,SHIELD,BRILLIANTDIAMOND,SHININGPEARL",Omanyte,Omastar,,,,
"SWORD,SHIELD,BRILLIANTDIAMOND,SHININGPEARL",Kabuto,Kabutops,,,,
"SWORD,SHIELD",Snorlax,Snorlax_GMAX,,,,$ISLEOFARMOR
"SWORD,SHIELD,BRILLIANTDIAMOND,SHININGPEARL",Dratini,Dragonair,,,,
"SWORD,SHIELD,BRILLIANTDIAMOND,SHININGPEARL",Dragonair,Dragonite,,,,
"BRILLIANTDIAMOND,SHININGPEARL",Chikorita,Bayleef,,,,
"BRILLIANTDIAMOND,SHININGPEARL",Bayleef,Meganium,,,,
"BRILLIANTDIAMOND,SHININGPEARL,LEGENDSARCEUS",Cyndaquil,Quilava,,,,
"BRILLIANTDIAMOND,SHININGPEARL",Quilava,Typhlosion,,,,
"LEGENDSARCEUS",Quilava,Typhlosion_Hisuian,,,,
"BRILLIANTDIAMOND,SHININGPEARL",Totodile,Croconaw,,,,
"BRILLIANTDIAMOND,SHININGPEARL",Croconaw,Feraligatr,,,,
"BRILLIANTDIAMOND,SHININGPEARL",Sentret,Furret,,,,
"SWORD,SHIELD,BRILLIANTDIAMOND,SHININGPEARL",Hoothoot,Noctowl,,,,
"BRILLIANTDIAMOND,SHININGPEARL",Ledyba,Ledian,,,,
"BRILLIANTDIAMOND,SHININGPEARL",Spinarak,Ariados,,,,
ALL,Golbat,Crobat,,,,
"SWORD,SHIELD,BRILLIANTDIAMOND,SHININGPEARL",Chinchou,Lanturn,,,,
ALL,Pichu,Pikachu,,,,
ALL,Cleffa,Clefairy,,,,
"SWORD,SHIELD,BRILLIANTDIAMOND,SHININGPEARL",Igglybuff,Jigglypuff,,,,
ALL,Togepi,Togetic,,,,
"SWORD,SHIELD,BRILLIANTDIAMOND,SHININGPEARL",Natu,Xatu,,,,
"BRILLIANTDIAMOND,SHININGPEARL",Mareep,Flaaffy,,,,
"BRILLIANTDIAMOND,SHININGPEARL",Flaaffy,Ampharos,,,,
"SWORD,SHIELD,BRILLIANTDIAMOND,SHININGPEARL",Gloom,Bellossom,Sun Stone,,,
"SWORD,SHIELD,BRILLIANTDIAMOND,SHININGPEARL",Marill,Azumarill,,,,
"SWORD,SHIELD,BRILLIANTDIAMOND,SHININGPEARL",Poliwhirl,Politoed,King's Rock,TRUE,,
"BRILLIANTDIAMOND,SHININGPEARL",Hoppip,Skiploom,,,,
"BRILLIANTDIAMOND,SHININGPEARL",Skiploom,Jumpluff,,,,
"BRILLIANTDIAMOND,SHININGPEARL",Sunkern,Sunflora,Sun Stone,,,
"SWORD,SHIELD,BRILLIANTDIAMOND,SHININGPEARL",Wooper,Quagsire,,,,
ALL,Eevee,Espeon,,,,
ALL,Eevee,Umbreon,,,,
"SWORD,SHIELD,BRILLIANTDIAMOND,SHININGPEARL",Slowpoke,Slowking,King's Rock,TRUE,,
"SWORD,SHIELD",Slowpoke_Galarian,Slowking_Galarian,Galarica Wreath,,,
"BRILLIANTDIAMOND,SHININGPEARL",Pineco,Forretress,,,,
"SWORD,SHIELD,BRILLIANTDIAMOND,SHININGPEARL",Onix,Steelix,Metal Coat,TRUE,,
LEGENDSARCEUS,Onix,Steelix,Metal Coat,,,
"BRILLIANTDIAMOND,SHININGPEARL",Snubbull,Granbull,,,,
"SWORD,SHIELD,BRILLIANTDIAMOND,SHININGPEARL",Scyther,Scizor,Metal Coat,TRUE,,
LEGENDSARCEUS,Scyther,Scizor,Metal Coat,,,
"BRILLIANTDIAMOND,SHININGPEARL,LEGENDSARCEUS",Teddiursa,Ursaring,,,,
"BRILLIANTDIAMOND,SHININGPEARL",Slugma,Magcargo,,,,
ALL,Swinub,Piloswine,,,,
ALL,Remoraid,Octillery,,,,
"BRILLIANTDIAMOND,SHININGPEARL",Houndour,Houndoom,,,,
"SWORD,SHIELD,BRILLIANTDIAMOND,SHININGPEARL",Seadra,Kingdra,Dragon Scale,TRUE,,
"BRILLIANTDIAMOND,SHININGPEARL",Phanpy,Donphan,,,,
"SWORD,SHIELD,BRILLIANTDIAMOND,SHININGPEARL",Porygon,Porygon2,Upgrade,TRUE,,
LEGENDSARCEUS,Porygon,Porygon2,Upgrade,,,
"SWORD,SHIELD,BRILLIANTDIAMOND,SHININGPEARL",Tyrogue,Hitmonlee,,,,
"SWORD,SHIELD,BRILLIANTDIAMOND,SHININGPEARL",Tyrogue,Hitmonchan,,,,
"SWORD,SHIELD,BRILLIANTDIAMOND,SHININGPEARL",Tyrogue,Hitmontop,,,,
"SWORD,SHIELD,BRILLIANTDIAMOND,SHININGPEARL",Smoochum,Jynx,,,,
ALL,Elekid,Electabuzz,,,,
ALL,Magby,Magmar,,,,
ALL,Chansey,Blissey,,,,
"SWORD,SHIELD,BRILLIANTDIAMOND,SHININGPEARL",Larvitar,Pupitar,,,,
"SWORD,SHIELD,BRILLIANTDIAMOND,SHININGPEARL",Pupitar,Tyranitar,,,,
"SWORD,SHIELD,BRILLIANTDIAMOND,SHININGPEARL",Treecko,Grovyle,,,,
"SWORD,SHIELD,BRILLIANTDIAMOND,SHININGPEARL",Grovyle,Sceptile,,,,
"SWORD,SHIELD,BRILLIANTDIAMOND,SHININGPEARL",Torchic,Combusken,,,,
"SWORD,SHIELD,BRILLIANTDIAMOND,SHININGPEARL",Combusken,Blaziken,,,,
"SWORD,SHIELD,BRILLIANTDIAMOND,SHININGPEARL",Mudkip,Marshtomp,,,,
"SWORD,SHIELD,BRILLIANTDIAMOND,SHININGPEARL",Marshtomp,Swampert,,,,
"BRILLIANTDIAMOND,SHININGPEARL",Poochyena,Mightyena,,,,
"SWORD,SHIELD,BRILLIANTDIAMOND,SHININGPEARL",Zigzagoon,Linoone,,,,
"SWORD,SHIELD",Zigzagoon_Galarian,Linoone_Galarian,,,,
"BRILLIANTDIAMOND,SHININGPEARL,LEGENDSARCEUS",Wurmple,Silcoon,,,,
"BRILLIANTDIAMOND,SHININGPEARL,LEGENDSARCEUS",Silcoon,Beautifly,,,,
"BRILLIANTDIAMOND,SHININGPEARL,LEGENDSARCEUS",Wurmple,Cascoon,,,,
"BRILLIANTDIAMOND,SHININGPEARL,LEGENDSARCEUS",Cascoon,Dustox,,,,
"SWORD,SHIELD,BRILLIANTDIAMOND,SHININGPEARL",Lotad,Lombre,,,,
"SWORD,SHIELD,BRILLIANTDIAMOND,SHININGPEARL",Lombre,Ludicolo,Water Stone,,,
"SWORD,SHIELD,BRILLIANTDIAMOND,SHININGPEARL",Seedot,Nuzleaf,,,,
"SWORD,SHIELD,BRILLIANTDIAMOND,SHININGPEARL",Nuzleaf,Shiftry,Leaf Stone,,,
"BRILLIANTDIAMOND,SHININGPEARL",Taillow,Swellow,,,,
"SWORD,SHIELD,BRILLIANTDIAMOND,SHININGPEARL",Wingull,Pelipper,,,,
ALL,Ralts,Kirlia,,,,
ALL,Kirlia,Gardevoir,,,,
"BRILLIANTDIAMOND,SHININGPEARL",Surskit,Masquerain,,,,
"BRILLIANTDIAMOND,SHININGPEARL",Shroomish,Breloom,,,,
"BRILLIANTDIAMOND,SHININGPEARL",Slakoth,Vigoroth,,,,
"BRILLIANTDIAMOND,SHININGPEARL",Vigoroth,Slaking,,,,
"SWORD,SHIELD,BRILLIANTDIAMOND,SHININGPEARL",Nincada,"Ninjask,Shedinja",,,,
"SWORD,SHIELD,BRILLIANTDIAMOND,SHININGPEARL",Whismur,Loudred,,,,
"SWORD,SHIELD,BRILLIANTDIAMOND,SHININGPEARL",Loudred,Exploud,,,,
"BRILLIANTDIAMOND,SHININGPEARL",Makuhita,Hariyama,,,,
"SWORD,SHIELD,BRILLIANTDIAMOND,SHININGPEARL",Azurill,Marill,,,,
"BRILLIANTDIAMOND,SHININGPEARL",Skitty,Delcatty,Moon Stone,,,
"SWORD,SHIELD,BRILLIANTDIAMOND,SHININGPEARL",Aron,Lairon,,,,
"SWORD,SHIELD,BRILLIANTDIAMOND,SHININGPEARL",Lairon,Aggron,,,,
"BRILLIANTDIAMOND,SHININGPEARL",Meditite,Medicham,,,,
"SWORD,SHIELD,BRILLIANTDIAMOND,SHININGPEARL",Electrike,Manectric,,,,
"BRILLIANTDIAMOND,SHININGPEARL",Gulpin,Swalot,,,,
"SWORD,SHIELD,BRILLIANTDIAMOND,SHININGPEARL",Carvanha,Sharpedo,,,,
"SWORD,SHIELD,BRILLIANTDIAMOND,SHININGPEARL",Wailmer,Wailord,,,,
"BRILLIANTDIAMOND,SHININGPEARL",Numel,Camerupt,,,,
"BRILLIANTDIAMOND,SHININGPEARL",Spoink,Grumpig,,,,
"SWORD,SHIELD,BRILLIANTDIAMOND,SHININGPEARL",Trapinch,Vibrava,,,,
"SWORD,SHIELD,BRILLIANTDIAMOND,SHININGPEARL",Vibrava,Flygon,,,,
"BRILLIANTDIAMOND,SHININGPEARL",Cacnea,Cacturne,,,,
"SWORD,SHIELD,BRILLIANTDIAMOND,SHININGPEARL",Swablu,Altaria,,,,
ALL,Barboach,Whiscash,,,,
"SWORD,SHIELD,BRILLIANTDIAMOND,SHININGPEARL",Corphish,Crawdaunt,,,,
"SWORD,SHIELD,BRILLIANTDIAMOND,SHININGPEARL",Baltoy,Claydol,,,,
"SWORD,SHIELD,BRILLIANTDIAMOND,SHININGPEARL",Lileep,Cradily,,,,
"SWORD,SHIELD,BRILLIANTDIAMOND,SHININGPEARL",Anorith,Armaldo,,,,
"BRILLIANTDIAMOND,SHININGPEARL",Feebas,Feebas_BEAUTIFUL,,,,
"SWORD,SHIELD,BRILLIANTDIAMOND,SHININGPEARL",Feebas_BEAUTIFUL,Milotic,,,,
"SWORD,SHIELD",Feebas,Milotic,Prism Scale,TRUE,,
"BRILLIANTDIAMOND,SHININGPEARL",Shuppet,Banette,,,,
ALL,Duskull,Dusclops,,,,
"SWORD,SHIELD,BRILLIANTDIAMOND,SHININGPEARL",Wynaut,Wobbuffet,,,,
ALL,Snorunt,Glalie,,,,
ALL,Spheal,Sealeo,,,,
ALL,Sealeo,Walrein,,,,
"BRILLIANTDIAMOND,SHININGPEARL",Clamperl,Huntail,Deep Sea Tooth,TRUE,,
"BRILLIANTDIAMOND,SHININGPEARL",Clamperl,Gorebyss,Deep Sea Scale,TRUE,,
"SWORD,SHIELD,BRILLIANTDIAMOND,SHININGPEARL",Bagon,Shelgon,,,,
"SWORD,SHIELD,BRILLIANTDIAMOND,SHININGPEARL",Shelgon,Salamence,,,,
"SWORD,SHIELD,BRILLIANTDIAMOND,SHININGPEARL",Beldum,Metang,,,,
"SWORD,SHIELD,BRILLIANTDIAMOND,SHININGPEARL",Metang,Metagross,,,,
"BRILLIANTDIAMOND,SHININGPEARL,LEGENDSARCEUS",Turtwig,Grotle,,,,
"BRILLIANTDIAMOND,SHININGPEARL,LEGENDSARCEUS",Grotle,Torterra,,,,
"BRILLIANTDIAMOND,SHININGPEARL,LEGENDSARCEUS",Chimchar,Monferno,,,,
"BRILLIANTDIAMOND,SHININGPEARL,LEGENDSARCEUS",Monferno,Infernape,,,,
"BRILLIANTDIAMOND,SHININGPEARL,LEGENDSARCEUS",Piplup,Prinplup,,,,
"BRILLIANTDIAMOND,SHININGPEARL,LEGENDSARCEUS",Prinplup,Empoleon,,,,
"BRILLIANTDIAMOND,SHININGPEARL,LEGENDSARCEUS",Starly,Staravia,,,,
"BRILLIANTDIAMOND,SHININGPEARL,LEGENDSARCEUS",Staravia,Staraptor,,,,
"BRILLIANTDIAMOND,SHININGPEARL,LEGENDSARCEUS",Bidoof,Bibarel,,,,
"BRILLIANTDIAMOND,SHININGPEARL,LEGENDSARCEUS",Kricketot,Kricketune,,,,
ALL,Shinx,Luxio,,,,
ALL,Luxio,Luxray,,,,
ALL,Budew,Roselia,,,,
ALL,Roselia,Roserade,Shiny Stone,,,
"BRILLIANTDIAMOND,SHININGPEARL,LEGENDSARCEUS",Cranidos,Rampardos,,,,
"BRILLIANTDIAMOND,SHININGPEARL,LEGENDSARCEUS",Shieldon,Bastiodon,,,,
"BRILLIANTDIAMOND,SHININGPEARL,LEGENDSARCEUS",Burmy_Plant Cloak_FEMALE,Wormadam_Plant Cloak,,,,
"BRILLIANTDIAMOND,SHININGPEARL,LEGENDSARCEUS",Burmy_Sandy Cloak_FEMALE,Wormadam_Sandy Cloak,,,,
"BRILLIANTDIAMOND,SHININGPEARL,LEGENDSARCEUS",Burmy_Trash Cloak_FEMALE,Wormadam_Trash Cloak,,,,
"BRILLIANTDIAMOND,SHININGPEARL,LEGENDSARCEUS",Burmy_Plant Cloak_MALE,Mothim,,,,
"BRILLIANTDIAMOND,SHININGPEARL,LEGENDSARCEUS",Burmy_Sandy Cloak_MALE,Mothim,,,,
"BRILLIANTDIAMOND,SHININGPEARL,LEGENDSARCEUS",Burmy_Trash Cloak_MALE,Mothim,,,,
ALL,Combee_FEMALE,Vespiquen,,,,
"BRILLIANTDIAMOND,SHININGPEARL,LEGENDSARCEUS",Buizel,Floatzel,,,,
ALL,Cherubi,Cherrim_Overcast,,,,
ALL,Shellos_West Sea,Gastrodon_West Sea,,,,
ALL,Shellos_East Sea,Gastrodon_East Sea,,,,
"BRILLIANTDIAMOND,SHININGPEARL,LEGENDSARCEUS",Aipom,Ambipom,,,,
ALL,Drifloon,Drifblim,,,,
ALL,Buneary,Lopunny,,,,
"BRILLIANTDIAMOND,SHININGPEARL,LEGENDSARCEUS",Misdreavus,Mismagius,Dusk Stone,,,
"BRILLIANTDIAMOND,SHININGPEARL,LEGENDSARCEUS",Murkrow,Honchkrow,Dusk Stone,,,
"BRILLIANTDIAMOND,SHININGPEARL,LEGENDSARCEUS",Glameow,Purugly,,,,
"BRILLIANTDIAMOND,SHININGPEARL,LEGENDSARCEUS",Chingling,Chimecho,,,,
ALL,Stunky,Skuntank,,,,
ALL,Bronzor,Bronzong,,,,
ALL,Bonsly,Sudowoodo,,,,
"BRILLIANTDIAMOND,SHININGPEARL,LEGENDSARCEUS",Mime Jr.,Mr. Mime,,,,
"SWORD,SHIELD",Mime Jr.,Mr. Mime_Galarian,,,,
ALL,Happiny,Chansey,Oval Stone,,,
ALL,Gible,Gabite,,,,
ALL,Gabite,Garchomp,,,,
ALL,Munchlax,Snorlax,,,,
ALL,Riolu,Lucario,,,,
ALL,Hippopotas,Hippowdon,,,,
ALL,Skorupi,Drapion,,,,
ALL,Croagunk,Toxicroak,,,,
"BRILLIANTDIAMOND,SHININGPEARL,LEGENDSARCEUS",Finneon,Lumineon,,,,
ALL,Mantyke,Mantine,,,Remoraid,
ALL,Snover,Abomasnow,,,,
ALL,Sneasel,Weavile,Razor Claw,,,
"BRILLIANTDIAMOND,SHININGPEARL,LEGENDSARCEUS",Magneton,Magnezone,,,,
ALL,Magneton,Magnezone,Thunder Stone,,,
ALL,Lickitung,Lickilicky,,,,
"SWORD,SHIELD,BRILLIANTDIAMOND,SHININGPEARL",Rhydon,Rhyperior,Protector,TRUE,,
LEGENDSARCEUS,Rhydon,Rhyperior,Protector,,,
ALL,Tangela,Tangrowth,,,,
"SWORD,SHIELD,BRILLIANTDIAMOND,SHININGPEARL",Electabuzz,Electivire,Electirizer,TRUE,,
LEGENDSARCEUS,Electabuzz,Electivire,Electirizer,,,
"SWORD,SHIELD,BRILLIANTDIAMOND,SHININGPEARL",Magmar,Magmortar,Magmarizer,TRUE,,
LEGENDSARCEUS,Magmar,Magmortar,Magmarizer,,,
ALL,Togetic,Togekiss,Shiny Stone,,,
"BRILLIANTDIAMOND,SHININGPEARL,LEGENDSARCEUS",Yanma,Yanmega,,,,
"BRILLIANTDIAMOND,SHININGPEARL,LEGENDSARCEUS",Eevee,Leafeon,,,,
ALL,Eevee,Leafeon,Leaf Stone,,,
"BRILLIANTDIAMOND,SHININGPEARL,LEGENDSARCEUS",Eevee,Glaceon,,,,
ALL,Eevee,Glaceon,Ice Stone,,,
"BRILLIANTDIAMOND,SHININGPEARL,LEGENDSARCEUS",Gligar,Gliscor,Razor Fang,,,
ALL,Piloswine,Mamoswine,,,,
"SWORD,SHIELD,BRILLIANTDIAMOND,SHININGPEARL",Porygon2,Porygon-Z,Dubious Disc,TRUE,,
LEGENDSARCEUS,Porygon2,Porygon-Z,Dubious Disc,,,
ALL,Kirlia_MALE,Gallade,Dawn Stone,,,
"BRILLIANTDIAMOND,SHININGPEARL,LEGENDSARCEUS",Nosepass,Probopass,,,,
LEGENDSARCEUS,Nosepass,Probopass,Thunder Stone,,,
"SWORD,SHIELD,BRILLIANTDIAMOND,SHININGPEARL",Dusclops,Dusknoir,Reaper Cloth,TRUE,,
LEGENDSARCEUS,Dusclops,Dusknoir,Reaper Cloth,,,
ALL,Snorunt_FEMALE,Froslass,Dawn Stone,,,
NONE,Snivy,Servine,,,,
NONE,Servine,Serperior,,,,
NONE,Tepig,Pignite,,,,
NONE,Pignite,Emboar,,,,
LEGENDSARCEUS,Oshawott,Dewott,,,,
NONE,Dewott,Samurott,,,,
LEGENDSARCEUS,Dewott,Samurott_Hisuian,,,,
NONE,Patrat,Watchog,,,,
"SWORD,SHIELD",Lillipup,Herdier,,,,
"SWORD,SHIELD",Herdier,Stoutland,,,,
"SWORD,SHIELD",Purrloin,Liepard,,,,
NONE,Pansage,Simisage,Leaf Stone,,,
NONE,Pansear,Simisear,Fire Stone,,,
NONE,Panpour,Simipour,Water Stone,,,
"SWORD,SHIELD",Munna,Musharna,Moon Stone,,,
"SWORD,SHIELD",Pidove,Tranquill,,,,
"SWORD,SHIELD",Tranquill,Unfezant,,,,
NONE,Blitzle,Zebstrika,,,,
"SWORD,SHIELD",Roggenrola,Boldore,,,,
"SWORD,SHIELD",Boldore,Gigalith,,TRUE,,
"SWORD,SHIELD",Woobat,Swoobat,,,,
"SWORD,SHIELD",Drilbur,Excadrill,,,,
"SWORD,SHIELD",Timburr,Gurdurr,,,,
"SWORD,SHIELD",Gurdurr,Conkeldurr,,TRUE,,
"SWORD,SHIELD",Tympole,Palpitoad,,,,
"SWORD,SHIELD",Palpitoad,Seismitoad,,,,
NONE,Sewaddle,Swadloon,,,,
NONE,Swadloon,Leavanny,,,,
"SWORD,SHIELD",Venipede,Whirlipede,,,,
"SWORD,SHIELD",Whirlipede,Scolipede,,,,
"SWORD,SHIELD",Cottonee,Whimsicott,Sun Stone,,,
"SWORD,SHIELD",Petilil,Lilligant,Sun Stone,,,
LEGENDSARCEUS,Petilil,Lilligant_Hisuian,Sun Stone,,,
"SWORD,SHIELD",Sandile,Krokorok,,,,
"SWORD,SHIELD",Krokorok,Krookodile,,,,
"SWORD,SHIELD",Darumaka,Darmanitan,,,,
"SWORD,SHIELD",Darumaka,Darumaka_ZENMODE,Ability Patch,,,
"SWORD,SHIELD",Darumaka_Galarian,Darmanitan_Galarian,,,,
"SWORD,SHIELD",Darumaka_Galarian,Darumaka_Galarian_ZENMODE,Ability Patch,,,
"SWORD,SHIELD",Darmanitan,Darmanitan_ZENMODE,Ability Patch,,,
"SWORD,SHIELD",Darmanitan_Galarian,Darmanitan_Galarian_ZENMODE,Ability Patch,,,
"SWORD,SHIELD",Dwebble,Crustle,,,,
"SWORD,SHIELD",Scraggy,Scrafty,,,,
"SWORD,SHIELD",Yamask,Cofagrigus,,,,
"SWORD,SHIELD",Tirtouga,Carracosta,,,,
"SWORD,SHIELD",Archen,Archeops,,,,
"SWORD,SHIELD",Trubbish,Garbodor,,,,
"SWORD,SHIELD",Garbodor,Garbodor_GMAX,,,,$ISLEOFARMOR
"SWORD,SHIELD",Zorua,Zoroark,,,,
LEGENDSARCEUS,Zorua_Hisuian,Zoroark_Hisuian,,,,
"SWORD,SHIELD",Minccino,Cinccino,Shiny Stone,,,
"SWORD,SHIELD",Gothita,Gothorita,,,,
"SWORD,SHIELD",Gothorita,Gothitelle,,,,
"SWORD,SHIELD",Solosis,Duosion,,,,
