SPECIES,DIAMOND,PEARL,PLATINUM,HEARTGOLD,SOULSILVER
Bibarel_FEMALE,,,,inf[POKEWALKER],inf[POKEWALKER]
Kricketot,inf,inf,inf,inf,inf
Kricketune,inf,inf,inf,inf,inf
Shinx,inf,inf,inf,inf,inf
Luxio,inf,inf,inf,inf,inf
Budew,inf,inf,inf,inf,inf
Burmy,inf,inf,inf,inf,inf
Combee,inf,inf,inf,inf,inf
Pachirisu,inf,inf,inf,inf,inf
Buizel,inf,inf,inf,inf,inf
Floatzel,inf,inf,inf,inf,inf
Cherubi,inf,inf,inf,inf,inf
Shellos_WEST,inf,inf,inf,,
Shellos_WEST_FEMALE,,,,inf[POKEWALKER],inf[POKEWALKER]
Shellos_EAST,inf,inf,inf,,
Gastrodon_WEST,inf,inf,inf,,
Gastrodon_EAST,inf,inf,inf,,
Drifloon,inf,inf,inf,,
Buneary,inf,inf,inf,inf,inf
Glameow,,inf,,,
Purugly,,inf,,,
Chingling,inf,inf,inf,inf,inf
Stunky,inf,,,,
Skuntank,inf,,,,
Bronzor,inf,inf,inf,inf,inf
Bronzong,inf,inf,inf,inf,inf
Bonsly,inf,inf,inf,,
Bonsly_MALE,,,,inf[POKEWALKER],inf[POKEWALKER]
Mime Jr.,inf,inf,inf,,
Mime Jr._MALE,,,,inf[POKEWALKER],inf[POKEWALKER]
Happiny,inf,inf,inf,"inf[POKEWALKER,$RT_AMITY_MEADOW]","inf[POKEWALKER,$RT_AMITY_MEADOW]"
Chatot,inf,inf,inf,inf,inf
Spiritomb_MALE,,,,inf[POKEWALKER],inf[POKEWALKER]
Gible,inf,inf,inf,inf,inf
Gabite,,,inf,,
Munchlax,inf,inf,inf,,
Munchlax_MALE,,,,inf[POKEWALKER],inf[POKEWALKER]
Riolu,,,,inf,inf
Hippopotas,inf,inf,inf,inf,inf
Hippowdon,inf,inf,inf,,
Skorupi,inf,inf,inf,inf,inf
Drapion,inf,inf,inf,,
Croagunk,inf,inf,inf,inf,inf
Toxicroak,inf,inf,inf,,
Carnivine,inf,inf,inf,inf,inf
Finneon,inf,inf,inf,,
Finneon_FEMALE,,,,inf[POKEWALKER],inf[POKEWALKER]
Lumineon,inf,inf,inf,,
Mantyke,inf,inf,inf,,
Snover,inf,inf,inf,,
Snover_MALE,,,,inf[POKEWALKER],inf[POKEWALKER]
Abomasnow,inf,inf,inf,,
Rotom,1,1,1,,
Uxie,1,1,1,,
Mesprit,1,1,1,,
Azelf,1,1,1,,
Dialga,1,,1,,
Palkia,,1,1,,
Heatran,1,1,1,,
Regigigas,"1[Regirock,Regice,Registeel]","1[Regirock,Regice,Registeel]","1[Regirock,Regice,Registeel]",,
Giratina,1,1,1,,
Cresselia,1,1,1,,
Darkrai,1[Member Card],1[Member Card],1[Member Card],,
Shaymin,1[Oak's Letter],1[Oak's Letter],,,
Shaymin_FATEFUL,,,1[Oak's Letter],,
Arceus_HALLOFORIGIN,1[Azure Flute],1[Azure Flute],1[Azure Flute],,
Armor Fossil,,inf,inf[$TRAINERID_EVEN],,
Claw Fossil,inf,inf,inf,inf,
Dawn Stone,2,2,3,1,1
Deep Sea Scale,,,,1,1
Deep Sea Tooth,,,,1,1
Dome Fossil,inf,inf,inf,,inf
Dragon Scale,,,,1,1
Dubious Disc,1,1,2,1,1
Dusk Stone,2,2,3,1,1
Electirizer,,,1,1,1
Everstone,inf,inf,inf,,
Fire Stone,inf,inf,inf,inf[POKEWALKER],inf[POKEWALKER]
Full Incense,1,1,1,1,1
Helix Fossil,inf,inf,inf,inf,
King's Rock,,,1,,
Lax Incense,1,1,1,1,1
Leaf Stone,inf,inf,inf,1,1
Luck Incense,1,1,1,1,1
Magmarizer,,,1,1,1
Metal Coat,,,1,1,1
Moon Stone,inf,inf,inf,inf,inf
Odd Incense,1,1,1,1,1
Odd Keystone,inf,inf,inf,,
Old Amber,inf,inf,inf,inf,inf
Oval Stone,inf,inf,inf,"1;inf[POKEWALKER,$RT_AMITY_MEADOW]","1;inf[POKEWALKER,$RT_AMITY_MEADOW]"
Protector,1,1,2,1,1
Pure Incense,1,1,1,1,1
Razor Claw,2,2,3,,
Razor Fang,1,1,2,,
Reaper Cloth,inf,inf,inf,1,1
Rock Incense,1,1,1,1,1
Root Fossil,inf,inf,inf,,inf
Rose Incense,1,1,1,1,1
Sea Incense,1,1,1,1,1
Shiny Stone,2,2,3,1,1
Skull Fossil,inf,,inf[$TRAINERID_ODD],,
Sun Stone,inf,inf,inf,inf[POKEWALKER],inf[POKEWALKER]
Thunder Stone,inf,inf,inf,,
Upgrade,,,2,,
Water Stone,inf,inf,inf,1,1
Wave Incense,1,1,1,1,1
