GAME,FROM,TO,ITEM,TRADE,OTHER_POKEMON
ALL,Budew,Roselia,,,
ALL,Roselia,Roserade,Shiny Stone,,
ALL,Cranidos,Rampardos,,,
ALL,Shieldon,Bastiodon,,,
ALL,Burmy_Plant Cloak_FEMALE,Wormadam_Plant Cloak,,,
ALL,Burmy_Sandy Cloak_FEMALE,Wormadam_Sandy Cloak,,,
ALL,Burmy_Trash Cloak_FEMALE,Wormadam_Trash Cloak,,,
ALL,Burmy_Plant Cloak_MALE,Mothim,,,
ALL,Burmy_Sandy Cloak_MALE,Mothim,,,
ALL,Burmy_Trash Cloak_MALE,Mothim,,,
ALL,Combee_FEMALE,Vespiquen,,,
ALL,Buizel,Floatzel,,,
ALL,Cherubi,Cherrim_Overcast,,,
ALL,Shellos_West Sea,Gastrodon_West Sea,,,
ALL,Shellos_East Sea,Gastrodon_East Sea,,,
ALL,Aipom,Ambipom,,,
ALL,Drifloon,Drifblim,,,
ALL,Buneary,Lopunny,,,
ALL,Misdreavus,Mismagius,Dusk Stone,,
ALL,Murkrow,Honchkrow,Dusk Stone,,
ALL,Glameow,Purugly,,,
ALL,Chingling,Chimecho,,,
ALL,Stunky,Skuntank,,,
ALL,Bronzor,Bronzong,,,
ALL,Bonsly,Sudowoodo,,,
ALL,Mime Jr.,Mr. Mime,,,
ALL,Happiny,Chansey,Oval Stone,,
ALL,Gible,Gabite,,,
ALL,Gabite,Garchomp,,,
ALL,Munchlax,Snorlax,,,
ALL,Riolu,Lucario,,,
ALL,Hippopotas,Hippowdon,,,
ALL,Skorupi,Drapion,,,
ALL,Croagunk,Toxicroak,,,
ALL,Finneon,Lumineon,,,
ALL,Mantyke,Mantine,,,Remoraid
ALL,Snover,Abomasnow,,,
ALL,Sneasel,Weavile,Razor Claw,,
"DIAMOND,PEARL,PLATINUM",Magneton,Magnezone,,,
ALL,Lickitung,Lickilicky,,,
ALL,Rhydon,Rhyperior,Protector,TRUE,
ALL,Tangela,Tangrowth,,,
ALL,Electabuzz,Electivire,Electirizer,TRUE,
ALL,Magmar,Magmortar,Magmarizer,TRUE,
ALL,Togetic,Togekiss,Shiny Stone,,
ALL,Yanma,Yanmega,,,
"DIAMOND,PEARL,PLATINUM",Eevee,Leafeon,,,
"DIAMOND,PEARL,PLATINUM",Eevee,Glaceon,,,
ALL,Gligar,Gliscor,Razor Fang,,
ALL,Piloswine,Mamoswine,,,
ALL,Porygon2,Porygon-Z,Dubious Disc,TRUE,
ALL,Kirlia_MALE,Gallade,Dawn Stone,,
"DIAMOND,PEARL,PLATINUM",Nosepass,Probopass,,,
ALL,Dusclops,Dusknoir,Reaper Cloth,TRUE,
ALL,Snorunt_FEMALE,Froslass,Dawn Stone,,
