SPECIES,BLACK,WHITE,BLACK2,WHITE2,DREAMRADAR,DREAMWORLD
Hariyama,,,inf,inf,,
Azurill,,inf[$WF_MOLLY],inf,inf,,
Nosepass,,,inf,inf,,inf[BLACK];inf[WHITE]
Skitty,,,,inf,,inf
Delcatty,,,,inf,,
Sableye,inf,inf,,,,inf[BLACK];inf[WHITE]
Mawile,inf,inf,,,,inf[BLACK];inf[WHITE]
Aron,,inf[$WF_GENE],inf,inf,,inf
Lairon,,,inf,inf,,
Meditite,,,,,,inf[BLACK];inf[WHITE]
Medicham,,,inf,inf,,
Electrike,,,,,,inf[BLACK];inf[WHITE]
Manectric,,,inf,inf,,
Plusle,inf,,inf,,,inf
Minun,,inf,,inf,,inf
Volbeat,inf,,inf,,,inf
Illumise,,inf,,inf,,inf
Roselia,,,inf,inf,,inf
Gulpin,,,,,,inf
Swalot,,,inf,inf,,
Carvanha,inf,inf,inf,inf,,inf
Sharpedo,inf,inf,inf,inf,,
Wailmer,inf,inf,inf,inf,,inf
Wailord,inf,inf,inf,inf,,
Numel,,,,inf,,inf
Camerupt,,,,inf,,
Torkoal,,,,,,inf
Spoink,,,inf,,,inf
Grumpig,,,inf,,,
Spinda,,,,,,inf[BLACK];inf[WHITE]
Trapinch,,inf[$WF_ELIZA],inf,inf,,inf
Vibrava,,,inf,inf,,
Cacnea,,,,,,inf
Cacturne,,,inf,inf,,
Swablu,,,inf,inf,inf,inf[BLACK];inf[WHITE]
Altaria,inf,inf,inf,inf,,
Zangoose,inf,inf,inf,inf,,inf[BLACK];inf[WHITE]
Seviper,inf,inf,inf,inf,,inf[BLACK];inf[WHITE]
Lunatone,inf,inf,inf,inf,,inf
Solrock,inf,inf,inf,inf,,inf
Barboach,inf,inf,inf,inf,,inf
Whiscash,inf,inf,inf,inf,,
Corphish,,inf[$WF_CARLOS];inf[$WF_EMI];inf[$WF_KEN];inf[$WF_VINCENT],inf,inf,,inf
Crawdaunt,,,inf,inf,,
Baltoy,,,inf,inf,,inf
Claydol,inf,inf,,,,
Lileep,,,,,,inf
Anorith,,,,,,inf
Feebas,inf,inf,inf,inf,,inf
Milotic,inf,inf,inf,inf,,
Castform,,,inf,inf,,inf[BLACK];inf[WHITE]
Kecleon,,,inf,inf,,inf
Shuppet,inf,inf,,,,inf
Banette,,,inf,inf,,
Duskull,,,,,,inf
Tropius,inf,inf,inf,inf,,inf
Chimecho,inf,inf,,,,inf
Absol,inf,inf,inf,inf,,inf
Wynaut,inf,inf,,,,
Snorunt,,,,,,inf
Spheal,inf,inf,inf,inf,,inf[BLACK];inf[WHITE]
Sealeo,inf,inf,inf,inf,,
Walrein,inf,inf,inf,inf,,
Clamperl,inf,inf,inf,inf,,inf
Huntail,inf,,inf,,,
Gorebyss,,inf,,inf,,
Relicanth,inf,inf,inf,inf,,inf
Luvdisc,inf,inf,inf,inf,,inf
Bagon,,inf[$WF_GRACE],inf,inf,,inf
Beldum,,,,,inf,inf[BLACK];inf[WHITE]
Metang,inf,inf,inf,inf,,
Metagross,inf,inf,inf,inf,,
Regirock_CAPTURE_TRADERESET,,,1,1,,
Regice,,,1[WHITE2],1,,
Registeel,,,1,1[BLACK2],,
Latias,,,,1,,
Latios,,,1,,,
Starly,,inf[$WF_CARLOS],,,,
Staravia,,,,,,inf
Bidoof,,,,,,inf
Bibarel,inf,inf,inf,inf,,
Kricketot,,,,,,inf
Kricketune,inf,inf,,,,
Shinx,,inf[$WF_DOUG],,,,inf
Budew,,inf[$WF_FREDERIC],,,,
Roserade,,,inf,inf,,
Cranidos,,,,,,inf[BLACK];inf[WHITE]
Shieldon,,,,,,inf[BLACK];inf[WHITE]
Burmy_Plant Cloak,,,,,,inf[$CAFE]
Burmy_Sandy Cloak,,,,,,inf
Combee,inf,inf,inf,inf,,inf[BLACK];inf[WHITE]
Vespiquen,inf,inf,inf,inf,,
Pachirisu,,,inf,inf,,inf[BLACK];inf[WHITE]
Buizel,inf,inf,inf,inf,,inf
Floatzel,inf,inf,inf,inf,,
Cherubi,,,,,,inf
Cherrim_Overcast,inf,inf,,,,
Shellos_West Sea,,,,,,inf[BLACK];inf[WHITE]
Shellos_East Sea,,,,,,inf[BLACK];inf[WHITE]
Drifloon,,,inf,inf,inf,inf[BLACK];inf[WHITE]
Drifblim,inf,inf,inf,inf,,
Buneary,,,inf,,,inf
Lopunny,,,inf,,,
Mismagius,,inf,,,,
Honchkrow,inf,,,,,
Glameow,,,,inf,,inf
Stunky,,,inf,,,inf
Bronzor,,,inf,inf,inf,inf[BLACK];inf[WHITE]
Bronzong,inf,inf,inf,inf,,
Happiny,,inf[$WF_EMI],,,,
Chatot,,,inf,inf,,inf[BLACK];inf[WHITE]
Spiritomb,,,,,inf,inf[BLACK];inf[WHITE]
Gible,,,,,,inf
Riolu,inf,inf,inf,inf,inf,inf[BLACK];inf[WHITE]
Hippopotas,inf,inf,,,,inf
Hippowdon,,,inf,inf,,
Skorupi,,,inf,inf,,inf[BLACK];inf[WHITE]
Croagunk,inf,inf,inf,inf,,inf
Toxicroak,,,inf,inf,,
Carnivine,,,inf,inf,,inf
Finneon,inf,inf,inf,inf,,inf
Lumineon,inf,inf,inf,inf,,
Mantyke,inf,inf,inf,inf,,
Snover,,,,,,inf
Magnezone,,,inf,inf,,
Lickilicky,,,inf,inf,,
Tangrowth,inf,inf,inf,inf,,
Yanmega,,,inf,inf,,
Gliscor,inf,inf,inf,inf,,
Mamoswine,inf,inf,inf,inf,,
Rotom,,,,,inf,inf[BLACK];inf[WHITE]
Uxie,,,1,1,,
Mesprit,,,1,1,,
Azelf,,,1,1,,
Dialga_ONETRANSFER,,,,,1[DIAMOND],
Palkia_ONETRANSFER,,,,,1[PEARL],
Heatran,,,1,1,,
Regigigas,,,"1[Regirock,Regice,Registeel]","1[Regirock,Regice,Registeel]",,
Giratina_Altered_ONETRANSFER,,,,,1[PLATINUM],
Cresselia,,,1,1,,
Victini,1[Liberty Pass],1[Liberty Pass],,,,
Patrat,inf,inf,inf,inf,,
Watchog,inf,inf,inf,inf,,
Lillipup,inf,inf,inf,inf,,
Herdier,inf,inf,inf,inf,,
Stoutland,inf,inf,inf,inf,,
Purrloin,inf,inf,inf,inf,,
Liepard,inf,inf,inf,inf,,
Pansage,inf,inf,inf,inf,,
Pansear,inf,inf,inf,inf,,
Panpour,inf,inf,inf,inf,,
Munna,inf,inf,inf,inf,inf,
Musharna,inf,inf,inf,inf,,
Pidove,inf,inf,inf,inf,,inf[BLACK2];inf[WHITE2]
Tranquill,inf,inf,inf,inf,,
Unfezant,inf,inf,inf,inf,,
Blitzle,inf,inf,,,,
Zebstrika,inf,inf,inf,inf,,
Roggenrola,inf,inf,inf,inf,,
Boldore,inf,inf,inf,inf,,inf[BLACK2];inf[WHITE2]
Woobat,inf,inf,inf,inf,,
Drilbur,inf,inf,inf,inf,,inf[BLACK2];inf[WHITE2]
Excadrill,inf,inf,inf,inf,,
Audino,inf,inf,inf,inf,,inf[BLACK2];inf[WHITE2]
Timburr,inf,inf,inf,inf,,
Gurdurr,inf,inf,inf,inf,,inf[BLACK2];inf[WHITE2]
Tympole,inf,inf,,,,inf[BLACK2];inf[WHITE2]
Tympole_MALE,,,1[BLACK];1[WHITE],1[BLACK];1[WHITE],,
Palpitoad,inf,inf,inf,inf,,
Seismitoad,inf,inf,inf,inf,,
Throh,inf,inf,inf,inf,,inf[BLACK2];inf[WHITE2]
Sawk,inf,inf,inf,inf,,inf[BLACK2];inf[WHITE2]
Sewaddle,inf,inf,inf,inf,,
Swadloon,inf,inf,inf,inf,,
Leavanny,inf,inf,inf,inf,,
Venipede,inf,inf,inf,inf,,
Whirlipede,inf,inf,inf,inf,,
Scolipede,,,inf,inf,,inf[BLACK2];inf[WHITE2]
Cottonee,inf,,inf,,,inf[BLACK2];inf[WHITE2]
Whimsicott,inf,,inf,,,
Petilil,,inf,,inf,,inf[BLACK2];inf[WHITE2]
Lilligant,,inf,,inf,,
Basculin_Red-Striped,inf,inf,inf,inf,,inf[BLACK2];inf[WHITE2]
Basculin_Blue-Striped,inf,inf,inf,inf,,inf[BLACK2];inf[WHITE2]
Sandile,inf,inf,inf,inf,,
Krokorok,inf,inf,inf,inf,,
Krookodile,,,,,,inf[BLACK2];inf[WHITE2]
Darumaka,inf,inf,inf,inf,,
Darmanitan_ZENMODE,5{Rage Candy Bar},5{Rage Candy Bar},,,,
Darmanitan_ZENMODE,,,1[BLACK];1[WHITE],1[BLACK];1[WHITE],,
Maractus,inf,inf,inf,inf,,inf[BLACK2];inf[WHITE2]
Dwebble,inf,inf,inf,inf,,
Crustle,inf,inf,inf,inf,,inf[BLACK2];inf[WHITE2]
Scraggy,inf,inf,inf,inf,,inf[BLACK2];inf[WHITE2]
Scrafty,,,inf,inf,,
Sigilyph,inf,inf,inf,inf,inf,inf[BLACK2];inf[WHITE2]
Yamask,inf,inf,inf,inf,,
Cofagrigus,inf,inf,,,,
Tirtouga,,,,,,inf[BLACK2];inf[WHITE2]
Trubbish,inf,inf,inf,inf,,
Garbodor,inf,inf,inf,inf,,
Zoroark,1[$SHINY_BEAST],1[$SHINY_BEAST],,,,
Minccino,inf,inf,inf,inf,,
Cinccino,inf,inf,inf,inf,,
Gothita,inf,,inf,,,
Gothorita,inf,,inf,,,
Gothitelle,inf,,inf,,,
Solosis,,inf,,inf,,
Duosion,,inf,,inf,,inf[BLACK2];inf[WHITE2]
Reuniclus,,inf,,inf,,
Ducklett,inf,inf,inf,inf,,inf[BLACK2];inf[WHITE2]
Swanna,inf,inf,inf,inf,,
Vanillite,inf,inf,,,,
Vanillish,inf,inf,inf,inf,,inf[BLACK2];inf[WHITE2]
Vanilluxe,,,inf,inf,,
Deerling_Spring,inf,inf,inf,inf,,
Deerling_Summer,inf,inf,inf,inf,,
Deerling_Autumn,inf,inf,inf,inf,,
Deerling_Winter,inf,inf,inf,inf,,
Sawsbuck_Spring,inf,inf,inf,inf,,
Sawsbuck_Summer,inf,inf,inf,inf,,
Sawsbuck_Autumn,inf,inf,inf,inf,,
Sawsbuck_Winter,inf,inf,inf,inf,,
Emolga,inf,inf,inf,inf,,inf[BLACK2];inf[WHITE2]
Karrablast,inf,inf,inf,inf,,inf[BLACK2];inf[WHITE2]
Foongus,inf,inf,inf,inf,,
Amoonguss,inf,inf,inf,inf,,
Frillish,inf,inf,inf,inf,,
Jellicent,inf,inf,inf,inf,,
Alomomola,inf,inf,inf,inf,,inf[BLACK2];inf[WHITE2]
Joltik,inf,inf,inf,inf,,
Galvantula,,,,,,inf[BLACK2];inf[WHITE2]
Ferroseed,inf,inf,inf,inf,,
Klink,inf,inf,inf,inf,,
Klang,,,inf,inf,,inf[BLACK2];inf[WHITE2]
Klinklang,,,inf,inf,,
Tynamo,inf,inf,inf,inf,,
Eelektrik,,,inf,inf,,
Elgyem,inf,inf,inf,inf,,inf[BLACK2];inf[WHITE2]
Beheeyem,inf,inf,,,,
Litwick,inf,inf,inf,inf,,
Axew,inf,inf,inf,inf,,inf[BLACK2];inf[WHITE2]
Fraxure,inf,inf,inf,inf,,
Haxorus,,,1,1,,
Cubchoo,inf,inf,inf,inf,,
Beartic,inf,inf,inf,inf,,
Cryogonal,inf,inf,inf,inf,,
Shelmet,inf,inf,inf,inf,,inf[BLACK2];inf[WHITE2]
Stunfisk,inf,inf,inf,inf,,inf[BLACK2];inf[WHITE2]
Mienfoo,inf,inf,inf,inf,,
Mienshao,inf,inf,inf,inf,,
Druddigon,inf,inf,inf,inf,,inf[BLACK2];inf[WHITE2]
Golett,inf,inf,,,,inf[BLACK2];inf[WHITE2]
Golurk,,,inf,inf,,
Pawniard,inf,inf,inf,inf,,inf[BLACK2];inf[WHITE2]
Bisharp,inf,inf,,,,
Bouffalant,inf,inf,inf,inf,,
Rufflet,,inf,,inf,,
Braviary,,inf,,inf,,
Vullaby,inf,,inf,,,
Mandibuzz,inf,,inf,,,
Heatmor,inf,inf,inf,inf,,inf[BLACK2];inf[WHITE2]
Durant,inf,inf,inf,inf,,inf[BLACK2];inf[WHITE2]
Deino,inf,inf,,,,
Zweilous,,,inf,inf,,
Volcarona,1,1,1,1,,
Cobalion,,,1,1,,
Cobalion_CAPTURE_TRANSFERRESET,1,1,,,,
Terrakion,,,1,1,,
Terrakion,1[Cobalion_CAPTURE_TRANSFERRESET],1[Cobalion_CAPTURE_TRANSFERRESET],,,,
Virizion,,,1,1,,
Virizion,1[Cobalion_CAPTURE_TRANSFERRESET],1[Cobalion_CAPTURE_TRANSFERRESET],1,1,,
Tornadus_Incarnate,1,,,,,
Tornadus_Therian_ONETRANSFER,,,,,1,
Thundurus_Incarnate,,1,,,,
Thundurus_Therian_ONETRANSFER,,,,,1[Tornadus_Therian],
Reshiram,1,,,1,,
Zekrom,,1,1,,,
Landorus_Incarnate,"1[Tornadus_Incarnate,Thundurus_Incarnate]","1[Tornadus_Incarnate,Thundurus_Incarnate]",,,,
Landorus_Therian_ONETRANSFER,,,,,"1[Tornadus_Therian,Thundurus_Therian]",
Kyurem,1,1,1,1,,
Cover Fossil,,,inf,,,
Dawn Stone,inf,inf,inf,inf,inf,
Deep Sea Scale,1,1,,,,
Deep Sea Tooth,1,1,,,,
Draco Plate,1,1,1,1,,
Dragon Scale,1,1,1,1,,
Dread Plate,1,1,1,1,,
Dubious Disc,1,1,1,1,,
Dusk Stone,inf,inf,inf,inf,,
Earth Plate,1,1,1,1,,
Electirizer,1,1,,1,,
Everstone,inf,inf,inf,inf,,
Fire Stone,inf,inf,inf,inf,inf,
Fist Plate,1,1,1,1,,
Flame Plate,1,1,1,1,,
Griseous Orb,,,1,1,,
Icicle Plate,1,1,1,1,,
Insect Plate,1,1,1,1,,
Iron Plate,1,1,1,1,,
King's Rock,,,1,1,inf,
Leaf Stone,inf,inf,inf,inf,inf,
Magmarizer,,,1,,,
Meadow Plate,1,1,1,1,,
Metal Coat,1,1,2,2,,
Mind Plate,1,1,1,1,,
Moon Stone,inf,inf,inf,inf,inf,
Oval Stone,inf,inf,inf,inf,,
Prism Scale,1,1,1,1,,
Protector,1,1,1,1,,
Rage Candy Bar,2,2,,,,
Razor Claw,1,1,1,1,,
Razor Fang,1,1,1,1,,
Reaper Cloth,1,1,1,1,,inf
Shiny Stone,inf,inf,inf,inf,,
Sky Plate,1,1,1,1,,
Splash Plate,1,1,1,1,,
Spooky Plate,1,1,1,1,,
Stone Plate,1,1,1,1,,
Sun Stone,inf,inf,inf,inf,inf,
Thunder Stone,inf,inf,inf,inf,inf,
Toxic Plate,1,1,1,1,,
Upgrade,1,1,2,2,,
Water Stone,inf,inf,inf,inf,inf,
Zap Plate,1,1,1,1,,
$WF,0,10,0,0,0,0
