GAME,SPECIES,IN_FORM,OUT_FORM,REQUIRED,CONSUMED
"SUN,MOON,ULTRASUN,ULTRAMOON",Rayquaza,,Dragon Ascent,
"SUN,MOON,ULTRASUN,ULTRAMOON",Rayquaza,Dragon Ascent,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Landorus,Therian,Incarnate,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Keldeo,,Resolute,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Keldeo,Resolute,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Furfrou,,Heart Trim,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Furfrou,,Star Trim,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Furfrou,,Diamond Trim,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Furfrou,,Debutante Trim,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Furfrou,,Matron Trim,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Furfrou,,Dandy Trim,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Furfrou,,La Reine Trim,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Furfrou,,Kabuki Trim,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Furfrou,,Pharaoh Trim,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Furfrou,Heart Trim,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Furfrou,Star Trim,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Furfrou,Diamond Trim,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Furfrou,Debutante Trim,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Furfrou,Matron Trim,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Furfrou,Dandy Trim,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Furfrou,La Reine Trim,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Furfrou,Kabuki Trim,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Furfrou,Pharaoh Trim,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Hoopa,Confined,Unbound,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Hoopa,Unbound,Confined,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Zygarde,50% Power Construct,10% Power Construct,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Zygarde,10% Power Construct,50% Power Construct,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Oricorio,Pom-Pom Style,Baile Style,,Red Nectar
"SUN,MOON,ULTRASUN,ULTRAMOON",Oricorio,Pa'u Style,Baile Style,,Red Nectar
"SUN,MOON,ULTRASUN,ULTRAMOON",Oricorio,Sensu Style,Baile Style,,Red Nectar
"SUN,MOON,ULTRASUN,ULTRAMOON",Oricorio,Baile Style,Pom-Pom Style,,Yellow Nectar
"SUN,MOON,ULTRASUN,ULTRAMOON",Oricorio,Pa'u Style,Pom-Pom Style,,Yellow Nectar
"SUN,MOON,ULTRASUN,ULTRAMOON",Oricorio,Sensu Style,Pom-Pom Style,,Yellow Nectar
"SUN,MOON,ULTRASUN,ULTRAMOON",Oricorio,Baile Style,Pa'u Style,,Pink Nectar
"SUN,MOON,ULTRASUN,ULTRAMOON",Oricorio,Pom-Pom Style,Pa'u Style,,Pink Nectar
"SUN,MOON,ULTRASUN,ULTRAMOON",Oricorio,Sensu Style,Pa'u Style,,Pink Nectar
"SUN,MOON,ULTRASUN,ULTRAMOON",Oricorio,Baile Style,Sensu Style,,Purple Nectar
"SUN,MOON,ULTRASUN,ULTRAMOON",Oricorio,Pom-Pom Style,Sensu Style,,Purple Nectar
"SUN,MOON,ULTRASUN,ULTRAMOON",Oricorio,Pa'u Style,Sensu Style,,Purple Nectar
