GAME,IDX,SPECIES,FORM,GENDER,TAG
ALL,136,Flareon,,,
ALL,137,Porygon,,UNKNOWN,
ALL,138,Omanyte,,,
ALL,139,Omastar,,,
ALL,140,Kabuto,,,
ALL,141,Kabutops,,,
ALL,142,Aerodactyl,,,
ALL,142,Aerodactyl,Mega,,NOTRANSFER
ALL,143,Snorlax,,,
ALL,144,Articuno,,UNKNOWN,
ALL,145,Zapdos,,UNKNOWN,
ALL,146,Moltres,,UNKNOWN,
ALL,147,Dratini,,,
ALL,148,Dragonair,,,
ALL,149,Dragonite,,,
ALL,150,Mewtwo,,UNKNOWN,
ALL,150,Mewtwo,Mega X,UNKNOWN,NOTRANSFER
ALL,150,Mewtwo,Mega Y,UNKNOWN,NOTRANSFER
ALL,151,Mew,,UNKNOWN,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",152,Chikorita,,,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",153,Bayleef,,,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",154,Meganium,,,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",155,Cyndaquil,,,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",156,Quilava,,,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",157,Typhlosion,,,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",158,Totodile,,,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",159,Croconaw,,,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",160,Feraligatr,,,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",161,Sentret,,,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",162,Furret,,,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",163,Hoothoot,,,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",164,Noctowl,,,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",165,Ledyba,,,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",166,Ledian,,,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",167,Spinarak,,,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",168,Ariados,,,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",169,Crobat,,,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",170,Chinchou,,,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",171,Lanturn,,,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",172,Pichu,,,
NONE,172,Pichu,Spiky-eared,FEMALE,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",173,Cleffa,,,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",174,Igglybuff,,,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",175,Togepi,,,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",176,Togetic,,,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",177,Natu,,,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",178,Xatu,,,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",179,Mareep,,,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",180,Flaaffy,,,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",181,Ampharos,,,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",181,Ampharos,Mega,,NOTRANSFER
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",182,Bellossom,,,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",183,Marill,,,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",184,Azumarill,,,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",185,Sudowoodo,,,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",186,Politoed,,,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",187,Hoppip,,,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",188,Skiploom,,,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",189,Jumpluff,,,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",190,Aipom,,,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",191,Sunkern,,,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",192,Sunflora,,,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",193,Yanma,,,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",194,Wooper,,,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",195,Quagsire,,,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",196,Espeon,,,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",197,Umbreon,,,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",198,Murkrow,,,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",199,Slowking,,,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",200,Misdreavus,,,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",201,Unown,A,UNKNOWN,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",201,Unown,B,UNKNOWN,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",201,Unown,C,UNKNOWN,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",201,Unown,D,UNKNOWN,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",201,Unown,E,UNKNOWN,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",201,Unown,F,UNKNOWN,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",201,Unown,G,UNKNOWN,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",201,Unown,H,UNKNOWN,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",201,Unown,I,UNKNOWN,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",201,Unown,J,UNKNOWN,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",201,Unown,K,UNKNOWN,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",201,Unown,L,UNKNOWN,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",201,Unown,M,UNKNOWN,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",201,Unown,N,UNKNOWN,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",201,Unown,O,UNKNOWN,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",201,Unown,P,UNKNOWN,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",201,Unown,Q,UNKNOWN,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",201,Unown,R,UNKNOWN,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",201,Unown,S,UNKNOWN,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",201,Unown,T,UNKNOWN,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",201,Unown,U,UNKNOWN,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",201,Unown,V,UNKNOWN,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",201,Unown,W,UNKNOWN,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",201,Unown,X,UNKNOWN,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",201,Unown,Y,UNKNOWN,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",201,Unown,Z,UNKNOWN,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",201,Unown,!,UNKNOWN,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",201,Unown,?,UNKNOWN,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",202,Wobbuffet,,,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",203,Girafarig,,,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",204,Pineco,,,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",205,Forretress,,,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",206,Dunsparce,,,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",207,Gligar,,,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",208,Steelix,,,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",208,Steelix,Mega,,NOTRANSFER
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",209,Snubbull,,,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",210,Granbull,,,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",211,Qwilfish,,,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",212,Scizor,,,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",212,Scizor,Mega,,NOTRANSFER
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",213,Shuckle,,,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",214,Heracross,,,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",214,Heracross,Mega,,NOTRANSFER
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",215,Sneasel,,,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",216,Teddiursa,,,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",217,Ursaring,,,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",218,Slugma,,,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",219,Magcargo,,,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",220,Swinub,,,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",221,Piloswine,,,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",222,Corsola,,,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",223,Remoraid,,,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",224,Octillery,,,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",225,Delibird,,,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",226,Mantine,,,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",227,Skarmory,,,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",228,Houndour,,,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",229,Houndoom,,,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",229,Houndoom,Mega,,NOTRANSFER
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",230,Kingdra,,,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",231,Phanpy,,,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",232,Donphan,,,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",233,Porygon2,,UNKNOWN,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",234,Stantler,,,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",235,Smeargle,,,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",236,Tyrogue,,MALE,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",237,Hitmontop,,MALE,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",238,Smoochum,,FEMALE,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",239,Elekid,,,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",240,Magby,,,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",241,Miltank,,FEMALE,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",242,Blissey,,FEMALE,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",243,Raikou,,UNKNOWN,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",244,Entei,,UNKNOWN,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",245,Suicune,,UNKNOWN,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",246,Larvitar,,,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",247,Pupitar,,,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",248,Tyranitar,,,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",248,Tyranitar,Mega,,NOTRANSFER
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",249,Lugia,,UNKNOWN,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",250,Ho-Oh,,UNKNOWN,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",251,Celebi,,UNKNOWN,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",252,Treecko,,,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",253,Grovyle,,,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",254,Sceptile,,,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",254,Sceptile,Mega,,NOTRANSFER
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",255,Torchic,,,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",256,Combusken,,,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",257,Blaziken,,,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",257,Blaziken,Mega,,NOTRANSFER
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",258,Mudkip,,,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",259,Marshtomp,,,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",260,Swampert,,,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",260,Swampert,Mega,,NOTRANSFER
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",261,Poochyena,,,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",262,Mightyena,,,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",263,Zigzagoon,,,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",264,Linoone,,,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",265,Wurmple,,,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",266,Silcoon,,,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",267,Beautifly,,,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",268,Cascoon,,,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",269,Dustox,,,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",270,Lotad,,,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",271,Lombre,,,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",272,Ludicolo,,,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",273,Seedot,,,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",274,Nuzleaf,,,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",275,Shiftry,,,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",276,Taillow,,,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",277,Swellow,,,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",278,Wingull,,,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",279,Pelipper,,,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",280,Ralts,,,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",281,Kirlia,,,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",282,Gardevoir,,,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",282,Gardevoir,Mega,,NOTRANSFER
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",283,Surskit,,,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",284,Masquerain,,,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",285,Shroomish,,,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",286,Breloom,,,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",287,Slakoth,,,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",288,Vigoroth,,,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",289,Slaking,,,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",290,Nincada,,,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",291,Ninjask,,,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",292,Shedinja,,UNKNOWN,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",293,Whismur,,,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",294,Loudred,,,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",295,Exploud,,,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",296,Makuhita,,,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",297,Hariyama,,,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",298,Azurill,,,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",299,Nosepass,,,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",300,Skitty,,,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",301,Delcatty,,,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",302,Sableye,,,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",302,Sableye,Mega,,NOTRANSFER
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",303,Mawile,,,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",303,Mawile,Mega,,NOTRANSFER
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",304,Aron,,,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",305,Lairon,,,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",306,Aggron,,,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",306,Aggron,Mega,,NOTRANSFER
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",307,Meditite,,,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",308,Medicham,,,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",308,Medicham,Mega,,NOTRANSFER
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",309,Electrike,,,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",310,Manectric,,,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",310,Manectric,Mega,,NOTRANSFER
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",311,Plusle,,,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",312,Minun,,,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",313,Volbeat,,MALE,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",314,Illumise,,FEMALE,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",315,Roselia,,,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",316,Gulpin,,,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",317,Swalot,,,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",318,Carvanha,,,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",319,Sharpedo,,,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",319,Sharpedo,Mega,,NOTRANSFER
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",320,Wailmer,,,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",321,Wailord,,,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",322,Numel,,,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",323,Camerupt,,,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",323,Camerupt,Mega,,NOTRANSFER
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",324,Torkoal,,,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",325,Spoink,,,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",326,Grumpig,,,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",327,Spinda,,,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",328,Trapinch,,,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",329,Vibrava,,,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",330,Flygon,,,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",331,Cacnea,,,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",332,Cacturne,,,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",333,Swablu,,,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",334,Altaria,,,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",334,Altaria,Mega,,NOTRANSFER
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",335,Zangoose,,,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",336,Seviper,,,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",337,Lunatone,,UNKNOWN,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",338,Solrock,,UNKNOWN,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",339,Barboach,,,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",340,Whiscash,,,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",341,Corphish,,,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",342,Crawdaunt,,,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",343,Baltoy,,UNKNOWN,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",344,Claydol,,UNKNOWN,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",345,Lileep,,,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",346,Cradily,,,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",347,Anorith,,,
"SUN,MOON,ULTRASUN,ULTRAMOON,BANK",348,Armaldo,,,
