GAME,FROM,TO,ITEM,TRADE,OTHER_POKEMON
"SUN,MOON,ULTRASUN,ULTRAMOON",Smoochum,Jynx,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Elekid,Electabuzz,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Magby,Magmar,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Chansey,Blissey,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Larvitar,Pupitar,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Pupitar,Tyranitar,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Treecko,Grovyle,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Grovyle,Sceptile,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Torchic,Combusken,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Combusken,Blaziken,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Mudkip,Marshtomp,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Marshtomp,Swampert,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Poochyena,Mightyena,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Zigzagoon,Linoone,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Wurmple,Silcoon,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Silcoon,Beautifly,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Wurmple,Cascoon,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Cascoon,Dustox,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Lotad,Lombre,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Lombre,Ludicolo,Water Stone,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Seedot,Nuzleaf,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Nuzleaf,Shiftry,Leaf Stone,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Taillow,Swellow,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Wingull,Pelipper,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Ralts,Kirlia,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Kirlia,Gardevoir,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Surskit,Masquerain,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Shroomish,Breloom,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Slakoth,Vigoroth,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Vigoroth,Slaking,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Nincada,"Ninjask,Shedinja",,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Whismur,Loudred,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Loudred,Exploud,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Makuhita,Hariyama,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Azurill,Marill,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Skitty,Delcatty,Moon Stone,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Aron,Lairon,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Lairon,Aggron,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Meditite,Medicham,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Electrike,Manectric,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Gulpin,Swalot,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Carvanha,Sharpedo,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Wailmer,Wailord,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Numel,Camerupt,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Spoink,Grumpig,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Trapinch,Vibrava,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Vibrava,Flygon,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Cacnea,Cacturne,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Swablu,Altaria,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Barboach,Whiscash,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Corphish,Crawdaunt,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Baltoy,Claydol,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Lileep,Cradily,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Anorith,Armaldo,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Feebas_BEAUTIFUL,Milotic,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Feebas,Milotic,Prism Scale,TRUE,
"SUN,MOON,ULTRASUN,ULTRAMOON",Shuppet,Banette,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Duskull,Dusclops,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Wynaut,Wobbuffet,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Snorunt,Glalie,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Spheal,Sealeo,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Sealeo,Walrein,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Clamperl,Huntail,Deep Sea Tooth,TRUE,
"SUN,MOON,ULTRASUN,ULTRAMOON",Clamperl,Gorebyss,Deep Sea Scale,TRUE,
"SUN,MOON,ULTRASUN,ULTRAMOON",Bagon,Shelgon,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Shelgon,Salamence,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Beldum,Metang,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Metang,Metagross,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Turtwig,Grotle,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Grotle,Torterra,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Chimchar,Monferno,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Monferno,Infernape,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Piplup,Prinplup,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Prinplup,Empoleon,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Starly,Staravia,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Staravia,Staraptor,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Bidoof,Bibarel,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Kricketot,Kricketune,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Shinx,Luxio,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Luxio,Luxray,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Budew,Roselia,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Roselia,Roserade,Shiny Stone,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Cranidos,Rampardos,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Shieldon,Bastiodon,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Burmy_Plant Cloak_FEMALE,Wormadam_Plant Cloak,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Burmy_Sandy Cloak_FEMALE,Wormadam_Sandy Cloak,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Burmy_Trash Cloak_FEMALE,Wormadam_Trash Cloak,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Burmy_Plant Cloak_MALE,Mothim,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Burmy_Sandy Cloak_MALE,Mothim,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Burmy_Trash Cloak_MALE,Mothim,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Combee_FEMALE,Vespiquen,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Buizel,Floatzel,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Cherubi,Cherrim_Overcast,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Shellos_West Sea,Gastrodon_West Sea,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Shellos_East Sea,Gastrodon_East Sea,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Aipom,Ambipom,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Drifloon,Drifblim,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Buneary,Lopunny,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Misdreavus,Mismagius,Dusk Stone,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Murkrow,Honchkrow,Dusk Stone,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Glameow,Purugly,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Chingling,Chimecho,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Stunky,Skuntank,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Bronzor,Bronzong,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Bonsly,Sudowoodo,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Mime Jr.,Mr. Mime,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Happiny,Chansey,Oval Stone,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Gible,Gabite,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Gabite,Garchomp,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Munchlax,Snorlax,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Riolu,Lucario,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Hippopotas,Hippowdon,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Skorupi,Drapion,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Croagunk,Toxicroak,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Finneon,Lumineon,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Mantyke,Mantine,,,Remoraid
"SUN,MOON,ULTRASUN,ULTRAMOON",Snover,Abomasnow,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Sneasel,Weavile,Razor Claw,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Magneton,Magnezone,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Lickitung,Lickilicky,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Rhydon,Rhyperior,Protector,TRUE,
"SUN,MOON,ULTRASUN,ULTRAMOON",Tangela,Tangrowth,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Electabuzz,Electivire,Electirizer,TRUE,
"SUN,MOON,ULTRASUN,ULTRAMOON",Magmar,Magmortar,Magmarizer,TRUE,
"SUN,MOON,ULTRASUN,ULTRAMOON",Togetic,Togekiss,Shiny Stone,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Yanma,Yanmega,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Eevee,Leafeon,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Eevee,Glaceon,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Gligar,Gliscor,Razor Fang,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Piloswine,Mamoswine,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Porygon2,Porygon-Z,Dubious Disc,TRUE,
"SUN,MOON,ULTRASUN,ULTRAMOON",Kirlia_MALE,Gallade,Dawn Stone,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Nosepass,Probopass,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Dusclops,Dusknoir,Reaper Cloth,TRUE,
"SUN,MOON,ULTRASUN,ULTRAMOON",Snorunt_FEMALE,Froslass,Dawn Stone,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Snivy,Servine,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Servine,Serperior,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Tepig,Pignite,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Pignite,Emboar,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Oshawott,Dewott,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Dewott,Samurott,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Patrat,Watchog,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Lillipup,Herdier,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Herdier,Stoutland,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Purrloin,Liepard,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Pansage,Simisage,Leaf Stone,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Pansear,Simisear,Fire Stone,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Panpour,Simipour,Water Stone,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Munna,Musharna,Moon Stone,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Pidove,Tranquill,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Tranquill,Unfezant,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Blitzle,Zebstrika,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Roggenrola,Boldore,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Boldore,Gigalith,,TRUE,
"SUN,MOON,ULTRASUN,ULTRAMOON",Woobat,Swoobat,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Drilbur,Excadrill,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Timburr,Gurdurr,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Gurdurr,Conkeldurr,,TRUE,
"SUN,MOON,ULTRASUN,ULTRAMOON",Tympole,Palpitoad,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Palpitoad,Seismitoad,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Sewaddle,Swadloon,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Swadloon,Leavanny,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Venipede,Whirlipede,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Whirlipede,Scolipede,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Cottonee,Whimsicott,Sun Stone,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Petilil,Lilligant,Sun Stone,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Sandile,Krokorok,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Krokorok,Krookodile,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Darumaka,Darmanitan,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Dwebble,Crustle,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Scraggy,Scrafty,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Yamask,Cofagrigus,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Tirtouga,Carracosta,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Archen,Archeops,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Trubbish,Garbodor,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Zorua,Zoroark,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Minccino,Cinccino,Shiny Stone,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Gothita,Gothorita,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Gothorita,Gothitelle,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Solosis,Duosion,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Duosion,Reuniclus,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Ducklett,Swanna,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Vanillite,Vanillish,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Vanillish,Vanilluxe,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Deerling_Spring,Sawsbuck_Spring,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Deerling_Summer,Sawsbuck_Summer,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Deerling_Autumn,Sawsbuck_Autumn,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Deerling_Winter,Sawsbuck_Winter,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Karrablast,Escavalier,,TRUE,Shelmet
"SUN,MOON,ULTRASUN,ULTRAMOON",Foongus,Amoonguss,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Frillish,Jellicent,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Joltik,Galvantula,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Ferroseed,Ferrothorn,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Klink,Klang,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Klang,Klinklang,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Tynamo,Eelektrik,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Eelektrik,Eelektross,Thunder Stone,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Elgyem,Beheeyem,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Litwick,Lampent,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Lampent,Chandelure,Dusk Stone,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Axew,Fraxure,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Fraxure,Haxorus,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Cubchoo,Beartic,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Shelmet,Accelgor,,TRUE,Karrablast
"SUN,MOON,ULTRASUN,ULTRAMOON",Mienfoo,Mienshao,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Golett,Golurk,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Pawniard,Bisharp,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Rufflet,Braviary,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Vullaby,Mandibuzz,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Deino,Zweilous,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Zweilous,Hydreigon,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Larvesta,Volcarona,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Chespin,Quilladin,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Quilladin,Chesnaught,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Fennekin,Braixen,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Braixen,Delphox,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Froakie,Frogadier,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Frogadier,Greninja,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Bunnelby,Diggersby,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Fletchling,Fletchinder,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Fletchinder,Talonflame,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Scatterbug_Archipelago,Spewpa_Archipelago,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Scatterbug_Continental,Spewpa_Continental,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Scatterbug_Elegant,Spewpa_Elegant,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Scatterbug_Garden,Spewpa_Garden,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Scatterbug_High Plains,Spewpa_High Plains,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Scatterbug_Icy Snow,Spewpa_Icy Snow,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Scatterbug_Jungle,Spewpa_Jungle,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Scatterbug_Marine,Spewpa_Marine,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Scatterbug_Meadow,Spewpa_Meadow,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Scatterbug_Modern,Spewpa_Modern,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Scatterbug_Monsoon,Spewpa_Monsoon,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Scatterbug_Ocean,Spewpa_Ocean,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Scatterbug_Polar,Spewpa_Polar,,,
