PARENT,CHILD,ITEM
Magnemite,Magnemite,
Magneton,Magnemite,
Farfetch'd,Farfetch'd,
Doduo,Doduo,
Dodrio,Doduo,
Seel,Seel,
Dewgong,Seel,
Grimer,Grimer,
Muk,Grimer,
Shellder,Shellder,
Cloyster,Shellder,
Gastly,Gastly,
Haunter,Gastly,
Gengar,Gastly,
Onix,Onix,
Drowzee,Drowzee,
Hypno,Drowzee,
Krabby,Krabby,
Kingler,Krabby,
Voltorb,Voltorb,
Electrode,Voltorb,
Exeggcute,Exeggcute,
Exeggutor,Exeggcute,
Cubone,Cubone,
Marowak,Cubone,
Hitmonlee,Tyrogue,
Hitmonchan,Tyrogue,
Lickitung,Lickitung,
Koffing,Koffing,
Weezing,Koffing,
Rhyhorn,Rhyhorn,
Rhydon,Rhyhorn,
Chansey,Chansey,
Tangela,Tangela,
Kangaskhan,Kangaskhan,
Horsea,Horsea,
Seadra,Horsea,
Goldeen,Goldeen,
Seaking,Goldeen,
Staryu,Staryu,
Starmie,Staryu,
Mr. Mime,Mr. Mime,
Scyther,Scyther,
Jynx,Smoochum,
Electabuzz,Elekid,
Magmar,Magby,
Pinsir,Pinsir,
Tauros,Tauros,
Magikarp,Magikarp
Gyarados,Magikarp,
Lapras,Lapras,
Eevee,Eevee,
Vaporeon,Eevee,
Jolteon,Eevee,
Flareon,Eevee,
Porygon,Porygon,
Omanyte,Omanyte,
Omastar,Omanyte,
Kabuto,Kabuto,
Kabutops,Kabuto,
Aerodactyl,Aerodactyl,
Snorlax,Snorlax,
Dratini,Dratini,
Dragonair,Dratini,
Dragonite,Dratini,
Chikorita,Chikorita,
Bayleef,Chikorita,
Meganium,Chikorita,
Cyndaquil,Cyndaquil,
Quilava,Cyndaquil,
Typhlosion,Cyndaquil,
Totodile,Totodile,
Croconaw,Totodile,
Feraligatr,Totodile,
Sentret,Sentret,
Furret,Sentret,
Hoothoot,Hoothoot,
Noctowl,Hoothoot,
Ledyba,Ledyba,
Ledian,Ledyba,
Spinarak,Spinarak,
Ariados,Spinarak,
Crobat,Zubat,
Chinchou,Chinchou,
Lanturn,Chinchou,
Togetic,Togepi,
Natu,Natu,
Xatu,Natu,
Mareep,Mareep,
Flaaffy,Mareep,
Ampharos,Mareep,
Bellossom,Oddish,
Marill,Marill,
Marill,Azurill,Sea Incense
Azumarill,Marill,
Azumarill,Azurill,Sea Incense
Sudowoodo,Sudowoodo,
Politoed,Poliwag,
Hoppip,Hoppip,
Skiploom,Hoppip,
Jumpluff,Hoppip,
Aipom,Aipom,
Sunkern,Sunkern,
Sunflora,Sunkern,
Yanma,Yanma,
Wooper,Wooper,
Quagsire,Wooper,
Espeon,Eevee,
Umbreon,Eevee,
Murkrow,Murkrow,
Slowking,Slowpoke,
Misdreavus,Misdreavus,
Wobbuffet,Wobbuffet,
Wobbuffet,Wynaut,Lax Incense
Girafarig,Girafarig,
Pineco,Pineco,
Forretress,Pineco,
Dunsparce,Dunsparce,
Gligar,Gligar,
Steelix,Onix,
Snubbull,Snubbull,
Granbull,Snubbull,
Qwilfish,Qwilfish,
Scizor,Scyther,
Shuckle,Shuckle,
Heracross,Heracross,
Sneasel,Sneasel,
Teddiursa,Teddiursa,
Ursaring,Teddiursa,
Slugma,Slugma,
Magcargo,Slugma,
Swinub,Swinub,
Piloswine,Swinub,
Corsola,Corsola,
Remoraid,Remoraid,
Octillery,Remoraid,
Delibird,Delibird,
Mantine,Mantine,
Skarmory,Skarmory
Houndour,Houndour,
Houndoom,Houndour,
Kingdra,Horsea,
Phanpy,Phanpy,
Donphan,Phanpy,
Porygon2,Porygon,
Stantler,Stantler,
Smeargle,Smeargle,
Hitmontop,Tyrogue,
Miltank,Miltank,
Blissey,Chansey,
Larvitar,Larvitar,
Pupitar,Larvitar,
Tyranitar,Larvitar,
Treecko,Treecko,
Grovyle,Treecko,
Sceptile,Treecko,
Torchic,Torchic,
Combusken,Torchic,
Blaziken,Torchic,
Mudkip,Mudkip,
Marshtomp,Mudkip,
Swampert,Mudkip,
Poochyena,Poochyena,
Mightyena,Poochyena,
Zigzagoon,Zigzagoon,
Linoone,Zigzagoon,
Wurmple,Wurmple,
Silcoon,Wurmple,
Beautifly,Wurmple,
Cascoon,Wurmple,
Dustox,Wurmple,
Lotad,Lotad,
Lombre,Lotad,
Ludicolo,Lotad,
Seedot,Seedot,
Nuzleaf,Seedot,
Shiftry,Seedot,
Taillow,Taillow,
Swellow,Taillow,
Wingull,Wingull,
Pelipper,Wingull,
Ralts,Ralts,
Kirlia,Ralts,
Gardevoir,Ralts,
Surskit,Surskit,
Masquerain,Surskit,
Shroomish,Shroomish,
Breloom,Shroomish,
Slakoth,Slakoth,
Vigoroth,Slakoth,
Slaking,Slakoth,
Nincada,Nincada,
Ninjask,Nincada,
Shedinja,Nincada,
Whismur,Whismur,
Loudred,Whismur,
Exploud,Whismur,
Makuhita,Makuhita,
Hariyama,Makuhita,
Nosepass,Nosepass,
Skitty,Skitty,
Delcatty,Skitty,
Sableye,Sableye,
Mawile,Mawile,
Aron,Aron,
Lairon,Aron,
Aggron,Aron,
Meditite,Meditite,
Medicham,Meditite,
Electrike,Electrike,
Manectric,Electrike,
Plusle,Plusle,
Minun,Minun,
Volbeat,Volbeat,
Illumise,Volbeat,
Illumise,Illumise,
Roselia,Roselia,
Gulpin,Gulpin,
Swalot,Gulpin,
Carvanha,Carvanha,
Sharpedo,Carvanha,
Wailmer,Wailmer,
Wailord,Wailmer,
Numel,Numel,
Camerupt,Numel,
Torkoal,Torkoal,
Spoink,Spoink,
Grumpig,Spoink,
Spinda,Spinda,
Trapinch,Trapinch,
Vibrava,Trapinch,
Flygon,Trapinch,
Cacnea,Cacnea,
Cacturne,Cacnea,
Swablu,Swablu,
Altaria,Swablu,
Zangoose,Zangoose,
Seviper,Seviper,
Lunatone,Lunatone,
Solrock,Solrock,
Barboach,Barboach,
Whiscash,Barboach,
Corphish,Corphish,
Crawdaunt,Corphish,
Baltoy,Baltoy,
Claydol,Baltoy,
Lileep,Lileep,
Cradily,Lileep,
Anorith,Anorith,
Armaldo,Anorith,
Feebas,Feebas,
Milotic,Feebas,
Castform,Castform,
Kecleon,Kecleon,
Shuppet,Shuppet,
Banette,Shuppet,
Duskull,Duskull,
Dusclops,Duskull,
Tropius,Tropius,
Chimecho,Chimecho,
Absol,Absol,
Snorunt,Snorunt,
Glalie,Snorunt,
Spheal,Spheal,
Sealeo,Spheal,
Walrein,Spheal,
Clamperl,Clamperl,
Huntail,Clamperl,
Gorebyss,Clamperl,
Relicanth,Relicanth,
Luvdisc,Luvdisc,
Bagon,Bagon,
Shelgon,Bagon,
Salamence,Bagon,
Beldum,Beldum,
Metang,Beldum,
Metagross,Beldum,
