GAME,IDX,SPECIES,FORM,GENDER,DEX_HOENN
ALL,201,Unown,C,UNKNOWN,
ALL,201,Unown,D,UNKNOWN,
ALL,201,Unown,E,UNKNOWN,
ALL,201,Unown,F,UNKNOWN,
ALL,201,Unown,G,UNKNOWN,
ALL,201,Unown,H,UNKNOWN,
ALL,201,Unown,I,UNKNOWN,
ALL,201,Unown,J,UNKNOWN,
ALL,201,Unown,K,UNKNOWN,
ALL,201,Unown,L,UNKNOWN,
ALL,201,Unown,M,UNKNOWN,
ALL,201,Unown,N,UNKNOWN,
ALL,201,Unown,O,UNKNOWN,
ALL,201,Unown,P,UNKNOWN,
ALL,201,Unown,Q,UNKNOWN,
ALL,201,Unown,R,UNKNOWN,
ALL,201,Unown,S,UNKNOWN,
ALL,201,Unown,T,UNKNOWN,
ALL,201,Unown,U,UNKNOWN,
ALL,201,Unown,V,UNKNOWN,
ALL,201,Unown,W,UNKNOWN,
ALL,201,Unown,X,UNKNOWN,
ALL,201,Unown,Y,UNKNOWN,
ALL,201,Unown,Z,UNKNOWN,
ALL,201,Unown,!,UNKNOWN,
ALL,201,Unown,?,UNKNOWN,
ALL,202,Wobbuffet,,,True
ALL,203,Girafarig,,,True
ALL,204,Pineco,,,
ALL,205,Forretress,,,
ALL,206,Dunsparce,,,
ALL,207,Gligar,,,
ALL,208,Steelix,,,
ALL,209,Snubbull,,,
ALL,210,Granbull,,,
ALL,211,Qwilfish,,,
ALL,212,Scizor,,,
ALL,213,Shuckle,,,
ALL,214,Heracross,,,True
ALL,215,Sneasel,,,
ALL,216,Teddiursa,,,
ALL,217,Ursaring,,,
ALL,218,Slugma,,,True
ALL,219,Magcargo,,,True
ALL,220,Swinub,,,
ALL,221,Piloswine,,,
ALL,222,Corsola,,,True
ALL,223,Remoraid,,,
ALL,224,Octillery,,,
ALL,225,Delibird,,,
ALL,226,Mantine,,,
ALL,227,Skarmory,,,True
ALL,228,Houndour,,,
ALL,229,Houndoom,,,
ALL,230,Kingdra,,,True
ALL,231,Phanpy,,,True
ALL,232,Donphan,,,True
ALL,233,Porygon2,,UNKNOWN,
ALL,234,Stantler,,,
ALL,235,Smeargle,,,
ALL,236,Tyrogue,,MALE,
ALL,237,Hitmontop,,MALE,
ALL,238,Smoochum,,FEMALE,
ALL,239,Elekid,,,
ALL,240,Magby,,,
ALL,241,Miltank,,FEMALE,
ALL,242,Blissey,,FEMALE,
ALL,243,Raikou,,UNKNOWN,
ALL,244,Entei,,UNKNOWN,
ALL,245,Suicune,,UNKNOWN,
ALL,246,Larvitar,,,
ALL,247,Pupitar,,,
ALL,248,Tyranitar,,,
ALL,249,Lugia,,UNKNOWN,
ALL,250,Ho-Oh,,UNKNOWN,
ALL,251,Celebi,,UNKNOWN,
ALL,252,Treecko,,,True
ALL,253,Grovyle,,,True
ALL,254,Sceptile,,,True
ALL,255,Torchic,,,True
ALL,256,Combusken,,,True
ALL,257,Blaziken,,,True
ALL,258,Mudkip,,,True
ALL,259,Marshtomp,,,True
ALL,260,Swampert,,,True
ALL,261,Poochyena,,,True
ALL,262,Mightyena,,,True
ALL,263,Zigzagoon,,,True
ALL,264,Linoone,,,True
ALL,265,Wurmple,,,True
ALL,266,Silcoon,,,True
ALL,267,Beautifly,,,True
ALL,268,Cascoon,,,True
ALL,269,Dustox,,,True
ALL,270,Lotad,,,True
ALL,271,Lombre,,,True
ALL,272,Ludicolo,,,True
ALL,273,Seedot,,,True
ALL,274,Nuzleaf,,,True
ALL,275,Shiftry,,,True
ALL,276,Taillow,,,True
ALL,277,Swellow,,,True
ALL,278,Wingull,,,True
ALL,279,Pelipper,,,True
ALL,280,Ralts,,,True
ALL,281,Kirlia,,,True
ALL,282,Gardevoir,,,True
ALL,283,Surskit,,,True
ALL,284,Masquerain,,,True
ALL,285,Shroomish,,,True
ALL,286,Breloom,,,True
ALL,287,Slakoth,,,True
ALL,288,Vigoroth,,,True
ALL,289,Slaking,,,True
ALL,290,Nincada,,,True
ALL,291,Ninjask,,,True
ALL,292,Shedinja,,UNKNOWN,True
ALL,293,Whismur,,,True
ALL,294,Loudred,,,True
ALL,295,Exploud,,,True
ALL,296,Makuhita,,,True
ALL,297,Hariyama,,,True
ALL,298,Azurill,,,True
ALL,299,Nosepass,,,True
ALL,300,Skitty,,,True
ALL,301,Delcatty,,,True
ALL,302,Sableye,,,True
ALL,303,Mawile,,,True
ALL,304,Aron,,,True
ALL,305,Lairon,,,True
ALL,306,Aggron,,,True
ALL,307,Meditite,,,True
ALL,308,Medicham,,,True
ALL,309,Electrike,,,True
ALL,310,Manectric,,,True
ALL,311,Plusle,,,True
ALL,312,Minun,,,True
ALL,313,Volbeat,,MALE,True
ALL,314,Illumise,,FEMALE,True
ALL,315,Roselia,,,True
ALL,316,Gulpin,,,True
ALL,317,Swalot,,,True
ALL,318,Carvanha,,,True
ALL,319,Sharpedo,,,True
ALL,320,Wailmer,,,True
ALL,321,Wailord,,,True
ALL,322,Numel,,,True
ALL,323,Camerupt,,,True
ALL,324,Torkoal,,,True
ALL,325,Spoink,,,True
ALL,326,Grumpig,,,True
ALL,327,Spinda,,,True
ALL,328,Trapinch,,,True
ALL,329,Vibrava,,,True
ALL,330,Flygon,,,True
ALL,331,Cacnea,,,True
ALL,332,Cacturne,,,True
ALL,333,Swablu,,,True
ALL,334,Altaria,,,True
ALL,335,Zangoose,,,True
ALL,336,Seviper,,,True
ALL,337,Lunatone,,UNKNOWN,True
ALL,338,Solrock,,UNKNOWN,True
ALL,339,Barboach,,,True
ALL,340,Whiscash,,,True
ALL,341,Corphish,,,True
ALL,342,Crawdaunt,,,True
ALL,343,Baltoy,,UNKNOWN,True
ALL,344,Claydol,,UNKNOWN,True
ALL,345,Lileep,,,True
ALL,346,Cradily,,,True
ALL,347,Anorith,,,True
ALL,348,Armaldo,,,True
ALL,349,Feebas,,,True
ALL,350,Milotic,,,True
ALL,351,Castform,,,True
ALL,351,Castform,Sunny,,True
ALL,351,Castform,Rainy,,True
ALL,351,Castform,Snowy,,True
ALL,352,Kecleon,,,True
ALL,353,Shuppet,,,True
ALL,354,Banette,,,True
ALL,355,Duskull,,,True
ALL,356,Dusclops,,,True
ALL,357,Tropius,,,True
ALL,358,Chimecho,,,True
ALL,359,Absol,,,True
ALL,360,Wynaut,,,True
ALL,361,Snorunt,,,True
ALL,362,Glalie,,,True
ALL,363,Spheal,,,True
ALL,364,Sealeo,,,True
ALL,365,Walrein,,,True
ALL,366,Clamperl,,,True
ALL,367,Huntail,,,True
ALL,368,Gorebyss,,,True
ALL,369,Relicanth,,,True
ALL,370,Luvdisc,,,True
ALL,371,Bagon,,,True
ALL,372,Shelgon,,,True
ALL,373,Salamence,,,True
ALL,374,Beldum,,UNKNOWN,True
ALL,375,Metang,,UNKNOWN,True
ALL,376,Metagross,,UNKNOWN,True
ALL,377,Regirock,,UNKNOWN,True
ALL,378,Regice,,UNKNOWN,True
ALL,379,Registeel,,UNKNOWN,True
ALL,380,Latias,,FEMALE,True
ALL,381,Latios,,MALE,True
ALL,382,Kyogre,,UNKNOWN,True
ALL,383,Groudon,,UNKNOWN,True
ALL,384,Rayquaza,,UNKNOWN,True
ALL,385,Jirachi,,UNKNOWN,
"RUBY,SAPPHIRE,COLOSSEUM,XD,BOX",386,Deoxys,,UNKNOWN,
FIRERED,386,Deoxys,Attack,UNKNOWN,
LEAFGREEN,386,Deoxys,Defense,UNKNOWN,
EMERALD,386,Deoxys,Speed,UNKNOWN,
