SPECIES,X,Y,OMEGARUBY,ALPHASAPPHIRE
Cascoon,inf[$FS_Cascoon],inf[$FS_Cascoon],inf,inf
Lotad,,,,inf
Lombre,inf,inf,,inf
Seedot,,,inf,
Nuzleaf,inf[$FS_Nuzleaf],inf[$FS_Nuzleaf],inf,
Taillow,inf,inf,inf,inf
Wingull,inf,inf,inf,inf
Pelipper,,,inf,inf
Ralts,inf,inf,inf,inf
Kirlia,inf[$FS_Kirlia],inf[$FS_Kirlia],,
Surskit,,,inf,inf
Masquerain,inf,inf,inf,inf
Shroomish,,,inf,inf
Breloom,inf[$FS_Breloom],inf[$FS_Breloom],,
Slakoth,,,inf,inf
Nincada,inf,inf,inf,inf
Whismur,inf,inf,inf,inf
Loudred,inf[$FS_Loudred],inf[$FS_Loudred],inf,inf
Makuhita,,,inf,inf
Hariyama,inf,inf,inf,inf
Azurill,inf,inf,,
Nosepass,inf,inf,inf,inf
Skitty,inf,inf,inf,inf
Sableye,inf,inf,,inf
Mawile,inf,inf,inf,
Aron,inf,,inf,inf
Lairon,inf,,inf,inf
Meditite,inf,inf,inf,inf
Medicham,,,inf,inf
Electrike,,inf,inf,inf
Manectric,inf[$FS_Manectric],inf[$FS_Manectric],,
Plusle,inf,inf,inf,inf
Minun,inf,inf,inf,inf
Volbeat,inf,inf,inf,inf
Illumise,inf,inf,inf,inf
Roselia,inf,inf,inf,inf
Gulpin,inf,inf,inf,inf
Swalot,inf[$FS_Swalot],inf[$FS_Swalot],,
Carvanha,inf,inf,inf,inf
Sharpedo,inf,inf,inf,inf
Wailmer,inf,inf,inf,inf
Numel,,,inf,inf
Camerupt,inf[$FS_Camerupt],inf[$FS_Camerupt],,
Torkoal,inf,inf,inf,inf
Spoink,inf,inf,inf,inf
Grumpig,inf[$FS_Grumpig],inf[$FS_Grumpig],,
Spinda,inf,inf,inf,inf
Trapinch,inf,inf,inf,inf
Cacnea,,,inf,inf
Cacturne,inf[$FS_Cacturne],inf[$FS_Cacturne],,
Swablu,inf,inf,inf,inf
Altaria,inf,inf,,
Zangoose,inf,inf,inf,
Seviper,inf,inf,,inf
Lunatone,inf,inf,,inf
Solrock,inf,inf,inf,
Barboach,inf,inf,inf,inf
Whiscash,inf,inf,inf,inf
Corphish,inf,inf,inf,inf
Crawdaunt,inf,inf,inf,inf
Baltoy,,,inf,inf
Claydol,,,inf,inf
Feebas,,,inf,inf
Kecleon,inf,inf,inf,inf
Shuppet,inf[$FS_Shuppet],inf[$FS_Shuppet],inf,inf
Banette,inf,inf,,
Duskull,,,inf,inf
Dusclops,inf[$FS_Dusclops],inf[$FS_Dusclops],,
Tropius,inf[$FS_Tropius],inf[$FS_Tropius],inf,inf
Chimecho,,,inf,inf
Absol,inf,inf,inf,inf
Snorunt,inf[$FS_Snorunt],inf[$FS_Snorunt],inf,inf
Spheal,inf[$FS_Spheal],inf[$FS_Spheal],inf,inf
Sealeo,,,inf,inf
Clamperl,inf,inf,inf,inf
Huntail,inf,,,
Gorebyss,,inf,,
Relicanth,inf,inf,inf,inf
Luvdisc,inf,inf,inf,inf
Bagon,inf,inf,inf,inf
Shelgon,inf[$FS_Shelgon],inf[$FS_Shelgon],,
Metang,inf[$FS_Metang],inf[$FS_Metang],,
Regirock,,,"1[Wailord,Relicanth]","1[Wailord,Relicanth]"
Regice,,,"1[Wailord,Relicanth]","1[Wailord,Relicanth]"
Registeel,,,"1[Wailord,Relicanth]","1[Wailord,Relicanth]"
Latias,,,1[Eon Ticket],
Latios,,,,1[Eon Ticket]
Kyogre,,,,1
Groudon,,,1,
Rayquaza,,,1,1
Deoxys,,,1,1
Starly,inf,inf,,
Staravia,inf,inf,,
Bidoof,inf,inf,,
Bibarel,inf,inf,,
Kricketune,,,inf,inf
Luxio,inf[$FS_Luxio],inf[$FS_Luxio],inf,inf
Budew,inf,inf,,
Burmy,inf,inf,,
Combee,inf,inf,,
Pachirisu,inf,inf,,
Floatzel,inf,inf,,
Cherrim,,,inf,inf
Shellos_WEST,,,inf,
Shellos_EAST,,,,inf
Gastrodon_WEST,inf[$FS_Gastrodon_WEST],inf[$FS_Gastrodon_WEST],,
Drifloon,inf,inf,inf,inf
Drifblim,inf[$FS_Drifblim],inf[$FS_Drifblim],,
Buneary,,,inf,inf
Glameow,,,inf,inf
Purugly,,,inf,inf
Chingling,inf,inf,,
Stunky,inf,inf,,
Bronzor,,,inf,inf
Bronzong,inf[$FS_Bronzong],inf[$FS_Bronzong],,
Mime Jr.,inf,inf,,
Happiny,,,inf,inf
Chatot,inf,inf,inf,inf
Spiritomb,inf[$FS_Spiritomb],inf[$FS_Spiritomb],1,1
Gible,inf,inf,inf,inf
Gabite,inf[$FS_Gabite],inf[$FS_Gabite],,
Garchomp,,,
Riolu,inf,inf,,
Hippopotas,inf,inf,,
Skorupi,inf,inf,inf,inf
Drapion,inf,inf,,
Croagunk,inf,inf,,
Toxicroak,inf[$FS_Toxicroak],inf[$FS_Toxicroak],,
Carnivine,inf,inf,,
Finneon,,,inf,inf
Mantyke,inf,inf,inf,inf
Snover,inf,inf,,
Abomasnow,inf,inf,,
Rotom,inf,inf,,
Uxie,,,1,1
Mesprit,,,1,1
Azelf,,,1,1
Dialga,,,,"1[Uxie,Mesprit,Azelf]"
Palkia,,,"1[Uxie,Mesprit,Azelf]",
Heatran,,,1,1
Regigigas,,,"1[Regirock,Regice,Registeel]","1[Regirock,Regice,Registeel]"
Giratina,,,"1[Dialga,Palkia]","1[Dialga,Palkia]"
Cresselia,,,1,1
Watchog,inf,inf,,
Lillipup,inf[$FS_Lillipup],inf[$FS_Lillipup],inf,inf
Liepard,inf[$FS_Liepard],inf,,
Pansage,inf,inf,,
Pansear,inf,inf,,
Panpour,inf,inf,,
Munna,inf[$FS_Munna],inf[$FS_Munna],inf,inf
Pidove,,,inf,inf
Tranquill,inf[$FS_Tranquill],inf[$FS_Tranquill],,
Zebstrika,inf[$FS_Zebstrika],inf[$FS_Zebstrika],inf,inf
Roggenrola,inf,inf,inf,inf
Boldore,inf[$FS_Boldore],inf[$FS_Boldore],inf,inf
Woobat,inf,inf,,
Excadrill,inf[$FS_Excadrill],inf[$FS_Excadrill],inf,inf
Audino,inf,inf,inf,inf
Timburr,,,inf,inf
Gurdurr,inf,inf,,
Tympole,,,inf,inf
Palpitoad,inf[$FS_Palpitoad],inf[$FS_Palpitoad],,
Throh,inf[$FS_Throh],inf,inf,
Sawk,inf,inf[$FS_Sawk],,inf
Sewaddle,,,inf,inf
Swadloon,inf[$FS_Swadloon],inf[$FS_Swadloon],,
Venipede,inf,inf,,
Whirlipede,inf[$FS_Whirlipede],inf[$FS_Whirlipede],,
Cottonee,,,inf,inf
Petilil,inf[$FS_Petilil],inf[$FS_Petilil],inf,inf
Basculin_BLUE,inf,inf,,
Sandile,inf,inf,inf,inf
Darmanitan,,,inf,inf
Maractus,inf[$FS_Maractus],inf[$FS_Maractus],inf,inf
Dwebble,inf,inf,inf,inf
Crustle,,,inf,inf
Scraggy,inf,inf,inf,inf
Sigilyph,inf,inf,,
Cofagrigus,,,inf,inf
Trubbish,inf,inf,inf,inf
Garbodor,inf,inf,,
Zorua,,,inf,inf
Zoroark,inf,inf,,
Minccino,inf[$FS_Minccino],inf[$FS_Minccino],inf,inf
Gothita,,,inf,inf
Gothorita,inf,inf,,
Solosis,inf,inf,,
Duosion,inf[$FS_Duosion],inf[$FS_Duosion],,
Ducklett,inf,inf,,
Swanna,inf[$FS_Swanna],inf[$FS_Swanna],,
Vanillite,inf,inf,,
Deerling,,,inf,inf
Sawsbuck,inf[$FS_Sawsbuck],inf[$FS_Sawsbuck],,
Emolga,inf,inf,,
Karrablast,inf,inf,,
Foongus,inf,inf,,
Amoonguss,inf,inf,,
Frillish,,,inf,inf
Alomomola,inf,inf,inf,inf
Joltik,,,inf,inf
Galvantula,inf[$FS_Galvantula],inf[$FS_Galvantula],,
Ferroseed,inf,inf,,
Klink,,,inf,inf
Klang,inf[$FS_Klang],inf[$FS_Klang],,
Tynamo,,,inf,inf
Elgyem,,,inf,inf
Litwick,inf,inf,,
Lampent,inf[$FS_Lampent],inf[$FS_Lampent],,
Axew,inf,inf,inf,inf
Fraxure,inf[$FS_Fraxure],inf[$FS_Fraxure],,
Cubchoo,inf,inf,inf,inf
Beartic,inf,inf,,
Cryogonal,inf,inf,,
Shelmet,inf,inf,,
Stunfisk,inf,inf,,
Mienfoo,inf,inf,,
Druddigon,inf,inf,inf,inf
Golett,inf,inf,,
Golurk,inf[$FS_Golurk],inf[$FS_Golurk],,
Pawniard,inf,inf,,
Bouffalant,,,inf,inf
Rufflet,inf[$FS_Rufflet],inf[$FS_Rufflet],inf,inf
Braviary,,,inf,inf
Vullaby,inf[$FS_Vullaby],inf[$FS_Vullaby],inf,inf
Heatmor,inf,inf,,
Durant,inf,inf,,
Deino,,,inf,inf
Zweilous,inf,inf,,
Hydreigon,inf,inf,,
Larvesta,inf[$FS_Larvesta],inf[$FS_Larvesta],inf,inf
Cobalion,,,1,1
Terrakion,,,1,1
Virizion,,,1,1
Tornadus,,,1[Castform],
Thundurus,,,,1[Castform]
Reshiram,,,1,
Zekrom,,,,1
Landorus,,,"1[Tornadus,Thundurus]","1[Tornadus,Thundurus]"
Kyurem,,,"1[Reshiram,Zekrom]","1[Reshiram,Zekrom]"
Quilladin,inf[$FS_Quilladin],inf[$FS_Quilladin],,
Braixen,inf[$FS_Braixen],inf[$FS_Braixen],,
Frogadier,inf[$FS_Frogadier],inf[$FS_Frogadier],,
Bunnelby,inf,inf,,
Diggersby,inf,inf,,
Fletchling,inf,inf,,
Fletchinder,inf[$FS_Fletchinder],inf[$FS_Fletchinder],,
Scatterbug,inf,inf,,
Spewpa,inf,inf,,
Vivillon,inf[$FS_Vivillon],inf[$FS_Vivillon],,
Litleo,inf,inf,,
Pyroar,inf[$FS_Pyroar],inf[$FS_Pyroar],,
Flabébé_RED,inf,inf,,
Flabébé_YELLOW,inf,inf,,
Flabébé_ORANGE,inf,inf,,
Flabébé_BLUE,inf,inf,,
Flabébé_WHITE,inf,inf,,
Floette_RED,inf[$FS_Floette_RED],inf[$FS_Floette_RED],,
Floette_YELLOW,inf[$FS_Floette_YELLOW],inf[$FS_Floette_YELLOW],,
Floette_BLUE,inf[$FS_FAIRY_BLUE],inf[$FS_Floette_BLUE],,
Skiddo,inf,inf,,
Gogoat,inf[$FS_Gogoat],inf[$FS_Gogoat],,
Pancham,inf,inf,,
Furfrou,inf,inf,,
Espurr,inf,inf,,
Honedge,inf,inf,,
Spritzee,inf[$FS_Spritzee],inf,,
Swirlix,inf,inf[$FS_Swirlix],,
Inkay,inf,inf,,
Binacle,inf,inf,inf,inf
Barbaracle,inf[$FS_Bararacle],inf[$FS_Barbaracle],,
Skrelp,,inf,inf,
Dragalge,,inf,,
Clauncher,inf,,,inf
Clawitzer,inf,,,
Helioptile,inf,inf,,
Hawlucha,inf,inf,,
Dedenne,inf,inf,,
Carbink,inf,inf,,
Goomy,inf,inf,,
Sliggoo,inf,inf,,
Klefki,inf,inf,inf,inf
Phantump,inf,inf,inf,inf
Trevenant,inf,inf,,
Pumpkaboo_SMALL,inf,inf,,
Pumpkaboo_AVERAGE,inf,inf,,
Pumpkaboo_LARGE,inf,inf,,
Pumpkaboo_SUPER,inf,inf,,
Bergmite,inf,inf,,
Noibat,inf,inf,,
Xerneas,1,,,
Yveltal,,1,,
Zygarde,1,1,,
Armor Fossil,inf,inf,inf,
Claw Fossil,inf,,,
Cover Fossil,inf,inf,,inf
Dawn Stone,1,1,1,1
Deep Sea Scale,1,1,inf,inf
Deep Sea Tooth,1,1,inf,inf
Dome Fossil,,inf,inf,
Dragon Scale,1,1,1,1
Dusk Stone,2,2,,
Everstone,,,1,1
Fire Stone,inf,inf,1,1
Helix Fossil,,inf,,inf
Lax Incense,,1,1
Leaf Stone,inf,inf,1,1
Metal Coat,1,1,1,1
Moon Stone,2,2,1,1
Old Amber,inf,inf,inf,inf
Oval Stone,inf,inf,,
Plume Fossil,inf,inf,inf,
Prism Scale,inf,inf,,
Protector,1,1,,
Razor Claw,,,inf,inf
Razor Fang,,,inf,inf
Reaper Cloth,1,1,,
Root Fossil,inf,,,
Sachet,1,1,,
Sea Incense,,,1,1
Shiny Stone,1,1,1,1
Skull Fossil,inf,inf,,inf
Sun Stone,2,2,,
Thunder Stone,2,2,1,1
Water Stone,2,2,,
Whipped Dream,1,1,,
