PARENT,CHILD,ITEM
Ponyta,Ponyta,
Rapidash,Ponyta,
Slowpoke,Slowpoke,
Slowbro,Slowpoke,
Magnemite,Magnemite,
Magneton,Magnemite,
Farfetch'd,Farfetch'd,
Doduo,Doduo,
Dodrio,Doduo,
Seel,Seel,
Dewgong,Seel,
Grimer,Grimer,
Muk,Grimer,
Shellder,Shellder,
Cloyster,Shellder,
Gastly,Gastly,
Haunter,Gastly,
Gengar,Gastly,
Onix,Onix,
Drowzee,Drowzee,
Hypno,Drowzee,
Krabby,Krabby,
Kingler,Krabby,
Voltorb,Voltorb,
Electrode,Voltorb,
Exeggcute,Exeggcute,
Exeggutor,Exeggcute,
Cubone,Cubone,
Marowak,Cubone,
Hitmonlee,Tyrogue,
Hitmonchan,Tyrogue,
Lickitung,Lickitung,
Koffing,Koffing,
Weezing,Koffing,
Rhyhorn,Rhyhorn,
Rhydon,Rhyhorn,
Chansey,Chansey,
Chansey,Happiny,Luck Incense
Tangela,Tangela,
Kangaskhan,Kangaskhan,
Horsea,Horsea,
Seadra,Horsea,
Goldeen,Goldeen,
Seaking,Goldeen,
Staryu,Staryu,
Starmie,Staryu,
Mr. Mime,Mr. Mime,
Mr. Mime,Mime Jr.,Odd Incense
Scyther,Scyther,
Jynx,Smoochum,
Electabuzz,Elekid,
Magmar,Magby,
Pinsir,Pinsir,
Tauros,Tauros,
Magikarp,Magikarp
Gyarados,Magikarp,
Lapras,Lapras,
Eevee,Eevee,
Vaporeon,Eevee,
Jolteon,Eevee,
Flareon,Eevee,
Porygon,Porygon,
Omanyte,Omanyte,
Omastar,Omanyte,
Kabuto,Kabuto,
Kabutops,Kabuto,
Aerodactyl,Aerodactyl,
Snorlax,Snorlax,
Snorlax,Munchlax,Full Incense
Dratini,Dratini,
Dragonair,Dratini,
Dragonite,Dratini,
Chikorita,Chikorita,
Bayleef,Chikorita,
Meganium,Chikorita,
Cyndaquil,Cyndaquil,
Quilava,Cyndaquil,
Typhlosion,Cyndaquil,
Totodile,Totodile,
Croconaw,Totodile,
Feraligatr,Totodile,
Sentret,Sentret,
Furret,Sentret,
Hoothoot,Hoothoot,
Noctowl,Hoothoot,
Ledyba,Ledyba,
Ledian,Ledyba,
Spinarak,Spinarak,
Ariados,Spinarak,
Crobat,Zubat,
Chinchou,Chinchou,
Lanturn,Chinchou,
Togetic,Togepi,
Natu,Natu,
Xatu,Natu,
Mareep,Mareep,
Flaaffy,Mareep,
Ampharos,Mareep,
Bellossom,Oddish,
Marill,Marill,
Marill,Azurill,Sea Incense
Azumarill,Marill,
Azumarill,Azurill,Sea Incense
Sudowoodo,Sudowoodo,
Sudowoodo,Bonsly,Rock Incense
Politoed,Poliwag,
Hoppip,Hoppip,
Skiploom,Hoppip,
Jumpluff,Hoppip,
Aipom,Aipom,
Sunkern,Sunkern,
Sunflora,Sunkern,
Yanma,Yanma,
Wooper,Wooper,
Quagsire,Wooper,
Espeon,Eevee,
Umbreon,Eevee,
Murkrow,Murkrow,
Slowking,Slowpoke,
Misdreavus,Misdreavus,
Wobbuffet,Wobbuffet,
Wobbuffet,Wynaut,Lax Incense
Girafarig,Girafarig,
Pineco,Pineco,
Forretress,Pineco,
Dunsparce,Dunsparce,
Gligar,Gligar,
Steelix,Onix,
Snubbull,Snubbull,
Granbull,Snubbull,
Qwilfish,Qwilfish,
Scizor,Scyther,
Shuckle,Shuckle,
Heracross,Heracross,
Sneasel,Sneasel,
Teddiursa,Teddiursa,
Ursaring,Teddiursa,
Slugma,Slugma,
Magcargo,Slugma,
Swinub,Swinub,
Piloswine,Swinub,
Corsola,Corsola,
Remoraid,Remoraid,
Octillery,Remoraid,
Delibird,Delibird,
Mantine,Mantine,
Mantine,Mantyke,Wave Incense
Skarmory,Skarmory,
Houndour,Houndour,
Houndoom,Houndour,
Kingdra,Horsea,
Phanpy,Phanpy,
Donphan,Phanpy,
Porygon2,Porygon,
Stantler,Stantler,
Smeargle,Smeargle,
Hitmontop,Tyrogue,
Miltank,Miltank,
Blissey,Chansey,
Blissey,Happiny,Luck Incense
Larvitar,Larvitar,
Pupitar,Larvitar,
Tyranitar,Larvitar,
Treecko,Treecko,
Grovyle,Treecko,
Sceptile,Treecko,
Torchic,Torchic,
Combusken,Torchic,
Blaziken,Torchic,
Mudkip,Mudkip,
Marshtomp,Mudkip,
Swampert,Mudkip,
Poochyena,Poochyena,
Mightyena,Poochyena,
Zigzagoon,Zigzagoon,
Linoone,Zigzagoon,
Wurmple,Wurmple,
Silcoon,Wurmple,
Beautifly,Wurmple,
Cascoon,Wurmple,
Dustox,Wurmple,
Lotad,Lotad,
Lombre,Lotad,
Ludicolo,Lotad,
Seedot,Seedot,
Nuzleaf,Seedot,
Shiftry,Seedot,
Taillow,Taillow,
Swellow,Taillow,
Wingull,Wingull,
Pelipper,Wingull,
Ralts,Ralts,
Kirlia,Ralts,
Gardevoir,Ralts,
Surskit,Surskit,
Masquerain,Surskit,
Shroomish,Shroomish,
Breloom,Shroomish,
Slakoth,Slakoth,
Vigoroth,Slakoth,
Slaking,Slakoth,
Nincada,Nincada,
Ninjask,Nincada,
Shedinja,Nincada,
Whismur,Whismur,
Loudred,Whismur,
Exploud,Whismur,
Makuhita,Makuhita,
Hariyama,Makuhita,
Nosepass,Nosepass,
Skitty,Skitty,
Delcatty,Skitty,
Sableye,Sableye,
Mawile,Mawile,
Aron,Aron,
Lairon,Aron,
Aggron,Aron,
Meditite,Meditite,
Medicham,Meditite,
Electrike,Electrike,
Manectric,Electrike,
Plusle,Plusle,
Minun,Minun,
Volbeat,Volbeat,
Volbeat,Illumise,
Illumise,Volbeat,
Illumise,Illumise,
Roselia,Roselia,
Roselia,Budew,Rose Incense
Gulpin,Gulpin,
Swalot,Gulpin,
Carvanha,Carvanha,
Sharpedo,Carvanha,
Wailmer,Wailmer,
Wailord,Wailmer,
Numel,Numel,
Camerupt,Numel,
Torkoal,Torkoal,
Spoink,Spoink,
Grumpig,Spoink,
Spinda,Spinda,
Trapinch,Trapinch,
Vibrava,Trapinch,
Flygon,Trapinch,
Cacnea,Cacnea,
Cacturne,Cacnea,
Swablu,Swablu,
Altaria,Swablu,
Zangoose,Zangoose,
Seviper,Seviper,
Lunatone,Lunatone,
Solrock,Solrock,
Barboach,Barboach,
Whiscash,Barboach,
Corphish,Corphish,
Crawdaunt,Corphish,
Baltoy,Baltoy,
Claydol,Baltoy,
Lileep,Lileep,
Cradily,Lileep,
Anorith,Anorith,
Armaldo,Anorith,
Feebas,Feebas,
Milotic,Feebas,
Castform,Castform,
Kecleon,Kecleon,
Shuppet,Shuppet,
Banette,Shuppet,
Duskull,Duskull,
Dusclops,Duskull,
Tropius,Tropius,
Chimecho,Chimecho,
Chimecho,Chingling,Pure Incense
Absol,Absol,
Snorunt,Snorunt,
Glalie,Snorunt,
Spheal,Spheal,
Sealeo,Spheal,
Walrein,Spheal,
Clamperl,Clamperl,
Huntail,Clamperl,
Gorebyss,Clamperl,
Relicanth,Relicanth,
Luvdisc,Luvdisc,
Bagon,Bagon,
Shelgon,Bagon,
Salamence,Bagon,
Beldum,Beldum,
Metang,Beldum,
Metagross,Beldum,
Turtwig,Turtwig,
Grotle,Turtwig,
Torterra,Turtwig,
Chimchar,Chimchar,
Monferno,Chimchar,
Infernape,Chimchar,
Piplup,Piplup,
Prinplup,Piplup,
Empoleon,Piplup,
Starly,Starly,
Staravia,Starly,
Staraptor,Starly,
Bidoof,Bidoof,
Bibarel,Bidoof,
Kricketot,Kricketot,
Kricketune,Kricketot,
Shinx,Shinx,
Luxio,Shinx,
Luxray,Shinx,
Roserade,Roselia,
Roserade,Budew,Rose Incense
Cranidos,Cranidos,
Rampardos,Cranidos,
Shieldon,Shieldon,
Bastiodon,Shieldon,
Burmy_Plant Cloak,Burmy_Plant Cloak,
Burmy_Sandy Cloak,Burmy_Sandy Cloak,
Burmy_Trash Cloak,Burmy_Trash Cloak,
Wormadam_Plant Cloak,Burmy_Plant Cloak,
Wormadam_Sandy Cloak,Burmy_Sandy Cloak,
Wormadam_Trash Cloak,Burmy_Trash Cloak,
Mothim,Burmy_Plant Cloak,
Combee,Combee,
Vespiquen,Combee,
Pachirisu,Pachirisu,
Buizel,Buizel,
Floatzel,Buizel,
Cherubi,Cherubi,
Cherrim_Overcast,Cherubi,
Shellos_West Sea,Shellos_West Sea,
Shellos_East Sea,Shellos_East Sea,
Gastrodon_West Sea,Shellos_West Sea,
Gastrodon_East Sea,Shellos_East Sea,
Ambipom,Aipom,
Drifloon,Drifloon,
Drifblim,Drifloon,
Buneary,Buneary,
Lopunny,Buneary,
Mismagius,Misdreavus,
Honchkrow,Murkrow,
Glameow,Glameow,
Purugly,Glameow,
Stunky,Stunky,
Skuntank,Stunky,
Bronzor,Bronzor,
Bronzong,Bronzor,
Chatot,Chatot,
Spiritomb,Spiritomb,
Gible,Gible,
Gabite,Gible,
Garchomp,Gible,
Lucario,Riolu,
Hippopotas,Hippopotas,
Hippowdon,Hippopotas,
Skorupi,Skorupi,
Drapion,Skorupi,
Croagunk,Croagunk,
Toxicroak,Croagunk,
Carnivine,Carnivine,
Finneon,Finneon,
Lumineon,Finneon,
Snover,Snover,
Abomasnow,Snover,
Weavile,Sneasel,
Magnezone,Magneton,
Lickilicky,Lickitung,
Rhyperior,Rhyhorn,
Tangrowth,Tangela,
Electivire,Elekid,
Magmortar,Magby,
Togekiss,Togepi,
Yanmega,Yanma,
Leafeon,Eevee,
Glaceon,Eevee,
Gliscor,Gligar,
Mamoswine,Swinub,
Porygon-Z,Porygon,
Gallade,Ralts,
Probopass,Nosepass,
Dusknoir,Duskull,
Froslass,Snorunt,
Rotom,Rotom,
Rotom_Heat,Rotom,
Rotom_Wash,Rotom,
Rotom_Frost,Rotom,
Rotom_Fan,Rotom,
Rotom_Mow,Rotom,
Phione,Phione,
Manaphy,Phione,
Snivy,Snivy,
Servine,Snivy,
Serperior,Snivy,
Tepig,Tepig,
Pignite,Tepig,
Emboar,Tepig,
Oshawott,Oshawott,
Dewott,Oshawott,
Samurott,Oshawott,
Patrat,Patrat,
Watchog,Patrat,
Lillipup,Lillipup,
Herdier,Lillipup,
Stoutland,Lillipup,
Purrloin,Purrloin,
Liepard,Purrloin,
Pansage,Pansage,
Simisage,Pansage,
Pansear,Pansear,
Simisear,Pansear,
Panpour,Panpour,
Simipour,Panpour,
Munna,Munna,
Musharna,Munna,
Pidove,Pidove,
Tranquill,Pidove,
Unfezant,Pidove,
Blitzle,Blitzle,
Zebstrika,Blitzle,
Roggenrola,Roggenrola,
Boldore,Roggenrola,
Gigalith,Roggenrola,
Woobat,Woobat,
Swoobat,Woobat,
Drilbur,Drilbur,
Excadrill,Drilbur,
Audino,Audino,
Timburr,Timburr,
Gurdurr,Timburr,
Conkeldurr,Timburr,
Tympole,Tympole,
Palpitoad,Tympole,
Seismitoad,Tympole,
Throh,Throh,
Sawk,Sawk,
Sewaddle,Sewaddle,
Swadloon,Sewaddle,
Leavanny,Sewaddle,
Venipede,Venipede,
Whirlipede,Venipede,
Scolipede,Venipede,
Cottonee,Cottonee,
Whimsicott,Cottonee,
Petilil,Petilil,
Lilligant,Petilil,
Basculin_Red-Striped,Basculin_Red-Striped,
Basculin_Blue-Striped,Basculin_Blue-Striped,
Sandile,Sandile,
Krokorok,Sandile,
Krookodile,Sandile,
Darumaka,Darumaka,
Darumaka_ZENMODE,Darumaka_ZENMODE,
Darmanitan,Darumaka,
Darmanitan_ZENMODE,Darumaka_ZENMODE,
Maractus,Maractus,
Dwebble,Dwebble,
Crustle,Dwebble,
Scraggy,Scraggy,
Scrafty,Scraggy,
Sigilyph,Sigilyph,
Yamask,Yamask,
Cofagrigus,Yamask,
Tirtouga,Tirtouga,
Carracosta,Tirtouga,
Archen,Archen,
Archeops,Archen,
Trubbish,Trubbish,
Garbodor,Trubbish,
Zorua,Zorua,
Zoroark,Zorua,
Minccino,Minccino,
Cinccino,Minccino,
Gothita,Gothita,
Gothorita,Gothita,
Gothitelle,Gothita,
Solosis,Solosis,
Duosion,Solosis,
Reuniclus,Solosis,
Ducklett,Ducklett,
Swanna,Ducklett,
Vanillite,Vanillite,
Vanillish,Vanillite,
Vanilluxe,Vanillite,
Deerling_Spring,Deerling_Spring,
Deerling_Summer,Deerling_Summer,
Deerling_Autumn,Deerling_Autumn,
Deerling_Winter,Deerling_Winter,
Sawsbuck_Spring,Deerling_Spring,
Sawsbuck_Summer,Deerling_Summer,
Sawsbuck_Autumn,Deerling_Autumn,
Sawsbuck_Winter,Deerling_Winter,
Emolga,Emolga,
Karrablast,Karrablast,
Escavalier,Karrablast,
Foongus,Foongus,
Amoonguss,Foongus,
Frillish,Frillish,
Jellicent,Frillish,
Alomomola,Alomomola,
Joltik,Joltik,
Galvantula,Joltik,
Ferroseed,Ferroseed,
Ferrothorn,Ferroseed,
Klink,Klink,
Klang,Klink,
Klinklang,Klink,
Tynamo,Tynamo,
Eelektrik,Tynamo,
Eelektross,Tynamo,
Elgyem,Elgyem,
Beheeyem,Elgyem,
Litwick,Litwick,
Lampent,Litwick,
Chandelure,Litwick,
Axew,Axew,
Fraxure,Axew,
Haxorus,Axew,
Cubchoo,Cubchoo,
Beartic,Cubchoo,
Cryogonal,Cryogonal,
Shelmet,Shelmet,
Accelgor,Shelmet,
Stunfisk,Stunfisk,
Mienfoo,Mienfoo,
Mienshao,Mienfoo,
Druddigon,Druddigon,
Golett,Golett,
Golurk,Golett,
Pawniard,Pawniard,
Bisharp,Pawniard,
Bouffalant,Bouffalant,
Rufflet,Rufflet,
Braviary,Rufflet,
Vullaby,Vullaby,
Mandibuzz,Vullaby,
Heatmor,Heatmor,
Durant,Durant,
Deino,Deino,
Zweilous,Deino,
Hydreigon,Deino,
Larvesta,Larvesta,
Volcarona,Larvesta,
Chespin,Chespin,
Quilladin,Chespin,
Chesnaught,Chespin,
Fennekin,Fennekin,
Braixen,Fennekin,
Delphox,Fennekin,
Froakie,Froakie,
Frogadier,Froakie,
Greninja,Froakie,
Bunnelby,Bunnelby,
Diggersby,Bunnelby,
Fletchling,Fletchling,
Fletchinder,Fletchling,
Talonflame,Fletchling,
Scatterbug_Archipelago,Scatterbug_Archipelago,$LOC_ARCHIPELAGO
Scatterbug_Archipelago,Scatterbug_Continental,$LOC_CONTINENTAL
Scatterbug_Archipelago,Scatterbug_Elegant,$LOC_ELEGANT
Scatterbug_Archipelago,Scatterbug_Garden,$LOC_GARDEN
Scatterbug_Archipelago,Scatterbug_High Plains,$LOC_HIGHPLAINS
Scatterbug_Archipelago,Scatterbug_Icy Snow,$LOC_ICYSNOW
Scatterbug_Archipelago,Scatterbug_Jungle,$LOC_JUNGLE
Scatterbug_Archipelago,Scatterbug_Marine,$LOC_MARINE
Scatterbug_Archipelago,Scatterbug_Meadow,$LOC_MEADOW
Scatterbug_Archipelago,Scatterbug_Modern,$LOC_MODERN
Scatterbug_Archipelago,Scatterbug_Monsoon,$LOC_MONSOON
Scatterbug_Archipelago,Scatterbug_Ocean,$LOC_OCEAN
Scatterbug_Archipelago,Scatterbug_Polar,$LOC_POLAR
Scatterbug_Archipelago,Scatterbug_River,$LOC_RIVER
Scatterbug_Archipelago,Scatterbug_Sandstorm,$LOC_SANDSTORM
Scatterbug_Archipelago,Scatterbug_Savanna,$LOC_SAVANNA
Scatterbug_Archipelago,Scatterbug_Sun,$LOC_SUN
Scatterbug_Archipelago,Scatterbug_Tundra,$LOC_TUNDRA
Scatterbug_Continental,Scatterbug_Archipelago,$LOC_ARCHIPELAGO
Scatterbug_Continental,Scatterbug_Continental,$LOC_CONTINENTAL
Scatterbug_Continental,Scatterbug_Elegant,$LOC_ELEGANT
Scatterbug_Continental,Scatterbug_Garden,$LOC_GARDEN
Scatterbug_Continental,Scatterbug_High Plains,$LOC_HIGHPLAINS
Scatterbug_Continental,Scatterbug_Icy Snow,$LOC_ICYSNOW
Scatterbug_Continental,Scatterbug_Jungle,$LOC_JUNGLE
Scatterbug_Continental,Scatterbug_Marine,$LOC_MARINE
Scatterbug_Continental,Scatterbug_Meadow,$LOC_MEADOW
Scatterbug_Continental,Scatterbug_Modern,$LOC_MODERN
Scatterbug_Continental,Scatterbug_Monsoon,$LOC_MONSOON
Scatterbug_Continental,Scatterbug_Ocean,$LOC_OCEAN
Scatterbug_Continental,Scatterbug_Polar,$LOC_POLAR
Scatterbug_Continental,Scatterbug_River,$LOC_RIVER
Scatterbug_Continental,Scatterbug_Sandstorm,$LOC_SANDSTORM
Scatterbug_Continental,Scatterbug_Savanna,$LOC_SAVANNA
Scatterbug_Continental,Scatterbug_Sun,$LOC_SUN
Scatterbug_Continental,Scatterbug_Tundra,$LOC_TUNDRA
Scatterbug_Elegant,Scatterbug_Archipelago,$LOC_ARCHIPELAGO
Scatterbug_Elegant,Scatterbug_Continental,$LOC_CONTINENTAL
Scatterbug_Elegant,Scatterbug_Elegant,$LOC_ELEGANT
Scatterbug_Elegant,Scatterbug_Garden,$LOC_GARDEN
Scatterbug_Elegant,Scatterbug_High Plains,$LOC_HIGHPLAINS
Scatterbug_Elegant,Scatterbug_Icy Snow,$LOC_ICYSNOW
Scatterbug_Elegant,Scatterbug_Jungle,$LOC_JUNGLE
Scatterbug_Elegant,Scatterbug_Marine,$LOC_MARINE
Scatterbug_Elegant,Scatterbug_Meadow,$LOC_MEADOW
Scatterbug_Elegant,Scatterbug_Modern,$LOC_MODERN
Scatterbug_Elegant,Scatterbug_Monsoon,$LOC_MONSOON
Scatterbug_Elegant,Scatterbug_Ocean,$LOC_OCEAN
Scatterbug_Elegant,Scatterbug_Polar,$LOC_POLAR
Scatterbug_Elegant,Scatterbug_River,$LOC_RIVER
Scatterbug_Elegant,Scatterbug_Sandstorm,$LOC_SANDSTORM
Scatterbug_Elegant,Scatterbug_Savanna,$LOC_SAVANNA
Scatterbug_Elegant,Scatterbug_Sun,$LOC_SUN
Scatterbug_Elegant,Scatterbug_Tundra,$LOC_TUNDRA
Scatterbug_Garden,Scatterbug_Archipelago,$LOC_ARCHIPELAGO
Scatterbug_Garden,Scatterbug_Continental,$LOC_CONTINENTAL
Scatterbug_Garden,Scatterbug_Elegant,$LOC_ELEGANT
Scatterbug_Garden,Scatterbug_Garden,$LOC_GARDEN
Scatterbug_Garden,Scatterbug_High Plains,$LOC_HIGHPLAINS
Scatterbug_Garden,Scatterbug_Icy Snow,$LOC_ICYSNOW
Scatterbug_Garden,Scatterbug_Jungle,$LOC_JUNGLE
Scatterbug_Garden,Scatterbug_Marine,$LOC_MARINE
Scatterbug_Garden,Scatterbug_Meadow,$LOC_MEADOW
Scatterbug_Garden,Scatterbug_Modern,$LOC_MODERN
Scatterbug_Garden,Scatterbug_Monsoon,$LOC_MONSOON
Scatterbug_Garden,Scatterbug_Ocean,$LOC_OCEAN
Scatterbug_Garden,Scatterbug_Polar,$LOC_POLAR
Scatterbug_Garden,Scatterbug_River,$LOC_RIVER
Scatterbug_Garden,Scatterbug_Sandstorm,$LOC_SANDSTORM
Scatterbug_Garden,Scatterbug_Savanna,$LOC_SAVANNA
Scatterbug_Garden,Scatterbug_Sun,$LOC_SUN
Scatterbug_Garden,Scatterbug_Tundra,$LOC_TUNDRA
Scatterbug_High Plains,Scatterbug_Archipelago,$LOC_ARCHIPELAGO
Scatterbug_High Plains,Scatterbug_Continental,$LOC_CONTINENTAL
Scatterbug_High Plains,Scatterbug_Elegant,$LOC_ELEGANT
Scatterbug_High Plains,Scatterbug_Garden,$LOC_GARDEN
Scatterbug_High Plains,Scatterbug_High Plains,$LOC_HIGHPLAINS
Scatterbug_High Plains,Scatterbug_Icy Snow,$LOC_ICYSNOW
Scatterbug_High Plains,Scatterbug_Jungle,$LOC_JUNGLE
Scatterbug_High Plains,Scatterbug_Marine,$LOC_MARINE
Scatterbug_High Plains,Scatterbug_Meadow,$LOC_MEADOW
Scatterbug_High Plains,Scatterbug_Modern,$LOC_MODERN
Scatterbug_High Plains,Scatterbug_Monsoon,$LOC_MONSOON
Scatterbug_High Plains,Scatterbug_Ocean,$LOC_OCEAN
Scatterbug_High Plains,Scatterbug_Polar,$LOC_POLAR
Scatterbug_High Plains,Scatterbug_River,$LOC_RIVER
Scatterbug_High Plains,Scatterbug_Sandstorm,$LOC_SANDSTORM
Scatterbug_High Plains,Scatterbug_Savanna,$LOC_SAVANNA
Scatterbug_High Plains,Scatterbug_Sun,$LOC_SUN
Scatterbug_High Plains,Scatterbug_Tundra,$LOC_TUNDRA
Scatterbug_Icy Snow,Scatterbug_Archipelago,$LOC_ARCHIPELAGO
Scatterbug_Icy Snow,Scatterbug_Continental,$LOC_CONTINENTAL
Scatterbug_Icy Snow,Scatterbug_Elegant,$LOC_ELEGANT
Scatterbug_Icy Snow,Scatterbug_Garden,$LOC_GARDEN
Scatterbug_Icy Snow,Scatterbug_High Plains,$LOC_HIGHPLAINS
Scatterbug_Icy Snow,Scatterbug_Icy Snow,$LOC_ICYSNOW
Scatterbug_Icy Snow,Scatterbug_Jungle,$LOC_JUNGLE
Scatterbug_Icy Snow,Scatterbug_Marine,$LOC_MARINE
Scatterbug_Icy Snow,Scatterbug_Meadow,$LOC_MEADOW
Scatterbug_Icy Snow,Scatterbug_Modern,$LOC_MODERN
Scatterbug_Icy Snow,Scatterbug_Monsoon,$LOC_MONSOON
Scatterbug_Icy Snow,Scatterbug_Ocean,$LOC_OCEAN
Scatterbug_Icy Snow,Scatterbug_Polar,$LOC_POLAR
Scatterbug_Icy Snow,Scatterbug_River,$LOC_RIVER
Scatterbug_Icy Snow,Scatterbug_Sandstorm,$LOC_SANDSTORM
Scatterbug_Icy Snow,Scatterbug_Savanna,$LOC_SAVANNA
Scatterbug_Icy Snow,Scatterbug_Sun,$LOC_SUN
Scatterbug_Icy Snow,Scatterbug_Tundra,$LOC_TUNDRA
Scatterbug_Jungle,Scatterbug_Archipelago,$LOC_ARCHIPELAGO
Scatterbug_Jungle,Scatterbug_Continental,$LOC_CONTINENTAL
Scatterbug_Jungle,Scatterbug_Elegant,$LOC_ELEGANT
Scatterbug_Jungle,Scatterbug_Garden,$LOC_GARDEN
Scatterbug_Jungle,Scatterbug_High Plains,$LOC_HIGHPLAINS
Scatterbug_Jungle,Scatterbug_Icy Snow,$LOC_ICYSNOW
Scatterbug_Jungle,Scatterbug_Jungle,$LOC_JUNGLE
Scatterbug_Jungle,Scatterbug_Marine,$LOC_MARINE
Scatterbug_Jungle,Scatterbug_Meadow,$LOC_MEADOW
Scatterbug_Jungle,Scatterbug_Modern,$LOC_MODERN
Scatterbug_Jungle,Scatterbug_Monsoon,$LOC_MONSOON
Scatterbug_Jungle,Scatterbug_Ocean,$LOC_OCEAN
Scatterbug_Jungle,Scatterbug_Polar,$LOC_POLAR
Scatterbug_Jungle,Scatterbug_River,$LOC_RIVER
Scatterbug_Jungle,Scatterbug_Sandstorm,$LOC_SANDSTORM
Scatterbug_Jungle,Scatterbug_Savanna,$LOC_SAVANNA
Scatterbug_Jungle,Scatterbug_Sun,$LOC_SUN
Scatterbug_Jungle,Scatterbug_Tundra,$LOC_TUNDRA
Scatterbug_Marine,Scatterbug_Archipelago,$LOC_ARCHIPELAGO
Scatterbug_Marine,Scatterbug_Continental,$LOC_CONTINENTAL
Scatterbug_Marine,Scatterbug_Elegant,$LOC_ELEGANT
Scatterbug_Marine,Scatterbug_Garden,$LOC_GARDEN
Scatterbug_Marine,Scatterbug_High Plains,$LOC_HIGHPLAINS
Scatterbug_Marine,Scatterbug_Icy Snow,$LOC_ICYSNOW
Scatterbug_Marine,Scatterbug_Jungle,$LOC_JUNGLE
Scatterbug_Marine,Scatterbug_Marine,$LOC_MARINE
Scatterbug_Marine,Scatterbug_Meadow,$LOC_MEADOW
Scatterbug_Marine,Scatterbug_Modern,$LOC_MODERN
Scatterbug_Marine,Scatterbug_Monsoon,$LOC_MONSOON
Scatterbug_Marine,Scatterbug_Ocean,$LOC_OCEAN
Scatterbug_Marine,Scatterbug_Polar,$LOC_POLAR
Scatterbug_Marine,Scatterbug_River,$LOC_RIVER
Scatterbug_Marine,Scatterbug_Sandstorm,$LOC_SANDSTORM
Scatterbug_Marine,Scatterbug_Savanna,$LOC_SAVANNA
Scatterbug_Marine,Scatterbug_Sun,$LOC_SUN
Scatterbug_Marine,Scatterbug_Tundra,$LOC_TUNDRA
Scatterbug_Meadow,Scatterbug_Archipelago,$LOC_ARCHIPELAGO
Scatterbug_Meadow,Scatterbug_Continental,$LOC_CONTINENTAL
Scatterbug_Meadow,Scatterbug_Elegant,$LOC_ELEGANT
Scatterbug_Meadow,Scatterbug_Garden,$LOC_GARDEN
Scatterbug_Meadow,Scatterbug_High Plains,$LOC_HIGHPLAINS
Scatterbug_Meadow,Scatterbug_Icy Snow,$LOC_ICYSNOW
Scatterbug_Meadow,Scatterbug_Jungle,$LOC_JUNGLE
Scatterbug_Meadow,Scatterbug_Marine,$LOC_MARINE
Scatterbug_Meadow,Scatterbug_Meadow,$LOC_MEADOW
Scatterbug_Meadow,Scatterbug_Modern,$LOC_MODERN
Scatterbug_Meadow,Scatterbug_Monsoon,$LOC_MONSOON
Scatterbug_Meadow,Scatterbug_Ocean,$LOC_OCEAN
Scatterbug_Meadow,Scatterbug_Polar,$LOC_POLAR
Scatterbug_Meadow,Scatterbug_River,$LOC_RIVER
Scatterbug_Meadow,Scatterbug_Sandstorm,$LOC_SANDSTORM
Scatterbug_Meadow,Scatterbug_Savanna,$LOC_SAVANNA
Scatterbug_Meadow,Scatterbug_Sun,$LOC_SUN
Scatterbug_Meadow,Scatterbug_Tundra,$LOC_TUNDRA
Scatterbug_Modern,Scatterbug_Archipelago,$LOC_ARCHIPELAGO
Scatterbug_Modern,Scatterbug_Continental,$LOC_CONTINENTAL
