ALL,FROM,TO,ITEM,TRADE,OTHER_POKEMON
ALL,Bidoof,Bibarel,,,
ALL,Kricketot,Kricketune,,,
ALL,Shinx,Luxio,,,
ALL,Luxio,Luxray,,,
ALL,Budew,Roselia,,,
ALL,Roselia,Roserade,Shiny Stone,,
ALL,Cranidos,Rampardos,,,
ALL,Shieldon,Bastiodon,,,
ALL,Burmy_Plant Cloak_FEMALE,Wormadam_Plant Cloak,,,
ALL,Burmy_Sandy Cloak_FEMALE,Wormadam_Sandy Cloak,,,
ALL,Burmy_Trash Cloak_FEMALE,Wormadam_Trash Cloak,,,
ALL,Burmy_Plant Cloak_MALE,Mothim,,,
ALL,Burmy_Sandy Cloak_MALE,Mothim,,,
ALL,Burmy_Trash Cloak_MALE,Mothim,,,
ALL,Combee_FEMALE,Vespiquen,,,
ALL,Buizel,Floatzel,,,
ALL,Cherubi,Cherrim_Overcast,,,
ALL,Shellos_West Sea,Gastrodon_West Sea,,,
ALL,Shellos_East Sea,Gastrodon_East Sea,,,
ALL,Aipom,Ambipom,,,
ALL,Drifloon,Drifblim,,,
ALL,Buneary,Lopunny,,,
ALL,Misdreavus,Mismagius,Dusk Stone,,
ALL,Murkrow,Honchkrow,Dusk Stone,,
ALL,Glameow,Purugly,,,
ALL,Chingling,Chimecho,,,
ALL,Stunky,Skuntank,,,
ALL,Bronzor,Bronzong,,,
ALL,Bonsly,Sudowoodo,,,
ALL,Mime Jr.,Mr. Mime,,,
ALL,Happiny,Chansey,Oval Stone,,
ALL,Gible,Gabite,,,
ALL,Gabite,Garchomp,,,
ALL,Munchlax,Snorlax,,,
ALL,Riolu,Lucario,,,
ALL,Hippopotas,Hippowdon,,,
ALL,Skorupi,Drapion,,,
ALL,Croagunk,Toxicroak,,,
ALL,Finneon,Lumineon,,,
ALL,Mantyke,Mantine,,,Remoraid
ALL,Snover,Abomasnow,,,
ALL,Sneasel,Weavile,Razor Claw,,
ALL,Magneton,Magnezone,,,
ALL,Lickitung,Lickilicky,,,
ALL,Rhydon,Rhyperior,Protector,TRUE,
ALL,Tangela,Tangrowth,,,
ALL,Electabuzz,Electivire,Electirizer,TRUE,
ALL,Magmar,Magmortar,Magmarizer,TRUE,
ALL,Togetic,Togekiss,Shiny Stone,,
ALL,Yanma,Yanmega,,,
ALL,Eevee,Leafeon,,,
ALL,Eevee,Glaceon,,,
ALL,Gligar,Gliscor,Razor Fang,,
ALL,Piloswine,Mamoswine,,,
ALL,Porygon2,Porygon-Z,Dubious Disc,TRUE,
ALL,Kirlia_MALE,Gallade,Dawn Stone,,
ALL,Nosepass,Probopass,,,
ALL,Dusclops,Dusknoir,Reaper Cloth,TRUE,
ALL,Snorunt_FEMALE,Froslass,Dawn Stone,,
ALL,Snivy,Servine,,,
ALL,Servine,Serperior,,,
ALL,Tepig,Pignite,,,
ALL,Pignite,Emboar,,,
ALL,Oshawott,Dewott,,,
ALL,Dewott,Samurott,,,
ALL,Patrat,Watchog,,,
ALL,Lillipup,Herdier,,,
ALL,Herdier,Stoutland,,,
ALL,Purrloin,Liepard,,,
ALL,Pansage,Simisage,Leaf Stone,,
ALL,Pansear,Simisear,Fire Stone,,
ALL,Panpour,Simipour,Water Stone,,
ALL,Munna,Musharna,Moon Stone,,
ALL,Pidove,Tranquill,,,
ALL,Tranquill,Unfezant,,,
ALL,Blitzle,Zebstrika,,,
ALL,Roggenrola,Boldore,,,
ALL,Boldore,Gigalith,,TRUE,
ALL,Woobat,Swoobat,,,
ALL,Drilbur,Excadrill,,,
ALL,Timburr,Gurdurr,,,
ALL,Gurdurr,Conkeldurr,,TRUE,
ALL,Tympole,Palpitoad,,,
ALL,Palpitoad,Seismitoad,,,
ALL,Sewaddle,Swadloon,,,
ALL,Swadloon,Leavanny,,,
ALL,Venipede,Whirlipede,,,
ALL,Whirlipede,Scolipede,,,
ALL,Cottonee,Whimsicott,Sun Stone,,
ALL,Petilil,Lilligant,Sun Stone,,
ALL,Sandile,Krokorok,,,
ALL,Krokorok,Krookodile,,,
ALL,Darumaka,Darmanitan,,,
ALL,Dwebble,Crustle,,,
ALL,Scraggy,Scrafty,,,
ALL,Yamask,Cofagrigus,,,
ALL,Tirtouga,Carracosta,,,
ALL,Archen,Archeops,,,
ALL,Trubbish,Garbodor,,,
ALL,Zorua,Zoroark,,,
ALL,Minccino,Cinccino,Shiny Stone,,
ALL,Gothita,Gothorita,,,
ALL,Gothorita,Gothitelle,,,
ALL,Solosis,Duosion,,,
ALL,Duosion,Reuniclus,,,
ALL,Ducklett,Swanna,,,
ALL,Vanillite,Vanillish,,,
ALL,Vanillish,Vanilluxe,,,
ALL,Deerling_Spring,Sawsbuck_Spring,,,
ALL,Deerling_Summer,Sawsbuck_Summer,,,
ALL,Deerling_Autumn,Sawsbuck_Autumn,,,
ALL,Deerling_Winter,Sawsbuck_Winter,,,
ALL,Karrablast,Escavalier,,TRUE,Shelmet
ALL,Foongus,Amoonguss,,,
ALL,Frillish,Jellicent,,,
ALL,Joltik,Galvantula,,,
ALL,Ferroseed,Ferrothorn,,,
ALL,Klink,Klang,,,
ALL,Klang,Klinklang,,,
ALL,Tynamo,Eelektrik,,,
ALL,Eelektrik,Eelektross,Thunder Stone,,
ALL,Elgyem,Beheeyem,,,
ALL,Litwick,Lampent,,,
ALL,Lampent,Chandelure,Dusk Stone,,
ALL,Axew,Fraxure,,,
ALL,Fraxure,Haxorus,,,
ALL,Cubchoo,Beartic,,,
ALL,Shelmet,Accelgor,,TRUE,Karrablast
ALL,Mienfoo,Mienshao,,,
ALL,Golett,Golurk,,,
ALL,Pawniard,Bisharp,,,
ALL,Rufflet,Braviary,,,
ALL,Vullaby,Mandibuzz,,,
ALL,Deino,Zweilous,,,
ALL,Zweilous,Hydreigon,,,
ALL,Larvesta,Volcarona,,,
ALL,Chespin,Quilladin,,,
ALL,Quilladin,Chesnaught,,,
ALL,Fennekin,Braixen,,,
ALL,Braixen,Delphox,,,
ALL,Froakie,Frogadier,,,
ALL,Frogadier,Greninja,,,
ALL,Bunnelby,Diggersby,,,
ALL,Fletchling,Fletchinder,,,
ALL,Fletchinder,Talonflame,,,
ALL,Scatterbug,Spewpa,,,
ALL,Spewpa_ARCHIPELAGO,Vivillon_Archipelago,,,
ALL,Spewpa_CONTINENTAL,Vivillon_Continental,,,
ALL,Spewpa_ELEGANT,Vivillon_Elegant,,,
ALL,Spewpa_GARDEN,Vivillon_Garden,,,
ALL,Spewpa_HIGHPLAINS,Vivillon_High Plains,,,
ALL,Spewpa_ICYSNOW,Vivillon_Icy Snow,,,
ALL,Spewpa_JUNGLE,Vivillon_Jungle,,,
ALL,Spewpa_MARINE,Vivillon_Marine,,,
ALL,Spewpa_MEADOW,Vivillon_Meadow,,,
ALL,Spewpa_MODERN,Vivillon_Modern,,,
ALL,Spewpa_MONSOON,Vivillon_Monsoon,,,
ALL,Spewpa_OCEAN,Vivillon_Ocean,,,
ALL,Spewpa_POLAR,Vivillon_Polar,,,
ALL,Spewpa_RIVER,Vivillon_River,,,
ALL,Spewpa_SANDSTORM,Vivillon_Sandstorm,,,
ALL,Spewpa_SAVANNA,Vivillon_Savanna,,,
ALL,Spewpa_SUN,Vivillon_Sun,,,
ALL,Spewpa_TUNDRA,Vivillon_Tundra,,,
ALL,Spewpa_FANCY,Vivillon_Fancy,,,
ALL,Spewpa_POKEBALL,Vivillon_Poké Ball,,,
ALL,Litleo,Pyroar,,,
ALL,Flabébé_Red,Floette_Red,,,
ALL,Flabébé_Yellow,Floette_Yellow,,,
ALL,Flabébé_Orange,Floette_Orange,,,
ALL,Flabébé_Blue,Floette_Blue,,,
ALL,Flabébé_White,Floette_White,,,
ALL,Floette_Red,Florges_Red,Shiny Stone,,
ALL,Floette_Yellow,Florges_Yellow,Shiny Stone,,
ALL,Floette_Orange,Florges_Orange,Shiny Stone,,
ALL,Floette_Blue,Florges_Blue,Shiny Stone,,
ALL,Floette_White,Florges_White,Shiny Stone,,
ALL,Skiddo,Gogoat,,,
ALL,Pancham,Pangoro,,,
ALL,Espurr_MALE,Meowstic_♂,,,
ALL,Espurr_FEMALE,Meowstic_♀,,,
ALL,Honedge,Doublade,,,
ALL,Doublade,Aegislash_Shield,Dusk Stone,,
ALL,Spritzee,Aromatisse,Sachet,TRUE,
ALL,Swirlix,Slurpuff,Whipped Dream,TRUE,
ALL,Inkay,Malamar,,,
ALL,Binacle,Barbaracle,,,
ALL,Skrelp,Dragalge,,,
ALL,Clauncher,Clawitzer,,,
ALL,Helioptile,Heliolisk,Sun Stone,,
ALL,Tyrunt,Tyrantrum,,,
ALL,Amaura,Aurorus,,,
ALL,Eevee,Sylveon,,,
ALL,Goomy,Sliggoo,,,
ALL,Sliggoo,Goodra,,,
ALL,Phantump,Trevenant,,TRUE,
ALL,Pumpkaboo_Small,Gourgeist_Small,,TRUE,
ALL,Pumpkaboo_Average,Gourgeist_Average,,TRUE,
ALL,Pumpkaboo_Large,Gourgeist_Large,,TRUE,
ALL,Pumpkaboo_Super,Gourgeist_Super,,TRUE,
ALL,Bergmite,Avalugg,,,
ALL,Noibat,Noivern,,,
